"SCMEB" "DRSC" "BayesSpace" "Louvain"
"1" 6 6 6 5
"2" 5 1 7 6
"3" 6 6 3 3
"4" 4 4 1 7
"5" 4 5 4 2
"6" 2 2 4 6
"7" 4 4 5 7
"8" 2 5 4 2
"9" 5 3 6 4
"10" 5 5 7 2
"11" 1 2 2 5
"12" 1 2 4 6
"13" 2 2 4 2
"14" 1 2 4 5
"15" 6 6 3 3
"16" 5 3 6 8
"17" 3 1 6 4
"18" 5 3 6 8
"19" 2 2 4 6
"20" 6 3 6 3
"21" 4 6 5 7
"22" 6 6 3 3
"23" 5 5 6 8
"24" 2 2 4 2
"25" 6 6 3 3
"26" 5 2 7 6
"27" 2 2 4 6
"28" 2 2 4 2
"29" 5 3 6 4
"30" 3 3 6 4
"31" 1 2 4 5
"32" 2 2 4 6
"33" 1 2 4 5
"34" 3 3 6 4
"35" 1 1 2 6
"36" 6 5 3 3
"37" 5 3 6 8
"38" 1 2 4 6
"39" 3 3 6 4
"40" 2 2 4 2
"41" 5 1 7 8
"42" 5 5 6 8
"43" 6 6 3 3
"44" 6 6 6 3
"45" 2 2 7 6
"46" 5 5 6 8
"47" 2 2 7 2
"48" 5 3 6 8
"49" 2 2 4 2
"50" 1 2 2 2
"51" 5 5 7 2
"52" 6 6 3 3
"53" 3 1 2 4
"54" 6 6 3 3
"55" 4 2 4 2
"56" 1 1 2 5
"57" 4 4 7 9
"58" 6 6 3 3
"59" 5 1 2 6
"60" 1 2 4 6
"61" 6 6 3 3
"62" 3 3 6 4
"63" 5 5 6 8
"64" 1 2 4 7
"65" 3 3 6 4
"66" 6 6 3 3
"67" 6 6 3 3
"68" 1 2 4 5
"69" 1 1 2 5
"70" 4 4 5 7
"71" 1 1 2 6
"72" 5 2 7 2
"73" 6 6 3 3
"74" 2 2 4 6
"75" 3 3 6 4
"76" 4 4 5 7
"77" 6 3 6 3
"78" 1 1 2 2
"79" 5 5 7 8
"80" 2 2 4 2
"81" 3 6 6 4
"82" 6 6 3 3
"83" 3 3 6 4
"84" 4 2 4 5
"85" 1 2 2 6
"86" 6 6 3 3
"87" 3 3 6 4
"88" 3 3 6 5
"89" 4 4 1 7
"90" 2 2 7 8
"91" 3 3 6 4
"92" 5 5 6 8
"93" 6 6 3 3
"94" 3 3 6 4
"95" 5 1 7 2
"96" 6 6 3 3
"97" 6 5 3 8
"98" 2 2 4 6
"99" 5 5 6 8
"100" 2 2 4 2
"101" 6 6 3 3
"102" 2 5 7 2
"103" 5 3 6 8
"104" 3 3 6 4
"105" 6 6 3 3
"106" 3 3 6 4
"107" 4 4 5 7
"108" 3 5 6 4
"109" 2 2 7 2
"110" 2 2 7 2
"111" 2 2 4 2
"112" 1 2 4 6
"113" 6 6 3 3
"114" 1 1 2 5
"115" 6 6 3 3
"116" 3 1 2 4
"117" 4 1 7 8
"118" 5 5 7 6
"119" 6 6 3 3
"120" 1 2 4 6
"121" 1 1 2 6
"122" 2 2 4 6
"123" 6 6 3 3
"124" 6 6 3 7
"125" 3 3 6 4
"126" 5 3 6 8
"127" 1 2 4 6
"128" 5 5 6 8
"129" 3 3 6 4
"130" 3 5 6 4
"131" 6 3 3 3
"132" 6 3 3 3
"133" 1 1 2 5
"134" 1 1 2 8
"135" 3 1 2 5
"136" 1 2 4 6
"137" 6 6 3 3
"138" 6 6 3 3
"139" 6 6 3 3
"140" 3 3 6 4
"141" 2 2 4 2
"142" 2 2 4 6
"143" 3 3 6 4
"144" 5 3 6 8
"145" 5 1 2 6
"146" 1 1 2 6
"147" 3 1 6 5
"148" 1 1 2 5
"149" 3 1 6 5
"150" 2 2 7 2
"151" 4 4 5 7
"152" 3 3 6 4
"153" 2 2 4 2
"154" 2 2 4 2
"155" 5 1 7 6
"156" 6 6 3 3
"157" 2 2 4 2
"158" 3 3 6 4
"159" 6 6 3 3
"160" 4 2 4 7
"161" 2 2 7 5
"162" 5 1 2 4
"163" 2 2 4 2
"164" 6 6 3 3
"165" 3 1 2 5
"166" 5 5 6 8
"167" 3 3 6 4
"168" 5 5 7 2
"169" 1 1 2 5
"170" 1 1 2 4
"171" 6 3 6 3
"172" 4 4 5 7
"173" 3 3 6 4
"174" 5 1 7 2
"175" 6 6 3 3
"176" 3 3 6 4
"177" 1 1 2 4
"178" 5 5 7 2
"179" 6 6 3 3
"180" 1 2 4 2
"181" 1 2 2 5
"182" 1 4 4 6
"183" 1 2 4 5
"184" 5 5 7 8
"185" 4 5 4 4
"186" 4 4 5 7
"187" 2 2 7 2
"188" 2 2 7 2
"189" 6 6 3 3
"190" 1 2 4 5
"191" 2 2 4 6
"192" 6 6 3 3
"193" 2 2 4 6
"194" 1 2 2 5
"195" 1 2 4 6
"196" 6 6 3 3
"197" 5 1 2 4
"198" 4 4 1 7
"199" 2 2 4 6
"200" 1 2 4 5
"201" 5 1 7 2
"202" 5 5 6 8
"203" 6 6 3 3
"204" 1 2 4 6
"205" 1 1 7 5
"206" 3 3 6 4
"207" 5 1 7 8
"208" 3 3 6 4
"209" 1 2 2 5
"210" 3 3 6 4
"211" 4 4 5 7
"212" 5 5 7 6
"213" 3 3 6 4
"214" 3 3 6 4
"215" 2 2 4 2
"216" 5 1 7 5
