"","ARI","AMI","NMI","spARI"
"BNPMFA",0.304782265390987,0.480962748654707,0.482620471303692,0.339048545059106
"BayesSpace",0.306298955878537,0.478551904222364,0.479910846112664,0.322502784781497
"SCMEB",0.328402869052015,0.446810593384504,0.448523397098563,0.316280848410861
"DRSC",0.359876752620348,0.477117360278005,0.478291746117199,0.376961561019474
"Louvain",0.26803151671169,0.407267069446657,0.408979142452689,0.27100180979031
"SpaGCN",0.348819914853956,0.423458205274625,0.425489730366666,0.358249606133891
"BASS",0.470723124989438,0.610084886238,0.611137585600508,0.457985873569386
"STAGATE",0.381362664762056,0.505363393678661,0.506655962142074,0.36880523268965
"GraphST",0.362872060829874,0.487856830331616,0.489239644880412,0.386652496080552
"ADEPT",0.345674619837234,0.488792132610436,0.490112140922034,0.358351717700671
"BANKSY",0.411590821610631,0.502545315375301,0.50382304976438,0.427430874328621
