"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",3.05849733670603e-67,2.11335699091118,0.882,0.534,5.07710557893202e-65,"1","Pcp4"
"2",2.64113138874749e-42,2.83761123113761,0.492,0.131,4.38427810532083e-40,"1","Syt6"
"3",2.26233162553383e-25,1.7475627797334,0.626,0.359,3.75547049838615e-23,"1","Tbr1"
"4",4.66799217689118e-25,1.9296750400653,0.609,0.34,7.74886701363935e-23,"1","Sla"
"5",6.7283352203156e-17,1.37145037678983,0.414,0.191,1.11690364657239e-14,"1","Foxp2"
"6",1.93236114851245e-15,2.74791697062919,0.468,0.26,3.20771950653067e-13,"1","Ctgf"
"7",1.08031780099625e-11,0.608724859325327,0.943,0.946,1.79332754965378e-09,"1","Slc17a7"
"8",2.91654365992659e-10,1.10453482429211,0.342,0.172,4.84146247547814e-08,"1","Drd1"
"9",3.82705842082886e-06,1.00790027222369,0.489,0.359,0.00063529169785759,"1","Cplx3"
"10",6.90404900241952e-05,1.22951863889003,0.298,0.204,0.0114607213440164,"1","Sema3c"
"11",9.70274459727535e-05,1.68680896794796,0.298,0.214,0.0161065560314771,"1","Mog"
"12",0.000132385697778124,0.389851542215671,0.563,0.461,0.0219760258311686,"1","Sulf2"
"13",0.000257981817566034,0.771086244974366,0.7,0.631,0.0428249817159616,"1","Kcna1"
"14",1.35344591471413e-53,3.57851283110427,0.819,0.196,2.24672021842546e-51,"2","Cux2"
"15",2.85812936474699e-34,2.06661368064444,0.876,0.328,4.74449474548e-32,"2","Cpne5"
"16",2.90707241041625e-33,2.88141494858046,0.781,0.268,4.82574020129098e-31,"2","Nos1"
"17",4.56271759774305e-26,2.03043916152401,0.619,0.182,7.57411121225346e-24,"2","Synpr"
"18",6.84931112063243e-20,2.05158585970127,0.829,0.498,1.13698564602498e-17,"2","Nov"
"19",2.48393887642913e-18,1.81784600428677,0.914,0.669,4.12333853487236e-16,"2","Otof"
"20",1.1747695980464e-16,1.27913240732028,0.857,0.51,1.95011753275702e-14,"2","Syt17"
"21",1.46929381619617e-15,1.24587095852208,0.79,0.455,2.43902773488563e-13,"2","Smad3"
"22",2.70704612551642e-14,1.64669990678869,0.81,0.541,4.49369656835726e-12,"2","Wfs1"
"23",1.80384798001143e-10,1.02904196500301,0.648,0.341,2.99438764681897e-08,"2","Nectin3"
"24",2.65151401149948e-07,1.16984480651245,0.752,0.515,4.40151325908913e-05,"2","Nrn1"
"25",2.77715763105736e-07,0.0651267221966854,0.314,0.122,4.61008166755522e-05,"2","Car4"
"26",3.10708270409035e-07,1.4703286561336,0.476,0.261,5.15775728878998e-05,"2","Ngb"
"27",1.05805081844445e-06,0.645761773321813,0.657,0.434,0.000175636435861778,"2","Rgs2"
"28",2.92112435866343e-05,0.416092464386572,0.895,0.829,0.0048490664353813,"2","Cck"
"29",8.95788956980103e-05,0.561221910374332,0.79,0.683,0.0148700966858697,"2","Pcdhgc5"
"30",0.00018743278172502,0.23409150450131,0.457,0.287,0.0311138417663533,"2","Rgs12"
"31",0.0002303189705398,0.532489268480109,0.79,0.664,0.0382329491096068,"2","Ppm1h"
"32",3.48032844300302e-39,2.48057995132735,0.697,0.335,5.77734521538501e-37,"3","Etv1"
"33",7.96640043491409e-25,0.976119038666245,0.727,0.4,1.32242247219574e-22,"3","Syt17"
"34",7.68039307072225e-17,0.931530011499915,0.468,0.24,1.27494524973989e-14,"3","Parm1"
"35",3.46334450590946e-16,1.30190406177668,0.5,0.27,5.7491518798097e-14,"3","Fam19a1"
"36",1.03846200421762e-14,0.680604485810539,0.651,0.436,1.72384692700126e-12,"3","Nov"
"37",2.70420372317548e-13,1.81205295058674,0.475,0.268,4.48897818047129e-11,"3","Adcyap1"
"38",3.96556239551195e-12,0.918765022183745,0.21,0.065,6.58283357654984e-10,"3","Tpbg"
"39",7.25353666744552e-12,1.63468793715202,0.464,0.258,1.20408708679596e-09,"3","Gad1"
"40",8.61557024086877e-11,0.573540086269668,0.502,0.286,1.43018465998422e-08,"3","Cpne5"
"41",1.59834949323095e-10,1.58309246151254,0.307,0.144,2.65326015876337e-08,"3","Junb"
"42",2.02066801468772e-10,1.06285624598246,0.445,0.265,3.35430890438161e-08,"3","Tcerg1l"
"43",6.92858749192072e-10,1.31537418925326,0.466,0.297,1.15014552365884e-07,"3","Fos"
"44",1.98974533124138e-09,1.30575701276399,0.515,0.355,3.30297724986069e-07,"3","Egr4"
"45",9.61193419245375e-09,0.501368016588969,0.641,0.458,1.59558107594732e-06,"3","Nrn1"
"46",1.15429646123652e-07,0.956027272850051,0.429,0.279,1.91613212565262e-05,"3","Vgf"
"47",1.25076480319483e-07,1.09650003473742,0.313,0.176,2.07626957330342e-05,"3","Plcxd2"
"48",1.55464616078888e-07,0.774910276215604,0.548,0.384,2.58071262690954e-05,"3","Rgs2"
"49",3.62374160038548e-07,1.07023090229023,0.424,0.284,6.01541105663989e-05,"3","Sst"
"50",4.74663937111658e-07,0.579918489821348,0.532,0.391,7.87942135605352e-05,"3","Sccpdh"
"51",8.61912076256067e-07,0.572411192503228,0.641,0.51,0.000143077404658507,"3","Wfs1"
"52",3.04983347878326e-06,0.2935248645754,0.578,0.417,0.00050627235747802,"3","Smad3"
"53",1.35993553557967e-05,0.479541040432531,0.863,0.814,0.00225749298906226,"3","Cck"
"54",3.43079764511544e-05,1.2050098948061,0.471,0.363,0.00569512409089163,"3","Myl4"
"55",5.40206043216808e-05,0.660802640721802,0.189,0.101,0.00896742031739902,"3","Egr2"
"56",6.96835838497996e-05,0.918729692205003,0.284,0.181,0.0115674749190667,"3","Tnfaip8l3"
"57",8.19637129358133e-05,0.629292456310386,0.197,0.111,0.013605976347345,"3","Npy"
"58",0.000130716458706072,1.37631809554474,0.326,0.227,0.021698932145208,"3","Bdnf"
"59",0.000217349399741827,0.742836071965133,0.292,0.193,0.0360800003571432,"3","Bgn"
"60",0.000253890161159303,2.69343038251399,0.17,0.095,0.0421457667524443,"3","Mgp"
"61",0.0002555559322076,0.981557240929564,0.172,0.093,0.0424222847464616,"3","Reln"
"62",2.94233890123295e-27,5.26649449677972,0.968,0.272,4.8842825760467e-25,"4","Aqp4"
"63",3.35771532296963e-11,2.89505956276339,0.903,0.681,5.57380743612959e-09,"4","Pcdhgc3"
"64",7.25682325260661e-06,1.85042864047825,0.903,0.789,0.0012046326599327,"4","Bcl6"
"65",0.000180077060526366,2.3086078666187,0.742,0.652,0.0298927920473767,"4","Cxcl14"
