"","f","ARI","K","dev1","dev2","BIC"
"1",0,0.235164992547384,6,-209445.614306232,7513.93152212881,411073.302426776
"2",0.5,0.358029925722794,5,-209887.98174959,7250.9554987639,412449.192367661
"3",1,0.405256145784639,5,-209950.709974701,7141.03500422467,412794.489806962
"4",1.5,0.474644205959385,5,-210004.155107554,6766.98519978927,413649.47968154
"5",2,0.533192811678761,5,-210091.316427103,5089.99488586903,417177.782948478
"6",2.5,0.465087612109781,4,-210071.141790965,5564.68391196361,416153.258631452
"7",3,0.609182319072553,3,-210192.796568403,4097.56115572854,419296.016706237
"8",3.5,0.578233870388238,3,-210158.554131639,4176.09454057825,419070.46506301
"9",4,0.492637705675475,3,-209810.152788446,4074.23738836144,418577.376681057
"10",4.5,0.564009401056221,3,-210253.425404831,4107.20344172232,419397.989807105
"11",5,0.443602019912889,4,-210026.45743629,4258.81087366392,418675.635998702
