"","q","f","BIC1","BIC2","BIC3"
"1",10,0,9775285.5667072,9808075.63992562,9808075.63992562
"2",10,0.5,9806825.73691098,9809503.97445949,9809503.97445949
"3",10,1,9786301.07040579,9804195.25702564,9804195.25702564
"4",10,1.5,9799228.2795791,9802337.86385164,9802337.86385164
"5",10,2,9798853.43973482,9811245.0535476,9811245.0535476
"6",10,2.5,9801640.56272089,9812524.27162343,9812524.27162343
"7",10,3,9802492.20838805,9812020.21788493,9812020.21788493
"8",10,3.5,9803363.47284924,9813232.94587529,9813232.94587529
"9",11,0,9675635.55104987,9661135.27909396,9661135.27909396
"10",11,0.5,9668398.62209418,9683716.09766098,9683716.09766098
"11",11,1,9680768.77399381,9653947.98332649,9653947.98332649
"12",11,1.5,9711999.44742195,9679601.42229332,9679601.42229332
"13",11,2,9714930.15174042,9692896.46541808,9692896.46541808
"14",11,2.5,9719142.04281592,9703665.6121038,9703665.6121038
"15",11,3,9720133.9722154,9698165.96999878,9698165.96999878
"16",11,3.5,9721347.05632728,9698082.47103388,9698082.47103388
"17",12,0,9585804.9867578,9552041.47173698,9552041.47173698
"18",12,0.5,9553378.7287963,9563712.60648981,9563712.60648981
"19",12,1,9574005.87951952,9588777.26595007,9588777.26595007
"20",12,1.5,9574539.80122783,9602334.72436652,9602334.72436652
"21",12,2,9593255.73445707,9590368.6056624,9590368.6056624
"22",12,2.5,9591297.76701836,9593356.79397593,9593356.79397593
"23",12,3,9624864.9889993,9595988.26412681,9595988.26412681
"24",12,3.5,9622494.31521249,9601423.30992127,9601423.30992127
"25",13,0,9471470.53386363,9471715.71756961,9471715.71756961
"26",13,0.5,9457580.21842523,9467319.61428712,9467319.61428712
"27",13,1,9487346.47448604,9494409.00268076,9494409.00268076
"28",13,1.5,9475769.48985879,9486586.21088633,9486586.21088633
"29",13,2,9485186.27180549,9474928.74263563,9474928.74263563
"30",13,2.5,9482320.73337413,9511900.72046746,9511900.72046746
"31",13,3,9508121.2319009,9513386.81475363,9513386.81475363
"32",13,3.5,9507256.59402346,9512628.39398729,9512628.39398729
"33",14,0,9369951.91828008,9344185.93880584,9344185.93880584
"34",14,0.5,9341357.24495084,9358782.68790623,9358782.68790623
"35",14,1,9360436.13320541,9351651.03486627,9351651.03486627
"36",14,1.5,9360502.1438984,9391560.22903593,9391560.22903593
"37",14,2,9368104.26237135,9377304.2441107,9377304.2441107
"38",14,2.5,9374302.99017114,9392345.7237982,9392345.7237982
"39",14,3,9384230.38241183,9380911.84814804,9380911.84814804
"40",14,3.5,9371881.30720357,9382630.43778777,9382630.43778777
"41",15,0,9231733.41487486,9242805.32282144,9242805.32282144
"42",15,0.5,9258146.53472835,9231713.10065557,9231713.10065557
"43",15,1,9269912.87039853,9252493.66601412,9252493.66601412
"44",15,1.5,9275295.89287318,9277524.81523308,9277524.81523308
"45",15,2,9287962.48448657,9273660.02819263,9273660.02819263
"46",15,2.5,9291839.90270626,9284931.20956969,9284931.20956969
"47",15,3,9293556.67234323,9282000.80067911,9282000.80067911
"48",15,3.5,9300946.47882315,9290315.71111789,9290315.71111789
