"","Mean","SD","Method","K_true","case"
"1",0.525998436374091,0.0461587606855871,"PY","K3","Strong-signal"
"2",0.525891445609711,0.0436222910275786,"DP","K3","Strong-signal"
"3",0.531242021195102,0.0273573079383246,"MFM","K3","Strong-signal"
"4",0.981109695552619,0.00709597233396025,"MRFCPY","K3","Strong-signal"
"5",0.981090998494458,0.00707754883866159,"MRFCDP","K3","Strong-signal"
"6",0.981146634911163,0.00705915211793417,"MRFCMFM","K3","Strong-signal"
"7",0.0999706365358866,0.110697072172273,"PY","K3","Weak-signal"
"8",0.0831890669433002,0.105949280546739,"DP","K3","Weak-signal"
"9",0.0940440452538603,0.101491223003188,"MFM","K3","Weak-signal"
"10",0.924281073110255,0.194940126818999,"MRFCPY","K3","Weak-signal"
"11",0.949366954396691,0.137425756247268,"MRFCDP","K3","Weak-signal"
"12",0.949087197766217,0.137389757244676,"MRFCMFM","K3","Weak-signal"
"13",0.7757081427849,0.0179082526884618,"PY","K5","Strong-signal"
"14",0.775286392890521,0.0176493409619181,"DP","K5","Strong-signal"
"15",0.776104462773821,0.0169418568581093,"MFM","K5","Strong-signal"
"16",0.981471585024192,0.00676492441949609,"MRFCPY","K5","Strong-signal"
"17",0.981458317648729,0.00673410476034319,"MRFCDP","K5","Strong-signal"
"18",0.981474200201501,0.00674214138475741,"MRFCMFM","K5","Strong-signal"
"19",0.646456189151284,0.0210671700463914,"PY","K5","Weak-signal"
"20",0.644873172895564,0.0214999543703362,"DP","K5","Weak-signal"
"21",0.647123772948641,0.021632122934503,"MFM","K5","Weak-signal"
"22",0.941442062312488,0.0626046423299748,"MRFCPY","K5","Weak-signal"
"23",0.949938696796586,0.0390741085906018,"MRFCDP","K5","Weak-signal"
"24",0.949772548127475,0.0395730965874914,"MRFCMFM","K5","Weak-signal"
"25",0.675025661952811,0.0191080187508127,"PY","K7","Strong-signal"
"26",0.675735832894409,0.0188931439073926,"DP","K7","Strong-signal"
"27",0.669912667194996,0.0289212176222819,"MFM","K7","Strong-signal"
"28",0.983582049714841,0.00441507923379594,"MRFCPY","K7","Strong-signal"
"29",0.983555365380134,0.00445954552689175,"MRFCDP","K7","Strong-signal"
"30",0.983646858790114,0.00463012638019238,"MRFCMFM","K7","Strong-signal"
"31",0.053478792077251,0.100249189524936,"PY","K7","Weak-signal"
"32",0.0547173956791614,0.100006610995384,"DP","K7","Weak-signal"
"33",0.0533782855129924,0.0896848989908727,"MFM","K7","Weak-signal"
"34",0.876741202477821,0.172371296437619,"MRFCPY","K7","Weak-signal"
"35",0.868990639333677,0.194834458687421,"MRFCDP","K7","Weak-signal"
"36",0.898723261395568,0.0740503676109375,"MRFCMFM","K7","Weak-signal"
