,Mean,SD,Method,K_true,case
1,3.36,0.662709343,PY,K3,Strong-signal
2,3.08,0.340467865,DP,K3,Strong-signal
3,3.1,0.416496564,MFM,K3,Strong-signal
4,3,0,MRFCPY,K3,Strong-signal
5,3,0,MRFCDP,K3,Strong-signal
6,3,0,MRFCMFM,K3,Strong-signal
7,2.1,0.88640526,PY,K3,Weak-signal
8,1.76,0.743955232,DP,K3,Weak-signal
9,1.86,0.857380919,MFM,K3,Weak-signal
10,3,0,MRFCPY,K3,Weak-signal
11,3,0,MRFCDP,K3,Weak-signal
12,3,0,MRFCMFM,K3,Weak-signal
13,5.3,0.580288457,PY,K5,Strong-signal
14,5.08,0.274047516,DP,K5,Strong-signal
15,5,0,MFM,K5,Strong-signal
16,5,0,MRFCPY,K5,Strong-signal
17,5,0,MRFCDP,K5,Strong-signal
18,5,0,MRFCMFM,K5,Strong-signal
19,5.38,0.635353027,PY,K5,Weak-signal
20,5.06,0.239897937,DP,K5,Weak-signal
21,5.04,0.197948664,MFM,K5,Weak-signal
22,4.96,0.197948664,MRFCPY,K5,Weak-signal
23,4.96,0.197948664,MRFCDP,K5,Weak-signal
24,4.96,0.197948664,MRFCMFM,K5,Weak-signal
25,7.42,0.537947725,PY,K7,Strong-signal
26,7.16,0.37032804,DP,K7,Strong-signal
27,7.08,0.274047516,MFM,K7,Strong-signal
28,7,0,MRFCPY,K7,Strong-signal
29,7,0,MRFCDP,K7,Strong-signal
30,7,0,MRFCMFM,K7,Strong-signal
31,2.6,2.276768207,PY,K7,Weak-signal
32,2.32,2.180058041,DP,K7,Weak-signal
33,2.6,2.194613071,MFM,K7,Weak-signal
34,6.81,0.328260723,MRFCPY,K7,Weak-signal
35,6.8,0.350509833,MRFCDP,K7,Weak-signal
36,6.88,0.328260723,MRFCMFM,K7,Weak-signal
