"ARI" "" "" "" ""
"result.1" 0.511577697570434 3 -8098237.82081445 -98510.7045302753 16556361.0785886
"result.2" 0.525708893532626 3 -8151440.67325381 -98741.2851032109 16663227.9446132
"result.3" 0.533014762726447 3 -8138238.87024871 -98844.2389260557 16637030.2462487
"result.4" 0.510515485843991 3 -8136790.34517121 -98503.2567191604 16633451.2316799
"result.5" 0.541454063705115 3 -8132351.91365917 -98859.5474860084 16625286.9501895
"result.6" 0.56653452127954 3 -8129394.27697532 -98571.4616503439 16618795.5051505
"result.7" 0.502855201722072 3 -8102236.32789127 -98782.4705621739 16564901.624806
"result.8" 0.519636272611231 3 -8160304.73078741 -98699.5140667664 16680872.5176075
"result.9" 0.55075979878967 3 -8091132.0071739 -98385.4892638546 16541899.0207746
"result.10" 0.56097923507275 3 -8132758.09953305 -98921.9614668349 16626224.1498989
"result.11" 0.524130663888327 3 -8163538.4163692 -98492.6397163453 16686926.1400702
"result.12" 0.520844790597273 3 -8116130.59332029 -98707.9188127841 16592541.0521653
"result.13" 0.506244522835188 3 -8119609.69434186 -98597.0707453137 16599277.5580735
"result.14" 0.48812019507307 3 -8143641.57597466 -98578.8760715187 16647304.9319915
"result.15" 0.543977884685909 3 -8122885.10035442 -98823.9544799599 16606282.1375679
"result.16" 0.504816884627859 3 -8103423.73581007 -98888.6200625181 16567488.7396443
"result.17" 0.520904846078926 3 -8110514.40972928 -98531.1022519821 16580955.0518617
"result.18" 0.552662960906758 5 -8105564.53133627 -98617.8598971441 16571302.587955
"result.19" 0.528023276512815 3 -8093781.48864971 -98903.7691020031 16548234.5434026
"result.20" 0.468707661976844 3 -8130414.60732268 -99413.4169383024 16622446.298832
"result.21" 0.569555380578336 3 -8190758.11740172 -98744.359781826 16741868.9822662
"result.22" 0.515684894322526 3 -8140054.71732656 -98707.5579928111 16640388.5785379
"result.23" 0.592531673396839 3 -8125404.96808054 -98590.2065182009 16610854.3770966
"result.24" 0.463371266465556 3 -8109059.81508974 -98740.0152180359 16578463.6885147
"result.25" 0.56563923904178 4 -8101053.23675302 -98477.7775349206 16561926.056475
"result.26" 0.513848086729462 3 -8120897.63586907 -98354.1600646376 16601367.6197666
"result.27" 0.543987792111416 3 -8093501.124464 -98712.3966543253 16547291.0701358
"result.28" 0.494335717233818 5 -8075557.75803665 -98743.911185807 16511467.366344
"result.29" 0.504364239269926 3 -8129832.04147194 -98836.900301365 16620201.9114457
"result.30" 0.554496701735684 3 -8091462.98907023 -98455.1577529813 16542700.3215456
"result.31" 0.541738068771505 3 -8148496.30976976 -98658.6416982742 16657173.9308352
"result.32" 0.522351471997832 3 -8123089.1407777 -98361.0931275605 16605764.4957097
"result.33" 0.569237417702807 3 -8097777.9197753 -98509.1802430154 16555438.2279358
"result.34" 0.542440608379469 3 -8133532.42512068 -98391.4853914114 16626711.8489233
"result.35" 0.570279427447529 3 -8111464.72027385 -98695.0198840971 16583183.508215
"result.36" 0.550566877812569 3 -8105952.09936993 -98857.0637482239 16572482.3541354
"result.37" 0.51306622255733 3 -8147747.32231966 -98551.6636968698 16655461.9999322
"result.38" 0.563077001961791 3 -8113379.8989713 -98340.7899376338 16586305.405717
"result.39" 0.531923973843624 3 -8095374.58940781 -98552.8652325126 16550718.9371798
"result.40" 0.517915903437566 3 -8148321.39427938 -98659.188356882 16656825.1931717
"result.41" 0.53442808432905 3 -8133696.90543788 -98354.0050977999 16626965.8489705
"result.42" 0.513288356417711 3 -8174323.70635868 -98750.6673733963 16709012.7753633
"result.43" 0.503502199383153 3 -8110532.20180135 -98768.1259316268 16581464.6833651
"result.44" 0.534956641724055 3 -8095160.29508816 -98674.4918291763 16550533.6017338
"result.45" 0.577104404570546 3 -8110215.71524249 -98624.3570658566 16580544.1725158
"result.46" 0.554579009951958 3 -8108568.75011143 -98791.9159003782 16577585.3599227
"result.47" 0.543136909933104 3 -8099086.31358168 -98749.1279038958 16558534.9108703
"result.48" 0.547271681641 3 -8102823.62179965 -98819.3020189228 16566149.8755363
"result.49" 0.508074579501545 3 -8097603.65078071 -98917.6568827466 16555906.643226
"result.50" 0.523877607468754 3 -8105693.1217545 -98393.4069665706 16571037.0853413
