"ARI" "" "" "" "" "" ""
"result.1" 0.722562215554823 0.6306204170735 0.631055010612691 3 -8098432.97654869 -98743.9379230087 16557217.8568425
"result.2" 0.788138085553374 0.701698971539366 0.702049924462381 3 -8151569.84206857 -98737.0784153112 16663477.8688669
"result.3" 0.753074806392613 0.659728689049415 0.660129031188986 3 -8138440.78106606 -98746.4763974387 16637238.5428261
"result.4" 0.759742748461906 0.670353890519456 0.670741722971674 3 -8136793.08466467 -98617.4431437561 16633685.083516
"result.5" 0.779889848252575 0.691441738162184 0.691804767650922 3 -8132434.41813175 -99004.1187055002 16625741.1015736
"result.6" 0.766322011456669 0.679500672219173 0.679877739828484 3 -8129341.3772651 -98545.6010080372 16618637.9844454
"result.7" 0.764154256323839 0.68854797631331 0.688914425997469 3 -8102373.62788201 -99061.9621918606 16565735.2080469
"result.8" 0.73352664499673 0.647813488327537 0.648227838186823 3 -8160511.49260502 -98835.7949280447 16681558.6029653
"result.9" 0.794174053612619 0.703420518002205 0.70376944449139 3 -8091192.23840639 -98806.8272480812 16542862.1592081
"result.10" 0.782441078590244 0.691048636032932 0.691412110130469 3 -8132904.07689554 -98922.9702351528 16626518.1221605
"result.11" 0.814990281281557 0.728460213205618 0.728779665438656 3 -8163666.61470016 -98586.7728971526 16687370.8030938
"result.12" 0.760984708988861 0.672056507032089 0.672442332884449 3 -8116141.18942143 -98921.3560235087 16592989.118789
"result.13" 0.774068274227305 0.691443393118046 0.691806421595244 3 -8119643.07033448 -98777.6102766313 16599705.3891214
"result.14" 0.736551981131441 0.641462690226818 0.641884519438395 3 -8143793.43810631 -98775.928142209 16648002.7603962
"result.15" 0.741934750529249 0.647185253767365 0.647600356379247 3 -8123064.17793402 -98802.2093682286 16606596.8025036
"result.16" 0.752967751003153 0.669052453464567 0.669441872333911 3 -8103611.69792937 -98869.5392115548 16567826.502181
"result.17" 0.754746151186728 0.661927278562079 0.662325037502917 3 -8110579.09688336 -98635.9059716211 16581294.0336091
"result.18" 0.788732514560111 0.709445431365561 0.709787269033132 3 -8105583.77159853 -98808.1630138576 16571647.8971239
"result.19" 0.779811215579746 0.693000678890633 0.693361871676773 3 -8093816.51089354 -98940.9418712795 16548378.9334288
"result.20" 0.777619893163207 0.686259653915284 0.686628778446541 3 -8130545.35232306 -98798.2400667142 16621551.2126787
"result.21" 0.766670158844206 0.678969388368274 0.679347098001281 3 -8190855.39969046 -99133.1075918483 16742841.0424637
"result.22" 0.757433877839375 0.677296542659026 0.677676231592775 3 -8140073.44618354 -98975.7638723396 16640962.4480109
"result.23" 0.810259118600722 0.722457643846305 0.722784170143956 3 -8125466.15937665 -98815.9113937908 16611428.16944
"result.24" 0.764800874792951 0.678456055228941 0.678834372799705 3 -8109125.42394693 -98862.6648862986 16578840.2055656
"result.25" 0.773189091074885 0.692641998013454 0.693003616600814 3 -8101231.10359398 -98909.7085655248 16563145.6522181
"result.26" 0.789495031281294 0.701765321748348 0.702116197878035 3 -8120934.14959414 -98823.4594438878 16602379.2459752
"result.27" 0.798535412851257 0.712898643872852 0.713236422312285 3 -8093493.2291137 -98822.3734417394 16547495.23301
"result.28" 0.761887147432655 0.667278368802303 0.667669821826272 3 -8075735.06057957 -98759.2679856826 16511852.6850296
"result.29" 0.737579539852254 0.648877179700235 0.649290324457778 3 -8129992.55898246 -98813.877187664 16620476.9002394
"result.30" 0.815730092887824 0.729932456483485 0.730250199996389 3 -8091692.47653542 -98669.0657327635 16543587.1124355
"result.31" 0.815986158628959 0.736203296774315 0.736513650359695 3 -8148502.08471554 -98881.5773235121 16657631.3519772
"result.32" 0.782497288427166 0.6873189938413 0.687686866879787 3 -8123171.54430695 -98619.2568238587 16606445.6301607
"result.33" 0.793079341489917 0.71391639096839 0.714252972196729 3 -8097809.7837399 -98636.91709273 16555757.4295644
"result.34" 0.81207446904342 0.724535122930173 0.724859206164609 3 -8133678.41036787 -98565.7267327554 16627352.3021004
"result.35" 0.809610000554856 0.724796764979399 0.725120548179475 3 -8111513.75344087 -98748.3974892481 16583388.3297594
"result.36" 0.771166478492523 0.684364959553587 0.684736304852624 3 -8105947.509538 -98886.1961804213 16572531.439336
"result.37" 0.783786265730272 0.694944410312473 0.695303306828546 3 -8147785.71126773 -98688.440982193 16655812.332399
