"ARI" "" "" "" "" "" ""
"result.1" 0.927615576710706 0.879137498194545 0.879279691245907 3 -8098432.1826381 -99045.6815208647 16557819.7562171
"result.2" 0.939204207193178 0.892697227856763 0.892823466011327 3 -8151620.13478633 -99139.1896140527 16664382.6766999
"result.3" 0.930177443211087 0.88086337505622 0.881003534619261 3 -8138443.90694884 -99214.6616861253 16638181.1651691
"result.4" 0.934471549732744 0.888101352743801 0.888232997775836 3 -8136875.26882119 -98785.3045788221 16634185.1746992
"result.5" 0.958103767687658 0.920594982020597 0.920688399154629 3 -8132390.66519613 -99139.5611993813 16625924.4806901
"result.6" 0.926853051946682 0.879135389995751 0.87927758278336 3 -8129403.6436132 -98869.6419837839 16619410.5990931
"result.7" 0.936412499584358 0.898153096147472 0.898272917217775 3 -8102405.99920241 -99296.9327073632 16566269.8917187
"result.8" 0.934585175054786 0.888476438850735 0.888607641943041 3 -8160527.17366812 -99208.4881677091 16682335.3515708
"result.9" 0.947356999246183 0.903690732901087 0.903803993315526 3 -8091204.65756256 -98805.623796295 16542884.5906168
"result.10" 0.955875950635187 0.9192686021459 0.919363578861525 3 -8132944.64482707 -99143.907716068 16627041.1329854
"result.11" 0.971488472517337 0.945288763510919 0.945353128283234 3 -8163686.67883034 -98781.1501505718 16687799.685861
"result.12" 0.953421873766393 0.911553014661012 0.911657067918997 3 -8116192.89147926 -98972.0458842434 16593193.9026261
"result.13" 0.949222170911883 0.91075165523217 0.910856653325468 3 -8119667.4395804 -98924.5709643968 16600048.0489887
"result.14" 0.927435524081521 0.878843308910002 0.878985845558582 3 -8143781.0080321 -98860.8697615389 16648147.7834864
"result.15" 0.936126267083961 0.886606361247802 0.886739766224459 3 -8123065.35105695 -99111.89304174 16607218.5160965
"result.16" 0.950198317660932 0.911035889129464 0.911140553845126 3 -8103593.31781559 -98972.1483651494 16567994.9602606
"result.17" 0.918632016392512 0.865953049657465 0.866110755957354 3 -8110628.34981408 -98841.5208810258 16581803.7692893
"result.18" 0.971245167199508 0.945184890933332 0.945249378594322 3 -8105626.9879327 -99005.759181362 16572129.5221273
"result.19" 0.941409808129703 0.896946970888601 0.897068209370356 3 -8093816.22546451 -99207.7069573367 16548911.8927428
"result.20" 0.950014351466838 0.911267003590706 0.911371395310966 3 -8130544.7009211 -99099.1396837075 16622151.7091088
"result.21" 0.960769119760126 0.926453576018175 0.926540100004508 3 -8190920.93349454 -99330.9002229437 16743367.6953341
