"ARI" "" "" "" "" "" ""
"result.1" 0.717804517978893 0.625613861753966 0.626054346980823 3 -8098407.44673092 -98708.0876262599 16557095.0966135
"result.2" 0.791314875829293 0.702828416025063 0.70317803945343 3 -8151598.78775917 -98936.5551939861 16663934.7138054
"result.3" 0.742302876705709 0.648648837138216 0.649062213657254 3 -8138437.31124759 -98901.811672634 16637542.2737396
"result.4" 0.756607729908257 0.666787800874959 0.667179830079995 3 -8136845.61310789 -98654.8346539807 16633864.9234229
"result.5" 0.777036849476638 0.689460091048491 0.689825452672469 3 -8132391.18990527 -98967.2072575099 16625580.8222247
"result.6" 0.765493608330646 0.678107142563287 0.678485850041337 3 -8129405.26953091 -98591.2114181882 16618856.9897973
"result.7" 0.756712995121039 0.682378953917579 0.682752665679365 3 -8102403.46667009 -98907.9681322697 16565486.8975039
"result.8" 0.736937973473789 0.651303375538436 0.651713620209428 3 -8160492.2006646 -98910.4525195067 16681669.3342673
"result.9" 0.791913053614683 0.701499178802892 0.701850368500103 3 -8091190.27969331 -98512.9775181991 16542270.5423222
"result.10" 0.789561345491984 0.698074186227095 0.698429393304248 3 -8132944.91256055 -98851.4754987349 16626456.8040177
"result.11" 0.812394131828705 0.724809552687283 0.725133299729817 3 -8163686.12963878 -98587.9470757984 16687412.1813283
"result.12" 0.759678654928075 0.670590657815464 0.670978206624391 3 -8116198.8434971 -98782.3504959931 16592826.4158853
"result.13" 0.776880557298797 0.695729680150561 0.696087665795162 3 -8119644.35229413 -98678.2189857022 16599509.1704588
"result.14" 0.7370620556326 0.641036009127261 0.641458337487247 3 -8143801.97021489 -98657.8870976742 16647783.7425243
"result.15" 0.745151114741984 0.650479629541235 0.650890854089148 3 -8123029.67994688 -98750.0433733391 16606423.4745396
"result.16" 0.754636686837323 0.669317273523175 0.669706375559354 3 -8103573.51305183 -99006.9208379959 16568024.8956788
"result.17" 0.756552045262833 0.663608486501316 0.664004265099412 3 -8110586.69948779 -98820.5389473134 16581678.5047693
"result.18" 0.786883210430596 0.707899577592995 0.708243234047733 3 -8105591.33863 -98670.6098124511 16571387.924784
"result.19" 0.778309152797765 0.690361579285669 0.69072587546192 3 -8093834.53260378 -98776.0553723507 16548085.2038514
"result.20" 0.782204734424802 0.692066069599333 0.692428365365034 3 -8130525.10696628 -98710.4581551951 16621335.1581421
"result.21" 0.767403104807522 0.67889567193397 0.679273469787513 3 -8190921.11007009 -99125.8304805541 16742957.9090004
"result.22" 0.759260117259121 0.678948670592538 0.679326415357901 3 -8140091.67518765 -98774.5408168931 16640596.4599082
"result.23" 0.810259118600722 0.722457643846305 0.722784170143956 3 -8125441.13701914 -98641.2149358107 16611028.731809
"result.24" 0.76402240008957 0.677763466050099 0.678142597207558 3 -8109109.51938664 -98788.7397886465 16578660.5462497
"result.25" 0.777457127254235 0.698416546981907 0.698771367457279 3 -8101254.21622995 -98738.2184089573 16562848.8971769
"result.26" 0.788756789183517 0.699847473220087 0.700200604350035 3 -8120937.99821453 -98721.7506291906 16602183.5255866
"result.27" 0.802088088269718 0.716588525003174 0.716921961365911 3 -8093510.7327117 -98925.6550710217 16547736.8034646
"result.28" 0.760645317200418 0.665644018523849 0.666037395015794 3 -8075708.76390748 -98921.8164097018 16512125.1885335
"result.29" 0.735759636103504 0.646733789250769 0.647149452793133 3 -8130026.28733287 -98709.3262143511 16620335.2549936
"result.30" 0.812572155242089 0.725840408323228 0.726162965313913 3 -8091657.1066824 -98537.2037445835 16543252.6487531
"result.31" 0.814521012725237 0.734692435988463 0.735004568243625 3 -8148530.53326724 -98732.3400413892 16657389.7745164
"result.32" 0.780759256030675 0.685446529500832 0.685816604229911 3 -8123138.86548975 -98741.9753372408 16606625.7095531
"result.33" 0.793073650898336 0.713752828616179 0.714089600062135 3 -8097813.95379587 -98641.0473795422 16555774.03025
"result.34" 0.812514402119907 0.724509646975718 0.724833761839755 3 -8133674.22818338 -98524.6981411117 16627261.8805481
"result.35" 0.81257023500492 0.728357654915222 0.72867724897603 3 -8111510.30232981 -98727.754679231 16583340.1419172
"result.36" 0.767646612209002 0.680598781439773 0.680974557758091 3 -8105995.05344661 -98742.2099588572 16572338.5547101
"result.37" 0.782125934058522 0.693121923304337 0.693482966288026 3 -8147828.43649786 -98721.625967387 16655964.1528296
"result.38" 0.793066348995648 0.705147901468393 0.705494809112088 3 -8113565.61293017 -98529.0208662679 16587053.295492
"result.39" 0.763835164129839 0.670736868379725 0.671124269684157 3 -8095424.11671553 -98732.7117024119 16551177.684735
"result.40" 0.762851643021026 0.673743638728072 0.674127480381779 3 -8148389.34500127 -98755.9597466446 16657154.637395
"result.41" 0.775332252722954 0.687583275964851 0.687950830143411 3 -8133747.81913605 -98446.1713534867 16627252.0088782
"result.42" 0.793342282750753 0.701858346939085 0.702209111833411 3 -8174502.34754276 -98834.5843130127 16709537.8916107
"result.43" 0.733965566210441 0.64561476589469 0.646031739558586 3 -8110695.18470786 -98676.0022493317 16581606.4018135
"result.44" 0.793606843163839 0.701669015014796 0.702019997890443 3 -8095218.65422167 -98682.3696342605 16550666.075611
"result.45" 0.803815664141622 0.71738058019603 0.717713075648339 3 -8110413.79717661 -98700.9673924319 16581093.5570372
"result.46" 0.80478486153487 0.720315864828917 0.720644916623404 3 -8108723.18838507 -98858.8946871232 16578028.1940435
"result.47" 0.765858061712707 0.678474790151547 0.678853074378798 3 -8099165.61666527 -98701.8655724357 16558598.9923745
"result.48" 0.766988916785991 0.676141315404373 0.676522331291367 3 -8103028.68338747 -98744.391542799 16566410.1777597
"result.49" 0.757060141917429 0.667284796569924 0.667676262080897 3 -8097661.40167286 -98909.9747457101 16556006.7807363
"result.50" 0.776549815129072 0.691014471845392 0.691378008853422 3 -8105737.93003716 -98578.2594265396 16571496.4068265
