"ARI" "" "" "" "" "" ""
"result.1" 0.927615576710706 0.879137498194545 0.879279691245907 3 -8098432.73980298 -98981.7936277369 16557693.0947606
"result.2" 0.939204207193178 0.892697227856763 0.892823466011327 3 -8151620.06066226 -99120.1554945399 16664344.4602127
"result.3" 0.932156478347434 0.883248160194776 0.883385513986883 3 -8138443.85593089 -99204.6142001172 16638160.9681611
"result.4" 0.932472267230289 0.885556199355672 0.885690838992284 3 -8136875.28681929 -98853.7283653294 16634322.0582684
"result.5" 0.963438683553107 0.929163846393439 0.929247182304423 3 -8132391.12689015 -99274.8534897806 16626195.988659
"result.6" 0.923451073832936 0.87380102844562 0.873949497037456 3 -8129403.9655659 -98844.0635169734 16619360.0860649
"result.7" 0.936412499584358 0.898153096147472 0.898272917217775 3 -8102439.8092337 -99273.1333381454 16566289.9130428
"result.8" 0.932602745011051 0.886133613218604 0.886267572610312 3 -8160527.22909402 -99206.675680481 16682331.8374481
"result.9" 0.947356999246183 0.903690732901087 0.903803993315526 3 -8091204.45523231 -98785.4280320843 16542843.7944279
"result.10" 0.955875950635187 0.9192686021459 0.919363578861525 3 -8132944.70660507 -99090.8588577699 16626935.1588248
"result.11" 0.971632978476725 0.944630206027614 0.944695345637436 3 -8163686.69971351 -98724.7471333247 16687686.9215928
"result.12" 0.953421873766393 0.911553014661012 0.911657067918997 3 -8116192.86914167 -98986.6334847728 16593223.033152
"result.13" 0.949222170911883 0.91075165523217 0.910856653325468 3 -8119667.25223498 -98912.3559684504 16600023.244306
"result.14" 0.925999567913595 0.875755723996594 0.875901893268874 3 -8143780.88884339 -99043.5731223467 16648512.9518306
"result.15" 0.937541290409779 0.889337559515018 0.889467751634553 3 -8123065.4429036 -99104.5902034287 16607204.0941132
"result.16" 0.950198317660932 0.911035889129464 0.911140553845126 3 -8103593.2906526 -98949.8864578944 16567950.3821201
"result.17" 0.918019592508453 0.866624479386404 0.866781396285457 3 -8110628.29168349 -98994.413616316 16582109.4384987
"result.18" 0.968340846873872 0.937863591346581 0.937936692221608 3 -8105628.02435972 -98947.210206932 16572014.4970324
"result.19" 0.941408735992862 0.896463855423562 0.896585662737573 3 -8093824.5230028 -99015.0142798659 16548543.1024645
"result.20" 0.950174071535376 0.911848226982986 0.911951935381991 3 -8130544.84616861 -99045.4982639278 16622044.7167642
"result.21" 0.960769119760126 0.926453576018175 0.926540100004508 3 -8190920.750805 -99297.0891787291 16743299.7078666
"result.22" 0.936381805342151 0.89514495766655 0.895268315500748 3 -8140093.58550759 -99079.5950603583 16641210.389035
"result.23" 0.957452672441243 0.925526480708657 0.925614095835373 3 -8125467.27867728 -98788.452811703 16611375.4908771
"result.24" 0.9449058329469 0.905411709847254 0.905522990696595 3 -8109113.18008375 -98978.2635114835 16579046.9150896
