"ARI" "" "" "" "elapsed"
"result.1" 0.680578303452096 0.609178328321292 0.609408087734635 2 38.88
"result.2" 0.977272248010593 0.95678288474374 0.956833625461804 3 36.761
"result.3" 0.650654934248442 0.559912361886808 0.560171083479555 2 38.544
"result.4" 0.652562365096135 0.563242449363915 0.563499212507695 2 37.573
"result.5" 0.961764518881866 0.936228789899398 0.936303558765237 3 40.112
"result.6" 0.939178146104364 0.896563742278747 0.896685312523979 3 37.924
"result.7" 0 0 0 1 37.382
"result.8" 0.541316809263115 0.425902717168981 0.426240227017525 2 39.263
"result.9" 0.662360922796848 0.588342386380454 0.588584396015261 2 41.259
"result.10" 0.469858208050903 0.480398775943414 0.480704436553073 2 38.834
"result.11" 0.680578303452096 0.609178328321292 0.609408087734635 2 38.712
"result.12" 0 0 0 1 38.728
"result.13" 0.920703108705625 0.873872185791608 0.874019518773448 3 37.8560000000001
"result.14" 0.536915044247655 0.5053010386601 0.505591955936607 2 41.076
"result.15" 0.945782285991314 0.904221448362159 0.904333743818244 3 37.527
"result.16" 0 0 0 1 36.303
"result.17" 0.924636136548679 0.869167034212551 0.869320953073637 3 34.436
"result.18" 0 0 0 1 36.7579999999999
"result.19" 0.951982426041492 0.911610980186188 0.911714706985967 3 37.84
"result.20" 0 0 0 1 37.395
"result.21" 0 0 0 1 37.373
"result.22" 0 0 0 1 35.816
"result.23" 0.562069621555274 0.543710968992613 0.543979300974437 2 39.912
"result.24" 0.451419421737602 0.456212608351059 0.456532505944766 2 35.643
"result.25" 0 0 0 1 37.581
"result.26" 0.96035556499863 0.923433505280893 0.923523582440083 3 38.1179999999999
"result.27" 0 0 0 1 40.6600000000001
"result.28" 0.435541770903261 0.401523439670507 0.401875461835283 2 35.4099999999999
"result.29" 0.954333179317277 0.913025792550017 0.913128113416835 3 36.741
"result.30" 0.67103718986418 0.575686360233539 0.575935807525789 2 36.056
"result.31" 0.349138136444987 0.345512085720677 0.345896854923288 2 36.606
"result.32" 0.473004737705657 0.48415650857792 0.48445995642371 2 40.3
"result.33" 0 0 0 1 40.098
"result.34" 0.944651293201713 0.899618664005799 0.899736302541175 3 39.8839999999998
"result.35" 0 0 0 1 37.5759999999998
"result.36" 0.964105722604082 0.933254709947809 0.933333232557909 3 37.058
"result.37" 0.934144261168851 0.88470738442444 0.884843019160648 3 37.7169999999999
"result.38" 0.678818978011028 0.594107364091692 0.594345979592053 2 40.2719999999999
"result.39" 0 0 0 1 39.9559999999999
"result.40" 0.678503998111855 0.599627628659245 0.59986300263698 2 37.604
"result.41" 0.664819031814549 0.576425598771721 0.576674613281547 2 40.4549999999999
"result.42" 0.700881901118506 0.714753785864525 0.715084048683327 3 41.2939999999999
"result.43" 0 0 0 1 38.1990000000001
"result.44" 0.56177693256838 0.530850129772336 0.531126019159957 2 36.0040000000001
"result.45" 0.542604629740143 0.51562272468296 0.515907578733396 2 40.3799999999999
"result.46" 0.664156854686435 0.56836158612106 0.568615338223904 2 37.289
"result.47" 0.642468584345758 0.538135683911754 0.538407206813032 2 36.932
"result.48" 0.546167288465893 0.530401513988375 0.530677680477891 2 37.2840000000001
"result.49" 0.679485432792387 0.60248008281256 0.602713778746388 2 38.289
"result.50" 0 0 0 1 39.702
