"ARI" "" "" "elapsed"
"result.1" 0.26199170105637 0.235445733073201 0.236974314559934 15.313
"result.2" 0.319395584385119 0.258465804377722 0.259803226419078 12.688
"result.3" 0.295327627617508 0.251055661793194 0.252592750674854 12.804
"result.4" 0.336164195223701 0.255851210820368 0.257418780901665 12.515
"result.5" 0.279561318837337 0.246962333021539 0.248667709727396 12.557
"result.6" 0.324896925501664 0.271759144051267 0.273287436119544 12.41
"result.7" 0.269239378930846 0.226708379072695 0.22844704627489 12.144
"result.8" 0.308852700351111 0.265730364295911 0.267274721242757 12.463
"result.9" 0.304450763940486 0.263857056656937 0.265349203698849 12.51
"result.10" 0.30369873218108 0.263911352566967 0.265255272460354 12.524
"result.11" 0.348849544565444 0.274839695142869 0.27636941489767 12.362
"result.12" 0.289187941657266 0.251971211127966 0.253541140592368 12.466
"result.13" 0.296367822029024 0.257183508598477 0.258685377677868 12.906
"result.14" 0.331135852001164 0.278519231365255 0.279844459620567 12.581
"result.15" 0.301567608606587 0.264933283224237 0.266255365066137 12.388
"result.16" 0.317381774856101 0.261973753646336 0.263314536824427 12.544
"result.17" 0.312709417591759 0.255139474276215 0.256699566436074 12.568
"result.18" 0.291527165942589 0.258767854253059 0.260292417675401 12.361
"result.19" 0.285776475283742 0.25222333103618 0.253754179229855 12.182
"result.20" 0.286083435142526 0.241476929852105 0.24285230941709 12.625
"result.21" 0.314983558817852 0.270935178105129 0.272269434217346 12.266
"result.22" 0.279493146779625 0.24320338663061 0.244774186965006 12.315
"result.23" 0.309779889749935 0.25944950923409 0.260961393316961 12.392
"result.24" 0.276942864736474 0.247007292618464 0.248531560828949 12.453
"result.25" 0.285717961809078 0.262957762447692 0.264424500354295 12.436
"result.26" 0.289535349370875 0.261511198492011 0.263057245503699 12.367
"result.27" 0.296549413397063 0.265578711901324 0.267256502447788 12.214
"result.28" 0.245890312929838 0.209688991032343 0.211473544679478 12.384
"result.29" 0.263680790585674 0.231702716212109 0.23325587171089 12.264
"result.30" 0.304677411121728 0.263777055442211 0.265109283874147 12.219
"result.31" 0.295951995980016 0.261282582340991 0.262845370005719 12.428
"result.32" 0.265058770286258 0.22168867840646 0.223276499780574 12.509
"result.33" 0.30726351478434 0.255991690057156 0.25769740378612 12.753
"result.34" 0.299109425324109 0.254616976244137 0.256131654513914 12.588
"result.35" 0.330770851427424 0.292974293159541 0.294257887343351 12.094
"result.36" 0.366763036458718 0.303180210278522 0.304479260130822 12.583
"result.37" 0.30178495240951 0.260603593819253 0.261965186849338 12.247
"result.38" 0.277495387548779 0.242216009096225 0.243948487439692 12.658
"result.39" 0.279976013566565 0.256157238573561 0.257664816575499 12.441
"result.40" 0.250240249995148 0.225057774385394 0.226595099956637 12.598
"result.41" 0.295910301187413 0.252164052216152 0.253702325800553 12.347
"result.42" 0.285736630717644 0.241128956711037 0.242693972379305 12.1569999999999
"result.43" 0.216867858700577 0.198165258347904 0.199895862784192 12.2669999999999
"result.44" 0.301618055954009 0.253492421187084 0.25512261362251 12.403
"result.45" 0.308063160904917 0.26673715263239 0.268264428897282 12.313
"result.46" 0.306878385946785 0.27915416796128 0.28043526894572 12.2420000000001
"result.47" 0.333372513749166 0.258272845904406 0.259835803426553 12.34
"result.48" 0.298921366741117 0.244048421391516 0.245604094238795 12.147
"result.49" 0.299647979869546 0.244701521263763 0.246425588806583 12.239
"result.50" 0.27915410771813 0.239640059271643 0.241199224296817 12.002
