"ARI" "" "" "" "" "" ""
"result.1" 0.990605386224478 0.978991343782904 0.979016059445065 3 -8098406.35059356 -99032.230039608 16557741.1891655
"result.2" 0.98815143393236 0.975718769811301 0.975747335383737 3 -8151601.39198559 -99163.6639249649 16664394.1397202
"result.3" 0.994144542287249 0.987434264238459 0.987449047219254 3 -8138438.34135968 -99271.3875787652 16638283.485776
"result.4" 0.982496535767613 0.967221712403077 0.967260274751797 3 -8136874.91693436 -99008.3428881188 16634630.5475441
"result.5" 0.987987811506311 0.976165675809335 0.976193715715237 3 -8132390.79862343 -99427.3209806323 16626500.2671073
"result.6" 0.987696175285857 0.979550525461797 0.979574583271005 3 -8129405.22991153 -98863.5751242646 16619401.6379707
"result.7" 0.986262298038757 0.972204932137747 0.972237631614978 3 -8102403.18992645 -99080.6888729536 16565831.7854979
"result.8" 0.978406610803871 0.959275534486094 0.959323444735748 3 -8160491.02982834 -99300.6958128257 16682447.4791815
"result.9" 0.982731243837822 0.964586001778202 0.964627664687532 3 -8091190.39005418 -98860.8229383172 16542966.4538841
"result.10" 0.982341415272319 0.966675377870334 0.966714531874081 3 -8132945.30053306 -99211.7557737232 16627178.1405127
"result.11" 0.985031930865245 0.968799317534486 0.968836023515226 3 -8163686.35992269 -98890.1695058098 16688017.0867561
"result.12" 0.994554474549528 0.986858362032315 0.986873822520688 3 -8116198.17643865 -99064.5121492913 16593389.405075
"result.13" 0.986433898669308 0.973744328270947 0.973775216776583 3 -8119644.82771638 -98995.4084170074 16600144.5001659
"result.14" 0.973791930673555 0.951224102419444 0.951281484675954 3 -8143802.50001781 -98973.5040460949 16648416.0360269
"result.15" 0.990039910801058 0.979130618288006 0.979155164199727 3 -8123029.00008649 -99010.3924187758 16606942.8129097
"result.16" 0.987651771460743 0.973058302694 0.973089998409772 3 -8103573.65183173 -99229.0803086277 16568469.4921799
"result.17" 0.962298962358335 0.937253668390134 0.937327487020692 3 -8110586.46168923 -99011.7492155965 16582060.4497088
"result.18" 0.994316881376707 0.988556648760078 0.988570111310123 3 -8105591.32617908 -98948.2835129863 16571943.2472833
"result.19" 0.987017543744694 0.974119222967001 0.974149670488489 3 -8093833.56410384 -99077.123460097 16548685.403027
"result.20" 0.981228754847547 0.965069836128182 0.965110929805073 3 -8130524.82140246 -99021.8616386472 16621957.3939814
"result.21" 0.990201202225428 0.979124783318196 0.979149341960154 3 -8190915.43467179 -99323.1366779209 16743341.1705986
"result.22" 0.968113933388262 0.944960075031283 0.945024826693476 3 -8140092.21845974 -99018.2422313244 16641084.9492813
"result.23" 0.990201049663915 0.979876010954951 0.97989968585612 3 -8125441.03134067 -98890.0048746506 16611526.1003298
"result.24" 0.988147416513507 0.975480639761269 0.97550948555864 3 -8109108.71484111 -99082.597979997 16579246.6535413
"result.25" 0.989285526105244 0.975272659609926 0.97530174626118 3 -8101253.77441341 -99022.5582481846 16563416.6932223
"result.26" 0.984742699137288 0.971250756586725 0.97128457880058 3 -8120937.4961841 -99022.9967501179 16602785.0137676
"result.27" 0.994316881376707 0.988556648760078 0.988570111310123 3 -8093510.98977272 -99187.1558759709 16548260.3191965
