"ARI" "" "" "" "" "" ""
"result.1" 0.721401528713961 0.628934183287947 0.629370760876534 3 -8098337.55113543 -98686.7261270778 16556912.5824241
"result.2" 0.791650736985356 0.705130460873912 0.705477375938305 3 -8151536.65601871 -98876.5611695922 16663690.4622757
"result.3" 0.751287557757316 0.658029171094409 0.658431512952514 3 -8138440.65933745 -98872.3529133341 16637490.0524007
"result.4" 0.757210062900014 0.668921609934275 0.669311131276892 3 -8136792.6752472 -98683.9209447697 16633817.2202831
"result.5" 0.77596074126729 0.687916805095025 0.688283985963724 3 -8132391.3728459 -98946.8342633249 16625540.4421176
"result.6" 0.76344156256507 0.675935036736559 0.676316301162312 3 -8129326.56666098 -98567.0098785942 16618651.1809783
"result.7" 0.761349084924696 0.688081710166423 0.688448711453449 3 -8102400.17884807 -98803.2222777527 16565270.8301508
"result.8" 0.738159938632596 0.653112217774919 0.653520335343904 3 -8160511.84002802 -98883.724708713 16681655.1573726
"result.9" 0.792910241741143 0.701662247556233 0.702013242559001 3 -8091157.10444964 -98551.2356424902 16542280.7080834
"result.10" 0.790538188117089 0.700024696539646 0.70037760966571 3 -8132903.9022287 -98965.928299229 16626603.688955
"result.11" 0.814320874565308 0.728290214221538 0.728609866698302 3 -8163666.69447342 -98652.108473662 16687501.6337933
"result.12" 0.760984708988861 0.672056507032089 0.672442332884449 3 -8116141.17651621 -98860.9286039089 16592868.2381394
"result.13" 0.777026121394919 0.695599623955083 0.695957763181666 3 -8119686.69061661 -98749.2913923756 16599735.9919171
"result.14" 0.73697822182939 0.641447766825173 0.641869613039654 3 -8143771.5146453 -98794.3913248996 16647995.8398395
"result.15" 0.743540790384557 0.648825913411847 0.649239084291635 3 -8123064.00584183 -98805.1720790261 16606602.3837408
"result.16" 0.754951954123725 0.672100460871805 0.672486293975229 3 -8103611.75436184 -98914.3918417269 16567916.3203063
"result.17" 0.755121054030777 0.661689027702008 0.662087064739313 3 -8110578.54273111 -98671.4678455694 16581364.0490525
"result.18" 0.783617807341867 0.703786370846306 0.704134869178375 3 -8105583.03319368 -98749.9294266956 16571529.9531399
"result.19" 0.776497314096354 0.688674298528895 0.689040580072696 3 -8093815.61899446 -98989.150730946 16548473.5673499
"result.20" 0.781775248522747 0.690308381048254 0.690672743930191 3 -8130545.16940151 -98808.6796675876 16621571.7260373
"result.21" 0.765420266836954 0.67756200783873 0.677941376190134 3 -8190854.99096882 -99152.4396533497 16742878.8891435
"result.22" 0.761499659173176 0.680325955791794 0.680702078717185 3 -8140017.4427232 -98857.8632064965 16640614.6397585
"result.23" 0.809881566823496 0.72244652308028 0.722773063567939 3 -8125465.45144715 -98843.7127607867 16611482.356315
"result.24" 0.759301046113918 0.67266773138276 0.673052859289211 3 -8109124.53871026 -98740.9147738318 16578594.9348673
"result.25" 0.770643339013362 0.691458471948098 0.691821479376074 3 -8101171.73086355 -98745.0669581031 16562697.6235424
"result.26" 0.79134473298453 0.703594213524482 0.703942937341851 3 -8120934.81192727 -98850.4688548446 16602434.5894634
"result.27" 0.802088088269718 0.716588525003174 0.716921961365911 3 -8093545.44770531 -98710.5914183918 16547376.1061465
"result.28" 0.760645317200418 0.665644018523849 0.666037395015794 3 -8075735.49727389 -98766.0891759471 16511867.2007988
"result.29" 0.741217164671622 0.652137731463889 0.652547036951333 3 -8129993.42978279 -98771.0866730399 16620393.0608108
"result.30" 0.817428203389623 0.731835681857977 0.732151184602504 3 -8091691.85400002 -98649.3659846867 16543546.4678685
"result.31" 0.819965895043521 0.7400205651117 0.740326426790077 3 -8148449.34504036 -98791.1962146711 16657345.1104092
"result.32" 0.777886315755373 0.68200074130729 0.682374870154582 3 -8123145.73801938 -98612.4604867437 16606380.4249114
"result.33" 0.793354073460663 0.713289902233022 0.713627220533816 3 -8097793.04353473 -98809.0307283216 16556068.1764252
"result.34" 0.813753808786763 0.726393035605857 0.726714932812372 3 -8133678.12526562 -98407.7753430592 16627035.8291165
"result.35" 0.809610000554856 0.724796764979399 0.725120548179475 3 -8111483.06027608 -98719.0491978716 16583268.246847
"result.36" 0.771129952644038 0.684181885953162 0.684553448580812 3 -8105947.29650944 -98899.0350986599 16572556.6911153
"result.37" 0.78080922930725 0.691070221251888 0.691433676420627 3 -8147785.6584181 -98692.9752535539 16655821.2952424
"result.38" 0.794345392244474 0.707400991871994 0.707745251075308 3 -8113572.69038819 -98428.4755554238 16586866.3597864
"result.39" 0.767030711929331 0.674749859076905 0.675132536965721 3 -8095403.93172307 -98885.2812998165 16551442.4539449
"result.40" 0.765918100552018 0.677596687079015 0.677975995843143 3 -8148379.58455143 -99026.9169147854 16657677.0308316
"result.41" 0.768746444265194 0.681074096091588 0.681449309488526 3 -8133722.30743667 -98406.1946554945 16627121.0320835
"result.42" 0.793342282750753 0.701858346939085 0.702209111833411 3 -8174441.46943374 -99125.2550605948 16709997.4768878
"result.43" 0.728917128326225 0.639760869099384 0.640184729792586 3 -8110713.52500665 -98729.8671861036 16581750.8122846
"result.44" 0.78969104410802 0.6969831726182 0.697339670144317 3 -8095192.28234224 -98719.7714260171 16550688.1354356
"result.45" 0.808837905167646 0.723313865382299 0.723639378372046 3 -8110350.14464709 -98781.2528310631 16581126.8228554
"result.46" 0.801851418989732 0.716638602651686 0.716971980708821 3 -8108679.36693234 -98825.3372650431 16577873.4362939
"result.47" 0.76357425339261 0.67706676017734 0.677446701389298 3 -8099104.22591925 -98710.0304857065 16558492.540709
"result.48" 0.770575203283349 0.679570764974779 0.679947744891854 3 -8102976.47081124 -99057.6945061469 16566932.3585339
"result.49" 0.755250190779759 0.665630769085102 0.666024181873203 3 -8097651.12911252 -98931.6191408125 16556029.5244058
"result.50" 0.777133237389861 0.690310605222588 0.690674969545425 3 -8105713.91712148 -98474.8614136631 16571241.5849694
