"ARI" "" "" "" ""
"result.1" 0.992095654471579 3 -8098399.95139941 -99047.9498579753 16557759.8304139
"result.2" 0.974666798206936 3 -8151597.2042496 -99154.3287098435 16664367.093818
"result.3" 0.988318593091291 3 -8138439.06837843 -99201.0704365277 16638144.305529
"result.4" 0.978434266785056 3 -8136854.32918188 -98848.4666106218 16634269.6194841
"result.5" 0.980135470913562 3 -8132393.6641402 -99274.6619585682 16626200.6800967
"result.6" 0.975907775096648 3 -8129391.85718969 -98809.4410232143 16619266.6243249
"result.7" 0.972298508719512 3 -8102407.4000983 -99177.7100596637 16566034.2482151
"result.8" 0.97840959685956 3 -8160486.94816155 -99154.1208291204 16682146.1658805
"result.9" 0.955690525601052 3 -8091193.03892314 -98767.5480623123 16542785.20187
"result.10" 0.986108223899008 3 -8132944.2994947 -99096.9641777007 16626946.5552439
"result.11" 0.980951408946303 3 -8163668.75403049 -98851.4062267273 16687904.3484136
"result.12" 0.982733906882596 3 -8116196.57743893 -99153.0064210859 16593563.1956192
"result.13" 0.976714859198836 3 -8119646.8490245 -98952.2546902527 16600062.2353286
"result.14" 0.963020863520821 3 -8143805.67715415 -98860.385822114 16648196.1538517
"result.15" 0.960128125179276 3 -8123030.46072614 -99169.7755229288 16607264.5003973
"result.16" 0.979949693080032 3 -8103569.89738392 -99117.8557127686 16568239.5340925
"result.17" 0.958539437086003 3 -8110594.35190938 -99141.2800025756 16582335.291723
"result.18" 0.978418108699354 3 -8105594.11769742 -98964.1468646388 16571980.5570232
"result.19" 0.978606736026041 3 -8093828.79737013 -98924.4445663657 16548370.5117721
"result.20" 0.975442994416109 3 -8130538.63531281 -99041.9623239798 16622025.2231727
"result.21" 0.972314100683842 3 -8190920.18840842 -99257.3582694123 16743219.1212548
"result.22" 0.962903934921605 3 -8140101.33539181 -99155.8313719112 16641378.3614266
"result.23" 0.97879574448923 3 -8125444.11702458 -98858.1189938622 16611468.499936
"result.24" 0.980692108037235 3 -8109112.29623988 -98984.3588904883 16579057.3381599
"result.25" 0.970691553754019 3 -8101259.93712858 -98931.4833384135 16563246.8688331
"result.26" 0.977104598137428 3 -8120934.31118225 -98884.9767436047 16602502.6037509
"result.27" 0.976584639306447 3 -8093522.63100245 -99018.3140517662 16547945.9180076
"result.28" 0.974841710037425 3 -8075698.73324352 -99219.4484594131 16512700.391305
"result.29" 0.977290193412387 3 -8130003.67841525 -98947.8579094872 16620767.1005486
"result.30" 0.984954772997924 3 -8091664.54767537 -98846.8887025249 16543886.9006549
"result.31" 0.986679524654995 3 -8148542.72409587 -99160.1396786554 16658269.7554482
"result.32" 0.977503803153266 3 -8123137.38667209 -98841.8758501972 16606822.5529437
"result.33" 0.984233771917088 3 -8097812.19226773 -98871.1457195771 16556230.7038737
"result.34" 0.976714859198836 3 -8133657.06441151 -98831.5444067964 16627841.2455357
"result.35" 0.975244999024444 3 -8111504.33067285 -98962.4099540952 16583797.509153
"result.36" 0.957783886342441 3 -8105998.77509547 -99035.1052985878 16572931.7886872
"result.37" 0.975626204436035 3 -8147810.59161078 -99012.4750300751 16656510.1611808
"result.38" 0.981228754847547 3 -8113563.78118077 -98801.830949946 16587595.2521606
"result.39" 0.954920543004313 3 -8095387.47109621 -98915.161360758 16551469.2928131
"result.40" 0.97840959685956 3 -8148357.53223014 -99062.7441536781 16657704.5806668
"result.41" 0.97449927173917 3 -8133744.23920686 -98751.9268566093 16627856.3600261
"result.42" 0.966858458308557 3 -8174484.60251978 -99229.4711226975 16710292.1751841
"result.43" 0.970602871135265 3 -8110754.76919791 -98890.6821611247 16582154.9306172
"result.44" 0.975642904136725 3 -8095220.72558597 -99089.8009450364 16551485.0809611
"result.45" 0.962438416580864 3 -8110382.88521679 -98836.4664263938 16581302.7311855
"result.46" 0.969720143940969 3 -8108721.28317307 -99088.9386009377 16578484.4714471
"result.47" 0.984791838658654 3 -8099158.1851308 -99044.363951047 16559269.1260628
"result.48" 0.954330416115774 3 -8103031.64528856 -99193.427106906 16567314.1726901
"result.49" 0.962676301287279 3 -8097665.88770641 -99142.6264673127 16556481.0562466
"result.50" 0.970389630875467 3 -8105752.12410994 -98865.7835396798 16572099.8431984
