"ARI" ""
"result.1" 0.988717784987475 3
"result.2" 0.978582683653465 3
"result.3" 0.990193182285611 3
"result.4" 0.981022948291729 3
"result.5" 0.978074726294611 3
"result.6" 0.973618299407557 3
"result.7" 0.94817506653481 3
"result.8" 0.974485008352759 3
"result.9" 0.947983779062159 3
"result.10" 0.974186736449083 3
"result.11" 0.976881255453441 3
"result.12" 0.99307179349395 3
"result.13" 0.97955857324285 3
"result.14" 0.961580406202181 3
"result.15" 0.966492810842077 3
"result.16" 0.98576532357531 3
"result.17" 0.958539437086003 3
"result.18" 0.984944739402101 3
"result.19" 0.979187887613952 3
"result.20" 0.979187887613952 3
"result.21" 0.97620411661603 3
"result.22" 0.945955125809375 3
"result.23" 0.982496535767613 3
"result.24" 0.975628129161932 3
"result.25" 0.968761324171285 3
"result.26" 0.974927912156736 3
"result.27" 0.986278567768755 3
"result.28" 0.980462239625725 3
"result.29" 0.974871265721538 3
"result.30" 0.983474419415909 3
"result.31" 0.97898410064405 3
"result.32" 0.970835749256688 3
"result.33" 0.974551207758513 3
"result.34" 0.976693329061032 3
"result.35" 0.983080962328675 3
"result.36" 0.970747169761883 3
"result.37" 0.975626204436035 3
"result.38" 0.976918572533163 3
"result.39" 0.961177775002365 3
"result.40" 0.976190511164011 3
"result.41" 0.971157500793266 3
"result.42" 0.96314742081627 3
"result.43" 0.97228317604455 3
"result.44" 0.975642904136725 3
"result.45" 0.963575834064925 3
"result.46" 0.966035287634612 3
"result.47" 0.984791838658654 3
"result.48" 0.977760085843263 3
"result.49" 0.974031014794719 3
"result.50" 0.970648123805988 3
