"ARI" "" "" "elapsed"
"result.1" 0.326579730051666 0.253898798057584 0.254776640159104 1.014
"result.2" 0.296171847318103 0.239703324524228 0.240577462439723 0.965
"result.3" 0.310024272608272 0.250923381216803 0.251791160930548 0.799999999999999
"result.4" 0.343940127541943 0.275148188029073 0.275992088393611 0.983000000000001
"result.5" 0.234146465838508 0.232549105886508 0.233440369707473 0.818000000000001
"result.6" 0.350123816069421 0.303041020448028 0.303860665078608 0.809000000000001
"result.7" 0.251723169885644 0.206840044805488 0.207758786847421 0.844000000000001
"result.8" 0.338583747420142 0.274927839564132 0.275763477584944 1.03
"result.9" 0.351152882535443 0.265287793347972 0.266152297445863 0.972000000000001
"result.10" 0.356225245004834 0.282572670527089 0.28341077580259 0.995999999999999
"result.11" 0.270154069713937 0.25366787531281 0.25454123435395 1.008
"result.12" 0.305662215602602 0.252940851693577 0.253795961887914 0.843999999999994
"result.13" 0.328566140993112 0.267723923688595 0.268585547597985 0.999000000000002
"result.14" 0.326202574536561 0.27208577960141 0.272919796562577 0.785000000000004
"result.15" 0.341286000018693 0.269909244777878 0.270768254212592 0.988
"result.16" 0.332695605584554 0.257575291536289 0.258448737961729 0.994
"result.17" 0.280794970981681 0.238703912814253 0.239598467043135 1.011
"result.18" 0.339268061498191 0.279873328266448 0.280702510650291 0.780000000000001
"result.19" 0.293274496047208 0.237837548784103 0.238734261783233 0.875999999999998
"result.20" 0.278154327299971 0.237442434476319 0.238339703565549 1.163
"result.21" 0.333278821725742 0.262212537763077 0.263080554667757 0.862000000000002
"result.22" 0.315388686679989 0.265708625651248 0.266557578206665 0.763999999999996
"result.23" 0.356187477693191 0.300126415924805 0.300932295925329 1.008
"result.24" 0.270676286945375 0.239118568152219 0.24000484772963 1.005
"result.25" 0.343777938176029 0.281366059882206 0.282211511412989 0.845000000000006
"result.26" 0.253517987552411 0.236397276936333 0.237296076440468 0.965000000000003
"result.27" 0.298985632417849 0.245345121310963 0.246233091025547 1.013
"result.28" 0.270123777007306 0.220364132526808 0.221259649125863 1.006
"result.29" 0.312360734195014 0.237657666503274 0.238554701299436 0.826999999999998
"result.30" 0.349392432878646 0.27702160757292 0.277865848733818 0.968000000000004
"result.31" 0.256218291928509 0.254954435106469 0.25582725084342 0.783000000000001
"result.32" 0.307578339724959 0.254113926458525 0.254978884536022 1.03100000000001
"result.33" 0.281157659651679 0.256636341122278 0.257504200232197 0.824999999999989
"result.34" 0.263105883474529 0.242885883678919 0.24376205752851 0.799000000000007
"result.35" 0.356421952204137 0.295126186968085 0.295938260715432 0.983000000000004
"result.36" 0.328968375282523 0.261152264468709 0.262008689579002 1.167
"result.37" 0.291010006324065 0.248583767797566 0.249449660741646 0.872
"result.38" 0.311566855292525 0.247952763353233 0.248819028654051 1.178
"result.39" 0.368715200624575 0.292115025117519 0.29293486867122 0.99199999999999
"result.40" 0.316970561085557 0.243240176117826 0.244130553613129 0.867000000000004
"result.41" 0.293642177359606 0.25412094233979 0.254981330744011 0.980000000000004
"result.42" 0.301716906052249 0.234805078155935 0.235705370549361 0.832999999999998
"result.43" 0.27905396287969 0.207946187866504 0.20887823992448 0.983000000000004
"result.44" 0.275456843287662 0.232486199085159 0.233362667986692 0.989000000000004
"result.45" 0.359255212472449 0.290979668750866 0.291804548218865 0.939999999999998
"result.46" 0.305048974370162 0.233778770709169 0.234680259018006 1.157
"result.47" 0.318663483676214 0.259685953340916 0.260548529167218 1.002
"result.48" 0.297279711155616 0.24372334045652 0.244613209604527 0.792999999999992
"result.49" 0.3335775224778 0.267107586205709 0.267969932013223 0.966000000000008
"result.50" 0.337259166299857 0.26811996401392 0.268976115593043 0.98599999999999
