"ARI" ""
"result.1" 0.865658177694704 3
"result.2" 0 1
"result.3" 0 1
"result.4" 0.894883031735087 3
"result.5" 0.928396876364861 3
"result.6" 0.903043406100838 3
"result.7" 0 1
"result.8" 0.8566838209306 3
"result.9" 0.565879645789217 4
"result.10" 0 1
"result.11" 0.393154826253484 2
"result.12" 0 1
"result.13" 0 1
"result.14" 0 1
"result.15" 0 1
"result.16" 0.676048035364774 2
"result.17" 0.798186188134492 3
"result.18" 0.650041463976431 2
"result.19" 0.913513442255369 3
"result.20" 0.539815718606503 2
"result.21" 0.926450941068559 3
"result.22" 0.474418222018017 2
"result.23" 0.75644292412519 4
"result.24" 0.543348126493217 2
"result.25" 0 1
"result.26" 0.814343830919478 4
"result.27" 0.655556589492382 2
"result.28" 0 1
"result.29" 0 1
"result.30" 0.932807815466828 3
"result.31" 0.456169778277843 2
"result.32" 0 1
"result.33" 0.756915414044757 4
"result.34" 0.877584581911055 4
"result.35" 0.813830019776577 3
"result.36" 0.793173890348727 4
"result.37" 0.769827740385368 4
"result.38" 0.900435976630503 3
"result.39" 0 1
"result.40" 0.473658084297039 2
"result.41" 0.922137294754476 3
"result.42" 0.766093981046667 3
"result.43" 0 1
"result.44" 0.496997987109959 2
"result.45" 0.508095894541736 2
"result.46" 0.643005879316233 4
"result.47" 0.920154951016707 3
"result.48" 0.852323893966972 3
"result.49" 0.674344711647147 2
"result.50" 0 1
