"ARI" "" "" "" "elapsed"
"result.1" 0 0 0 1 40.994
"result.2" 0 0 0 1 34.933
"result.3" 0.595634666961341 0.48324572127692 0.483549511414571 2 33.169
"result.4" 0 0 0 1 34.573
"result.5" 0 0 0 1 34.972
"result.6" 0.567335483534917 0.454152353394758 0.454473248611564 2 38.583
"result.7" 0 0 0 1 41.841
"result.8" 0 0 0 1 33.64
"result.9" 0 0 0 1 36.576
"result.10" 0 0 0 1 34.282
"result.11" 0 0 0 1 35.903
"result.12" 0 0 0 1 38.166
"result.13" 0 0 0 1 34.85
"result.14" 0 0 0 1 34.644
"result.15" 0 0 0 1 35.4639999999999
"result.16" 0.593456658571028 0.496337390425511 0.496633490144429 2 35.3539999999999
"result.17" 0 0 0 1 34.9110000000001
"result.18" 0 0 0 1 37.2869999999999
"result.19" 0 0 0 1 38.3480000000001
"result.20" 0 0 0 1 34.481
"result.21" 0 0 0 1 35.056
"result.22" 0.615418166752704 0.51612806270944 0.516412525051867 2 32.5839999999999
"result.23" 0 0 0 1 39.5060000000001
"result.24" 0 0 0 1 33.223
"result.25" 0 0 0 1 33.693
"result.26" 0 0 0 1 42.543
"result.27" 0 0 0 1 32.529
"result.28" 0 0 0 1 36.3200000000001
"result.29" 0 0 0 1 34.941
"result.30" 0 0 0 1 37.519
"result.31" 0 0 0 1 36.3310000000001
"result.32" 0 0 0 1 34.3530000000001
"result.33" 0 0 0 1 34.279
"result.34" 0.634011730139027 0.536984006515462 0.537256207379397 2 34.538
"result.35" 0.639607968762235 0.535120244136738 0.53539353897327 2 35.0540000000001
"result.36" 0 0 0 1 32.96
"result.37" 0.582429893694331 0.501516776158238 0.501809829487444 2 32.7810000000002
"result.38" 0 0 0 1 33.0899999999999
"result.39" 0 0 0 1 38.4180000000001
"result.40" 0 0 0 1 36.3699999999999
"result.41" 0 0 0 1 36.586
"result.42" 0 0 0 1 36.8399999999999
"result.43" 0 0 0 1 35.3209999999999
"result.44" 0 0 0 1 33.365
"result.45" 0.581227429199639 0.493596515985036 0.493894228881463 2 35.4770000000001
"result.46" 0 0 0 1 35.2370000000001
"result.47" 0 0 0 1 36.547
"result.48" 0.520513634996779 0.386297391572384 0.386658172463134 2 33.48
"result.49" 0 0 0 1 33.0990000000002
"result.50" 0 0 0 1 29.461
