"ARI" "" "" "" ""
"result.1" 0.979344451951811 5 -8098372.8041972 -99235.5623022018 16558228.3160761
"result.2" 0.933502068697858 5 -8151622.23830941 -99258.8656080208 16664773.7909122
"result.3" 0.964210883942528 5 -8138346.87714787 -99429.5524015115 16638564.442176
"result.4" 0.957387680200158 5 -8136958.46303207 -99173.5500518957 16635275.6092452
"result.5" 0.968626058687668 5 -8132421.76541584 -99340.0038342698 16626535.1215775
"result.6" 0.976596190144049 5 -8129475.50230111 -99020.2119103889 16620003.0115003
"result.7" 0.9761892628317 5 -8102425.44090446 -99391.9351561554 16566646.3351985
"result.8" 0.948301243377313 5 -8160397.91608111 -99195.6988838919 16682198.8130073
"result.9" 0.968313343784731 5 -8091205.87523748 -98981.4998286711 16543386.3332096
"result.10" 0.965227840134183 5 -8132895.63876563 -99131.9586360301 16627066.7778806
"result.11" 0.975535293873643 5 -8163746.44363966 -99102.0795648773 16688708.6294864
"result.12" 0.963850873687087 5 -8116177.74788683 -99057.0624012608 16593481.2036535
"result.13" 0.831304937095045 4 -8119435.73618713 -99507.027589353 16600823.3330412
"result.14" 0.959706360098406 5 -8143774.56616035 -99197.2989618854 16648955.3133218
"result.15" 0.970946942269277 5 -8122999.89062395 -99235.9757511874 16607483.3158276
"result.16" 0.959669218254093 5 -8103582.97393535 -99128.5242055493 16568434.5793591
"result.17" 0.97421868998254 5 -8110549.84309172 -98909.508092351 16581930.2854454
"result.18" 0.953970479200113 5 -8105493.01743388 -98997.658399054 16571992.9347432
"result.19" 0.952555150390356 5 -8093888.31153446 -99273.2296900249 16549334.6655263
"result.20" 0.942983300207957 5 -8130418.14161243 -99276.0708730234 16622400.0080482
"result.21" 0.975870493437667 5 -8190922.80463764 -99554.8145886397 16743966.8215299
"result.22" 0.977029625600584 5 -8140087.30198314 -99237.2933245991 16641660.7736928
"result.23" 0.977250470851541 5 -8125483.14519975 -98988.705421045 16611955.2843189
"result.24" 0.966810712733083 5 -8109125.67692172 -99124.1168226829 16579511.1705661
"result.25" 0.971387774404097 5 -8101146.23229655 -98988.7476429081 16563281.5429562
"result.26" 0.970826894626469 5 -8120957.51674687 -98995.4965723013 16602917.6097156
"result.27" 0.978159840524144 5 -8093405.81533624 -99085.9368031698 16547995.0873561
"result.28" 0.959083614380905 5 -8075758.62936272 -99465.4894303667 16513459.8206635
"result.29" 0.968914902868996 5 -8129976.5681791 -99150.7688249771 16621266.2570854
"result.30" 0.969862970100079 5 -8091543.90690322 -99123.5583080346 16544346.5134998
"result.31" 0.980724133891439 5 -8148590.01126783 -99130.5569417401 16658452.7194964
"result.32" 0.963564734749489 5 -8123166.15951283 -99002.6751757019 16607349.2524544
"result.33" 0.977329298176798 5 -8097759.90196067 -99010.6502282928 16556552.6874552
"result.34" 0.95906356901738 5 -8133680.55629024 -98897.1830495704 16628167.0617569
"result.35" 0.969626147376162 5 -8111535.49619407 -99058.6828850653 16584199.9412356
"result.36" 0.978153955132601 5 -8106045.69503711 -99251.8252182841 16573606.6235881
"result.37" 0.976569360939026 5 -8147816.4569081 -99079.3434283716 16656803.1837502
"result.38" 0.914385297038094 5 -8113442.68353197 -98988.1217662589 16587873.1936738
"result.39" 0.974185537251346 5 -8095342.6304648 -99124.4524187433 16551945.7488444
"result.40" 0.970815079536825 5 -8148289.688392 -99421.1694991481 16658433.2988596
"result.41" 0.954791476268681 5 -8133660.40601736 -98751.8112072776 16627836.0175266
"result.42" 0.943516285713309 5 -8174425.40534707 -99261.4145124309 16710385.2227963
"result.43" 0.983003311239792 5 -8110690.60366053 -99015.8161967299 16582424.4227918
"result.44" 0.975805526969203 5 -8095239.16732516 -99178.2306474643 16551846.3790225
"result.45" 0.944549464525806 4 -8110282.84170441 -99387.0264793906 16582277.5418558
"result.46" 0.949721025659061 5 -8108770.53288041 -99104.8258603315 16578762.3005588
"result.47" 0.984062060227869 5 -8099112.46293337 -99126.2656329042 16559489.0402098
"result.48" 0.926333304522706 5 -8102985.55059421 -99528.8662593043 16568040.4167843
"result.49" 0.952828065819178 5 -8097672.30352761 -99342.9813210773 16557042.1527747
"result.50" 0.977270729998916 5 -8105885.48812 -98909.7445831262 16572602.0484835
