"ARI" "" "" "" ""
"result.1" 0.975620991827737 5 -8098372.67095181 -99183.3419803305 16558123.6089416
"result.2" 0.953986897386816 5 -8151621.59911677 -99136.0830340647 16664526.947379
"result.3" 0.959227381506181 5 -8138346.55338258 -99383.1251734114 16638470.9401893
"result.4" 0.944987693198403 5 -8136958.50324151 -99122.7662788659 16635174.122118
"result.5" 0.951277056923532 5 -8132431.02078956 -99197.4056828228 16626268.4360221
"result.6" 0.971748906905141 5 -8129476.0085082 -98961.9225184285 16619887.4451305
"result.7" 0.9747217561421 5 -8102425.2935696 -99353.311884532 16566568.7939856
"result.8" 0.937124321021959 5 -8160398.00082203 -99135.8336775339 16682079.2520764
"result.9" 0.966273801063661 5 -8091206.3284156 -98973.7437642266 16543371.727437
"result.10" 0.975590275905064 5 -8132895.77960969 -99085.0006162547 16626973.1435292
"result.11" 0.958608486727313 5 -8163745.44565664 -99058.3528136223 16688619.1800178
"result.12" 0.964321746528235 5 -8116177.83748947 -99069.6634645368 16593506.5849853
"result.13" 0.815621114499149 4 -8119407.37751415 -99287.8812086566 16600328.3229338
"result.14" 0.961377942294532 5 -8143768.50938011 -99068.5330938276 16648685.6680252
"result.15" 0.955206072292308 5 -8123000.07338306 -99199.0199917807 16607409.769827
"result.16" 0.966550934577136 5 -8103582.8463543 -99118.9550585827 16568415.1859031
"result.17" 0.972285100155109 5 -8110549.77318862 -98824.3794195839 16581759.8882937
"result.18" 0.948653461554142 5 -8105500.04867869 -99158.8802663454 16572329.4409674
"result.19" 0.963932145745563 5 -8093888.69436153 -99157.1780329717 16549103.3278663
"result.20" 0.946402748116946 5 -8130448.22196273 -99101.1164825358 16622110.2599678
"result.21" 0.968331985784947 5 -8190922.84988051 -99475.6554062139 16743808.5936507
"result.22" 0.97066898441454 5 -8140087.09505955 -99269.5218626737 16641724.8169217
"result.23" 0.974750537197062 5 -8125479.69851814 -99070.2365833158 16612111.4532802
"result.24" 0.938304303143695 5 -8109132.04525258 -99218.3868731308 16579712.4473287
"result.25" 0.955313207154934 5 -8101147.08063625 -98923.5988525536 16563152.9420549
"result.26" 0.962666811245931 5 -8120963.2975743 -99065.6726330224 16603069.5234919
"result.27" 0.964457377329644 5 -8093405.52641776 -99056.6178368842 16547935.8715866
"result.28" 0.953845174388236 5 -8075737.52872373 -99348.9096635581 16513184.4598519
"result.29" 0.962487100396041 5 -8129976.93653553 -99160.2806554061 16621286.0174592
"result.30" 0.966490996598585 5 -8091543.74130741 -99098.0197699183 16544295.1052319
"result.31" 0.971943475629841 5 -8148590.17387021 -99060.2800936286 16658312.491005
"result.32" 0.947580137318626 5 -8123165.7004733 -98918.8642994023 16607180.7126227
"result.33" 0.969453639702139 5 -8097759.58559559 -99009.9340434627 16556550.6223554
"result.34" 0.949201850640268 5 -8133680.5517063 -98953.7298910604 16628280.146272
"result.35" 0.966121467023592 5 -8111535.73344298 -99039.9059817553 16584162.8619268
"result.36" 0.964919156403889 5 -8106045.46719696 -99166.2716590836 16573435.0607894
"result.37" 0.975441810326817 5 -8147816.7455557 -99026.9341112413 16656698.9424112
"result.38" 0.937081018187168 5 -8113486.96455267 -98863.2520654821 16587712.0163136
"result.39" 0.970474309675136 5 -8095342.67909687 -99052.8243042716 16551802.5898796
"result.40" 0.967560806125012 5 -8148289.19074198 -99304.4410866779 16658198.8467346
"result.41" 0.802709322076039 4 -8133488.10508485 -99126.7386236018 16628167.4929051
"result.42" 0.946189958152926 5 -8174448.48940189 -99245.5239206095 16710399.6097223
"result.43" 0.955429785069306 5 -8110690.26607184 -99004.2400298446 16582400.5952807
"result.44" 0.968186910558466 5 -8095238.42457221 -99127.8826255655 16551744.1974728
"result.45" 0.884363560150402 4 -8110283.13979941 -99294.7863398147 16582093.6577667
"result.46" 0.936842980726432 5 -8108762.94799902 -99267.7754423495 16579073.02996
"result.47" 0.976823009318175 5 -8099112.19991221 -99154.8401268391 16559545.6631554
"result.48" 0.802942261738458 4 -8102771.62150401 -99692.8063297905 16567866.6611558
"result.49" 0.95151636098254 5 -8097672.35808181 -99280.9577711173 16556918.2147831
"result.50" 0.963010274543865 5 -8105883.56159458 -98956.9069606478 16572692.5201877
