"ARI" "" "" "" "elapsed"
"result.1" 0.599355798546218 0.457822553176326 0.458326152341929 2 33.38
"result.2" 0.601426972244638 0.472058734415378 0.472549111065047 2 32.113
"result.3" 0.597833985307202 0.457564659782929 0.458068523579186 2 31.002
"result.4" 0.686919616558952 0.590733837621515 0.591496339002159 3 31.436
"result.5" 0.592434782148949 0.466665095726419 0.467160483268859 2 30.827
"result.6" 0.613926470786518 0.476482288651023 0.476968555963669 2 29.841
"result.7" 0.588559083087314 0.468131395946178 0.468625422785129 2 31.495
"result.8" 0.603385679770973 0.441721173295106 0.442239726499025 2 32.533
"result.9" 0.380410480842884 0.349055760548767 0.349661566534272 2 31.422
"result.10" 0.59562233249673 0.45893868416975 0.459441246712603 2 31.269
"result.11" 0.953998208500043 0.883284742015455 0.883611168269349 4 32.124
"result.12" 0.613246562729309 0.478636814756442 0.479121080143126 2 32.251
"result.13" 0.606185216941572 0.466317250559841 0.466812958919508 2 32.512
"result.14" 0.610017562523719 0.462105446893669 0.462605066482934 2 31.138
"result.15" 0.589935854681946 0.445853973064868 0.446368710539324 2 32.295
"result.16" 0.378015235523203 0.366139546778556 0.366729497918115 2 31.786
"result.17" 0.788396922952872 0.683093650851936 0.683683859508785 3 30.2410000000001
"result.18" 0.616235867778461 0.477564072216994 0.478049333194925 2 30.6709999999999
"result.19" 0.605569535749212 0.472750953884904 0.473240706101406 2 30.9450000000001
"result.20" 0.378115301864356 0.361727548457662 0.362321583661001 2 31.4920000000001
"result.21" 0.597865713831502 0.463840538842632 0.464338549752437 2 30.0069999999999
"result.22" 0.81004498173545 0.685027293525775 0.685613942150508 3 31.283
"result.23" 0.763835459548178 0.679454228721307 0.680051026639644 3 29.4499999999999
"result.24" 0.645155469414237 0.612586834389848 0.613308963330038 3 31.021
"result.25" 0.598458023896506 0.457140700713069 0.457644932661847 2 31.0930000000001
"result.26" 0.83880019754214 0.701683646077578 0.702238734299911 3 31.9590000000001
"result.27" 0.617494681592426 0.479244991651843 0.47972869283896 2 30.6070000000001
"result.28" 0.593930689725381 0.455096840355287 0.455602971378717 2 32.756
"result.29" 0.386343926837592 0.334606865518043 0.33522599711328 2 32.163
"result.30" 0.578502338894699 0.440827459211204 0.441346897877646 2 32.279
"result.31" 0.377294740465483 0.370242780659113 0.370828929627644 2 31.35
"result.32" 0.605527015726462 0.472080059576279 0.472570416711503 2 31.3120000000001
"result.33" 0.951891278516795 0.882166588432 0.882496135683457 4 30.7380000000001
"result.34" 0.789342049318508 0.651728454074785 0.652377105832365 3 32.8720000000001
"result.35" 0.607843065509819 0.471606595018132 0.472097390386557 2 33.6569999999999
"result.36" 0.610514890481507 0.461217098875057 0.461717566466537 2 33.4190000000001
"result.37" 0.605975697745288 0.46845401287591 0.468947736515359 2 30.617
"result.38" 0.795545907247462 0.66551416242525 0.666137151939156 3 32.346
"result.39" 0.614150272623078 0.481292794573785 0.48177459296792 2 31.298
"result.40" 0.603719722639511 0.469666772506865 0.470159371217834 2 32.6809999999998
"result.41" 0.590716352616511 0.457327308927571 0.457831369417559 2 34.2930000000001
"result.42" 0.615049056317337 0.464565937915674 0.465063273280375 2 32.4380000000001
"result.43" 0.618427812011907 0.48499293232574 0.485471295893355 2 29.8
"result.44" 0.616489286465774 0.484805066214329 0.485283602253866 2 32.4280000000001
"result.45" 0.826572947047159 0.661048646419611 0.661679322145607 3 31.5910000000001
"result.46" 0.400749564308758 0.337312189119103 0.337928673752725 2 33.0060000000001
"result.47" 0.613357475656149 0.47110463751381 0.471595901498255 2 33.171
"result.48" 0.595525873073087 0.437675084517405 0.438197396575212 2 31.6590000000001
"result.49" 0.783078158674257 0.652966199873804 0.653612541672555 3 30.8789999999999
"result.50" 0.609438711694809 0.47644910425364 0.476935403895587 2 32.5169999999998
