"ARI" "" "" "elapsed"
"result.1" 0.295414265156738 0.333813952373921 0.336475369544367 15.034
"result.2" 0.298792788607827 0.34378269700276 0.346747419863825 12.693
"result.3" 0.255911086947444 0.313441105209838 0.316504796777618 12.994
"result.4" 0.319954455412505 0.359844040265805 0.362401454584252 12.492
"result.5" 0.280584734505372 0.340388378436927 0.343233993610229 11.643
"result.6" 0.284304654234858 0.33681220596901 0.339705956104618 12.533
"result.7" 0.277981700877146 0.331056271881022 0.333963045639475 12.368
"result.8" 0.247402792046866 0.311486706923763 0.314225968659126 12.343
"result.9" 0.263787862039922 0.326045261344759 0.328992787234206 12.108
"result.10" 0.326775487870425 0.348860774669281 0.351481588700591 12.108
"result.11" 0.337405355186427 0.357399271763064 0.359697004020987 12.17
"result.12" 0.272784115905125 0.330666821415641 0.333582703385408 12.264
"result.13" 0.26798999817518 0.33830020100896 0.340935664611057 12.129
"result.14" 0.306533402001006 0.342914918599205 0.345519287536873 12.284
"result.15" 0.28062919563857 0.345741954885072 0.348605834721081 12.198
"result.16" 0.372707555661 0.383873415550874 0.386098935242927 12.316
"result.17" 0.313693693468202 0.3490830436455 0.351664219225493 12.004
"result.18" 0.287811345042625 0.323680017830235 0.32666828266924 12.281
"result.19" 0.273899154640447 0.320409251423569 0.323467430968395 12.057
"result.20" 0.282766837971006 0.321915249043852 0.324600977293833 12.335
"result.21" 0.310596587690127 0.34572339024682 0.348326470274686 12.1799999999999
"result.22" 0.296381031418542 0.344553111987698 0.347213654359081 12.48
"result.23" 0.332857876641544 0.377988731597222 0.380450935576277 12.176
"result.24" 0.272939813989611 0.347052215130068 0.349882865210391 12.481
"result.25" 0.301365551864857 0.367349160337273 0.370081567933641 12.057
"result.26" 0.295501759770091 0.344747074103061 0.347338726468981 12.272
"result.27" 0.289493511760602 0.337764002819137 0.34100743789905 12.416
"result.28" 0.258065045780496 0.318739990272005 0.321711326334053 12.194
"result.29" 0.336728656149695 0.360170555512292 0.362483906314332 12.138
"result.30" 0.329225647037041 0.378512192017171 0.380717807551597 12.356
"result.31" 0.320997052104782 0.343733620965248 0.346353940374617 12.503
"result.32" 0.279767568003508 0.339478641721899 0.342354087152656 12.129
"result.33" 0.280539568958794 0.337602227041696 0.340858193333827 12.283
"result.34" 0.346838657091055 0.362645981384793 0.365232090033663 12.362
"result.35" 0.353388564817895 0.383603600510284 0.386121957265655 12.101
"result.36" 0.30854926719236 0.358281840616214 0.360833812305191 12.328
"result.37" 0.350741410075315 0.372378456596001 0.374910907880301 12.54
"result.38" 0.281383831942768 0.343168747674628 0.345756183719158 12.343
"result.39" 0.311875905986632 0.345618076403503 0.348283975672824 12.2569999999999
"result.40" 0.276593275104708 0.34251153616144 0.345429829878324 12.169
"result.41" 0.302198660865794 0.331325107957211 0.333996521981884 12.2689999999999
"result.42" 0.323570031501286 0.369924160445058 0.372159674537589 12.336
"result.43" 0.27647375961237 0.339346252392653 0.342239159657486 12.4060000000001
"result.44" 0.283094208395752 0.326219342169876 0.329451370215538 12.0859999999999
"result.45" 0.354890167707637 0.360336036859703 0.363230789878524 11.9789999999999
"result.46" 0.331632474947335 0.361800589985838 0.364333395945248 12.2619999999999
"result.47" 0.259798065773628 0.314977352662548 0.317946497190172 12.3439999999999
"result.48" 0.272527786222856 0.3297067851036 0.332675170301253 12.365
"result.49" 0.30433853206852 0.336139883147434 0.339092852739762 12.037
"result.50" 0.290996841888503 0.361967888722866 0.364728667216945 12.228
