"ARI" "" "" "" ""
"result.1" 0.987388401089466 7 -8098283.95607224 -99313.0461504951 16558353.1427009
"result.2" 0.987091057231697 7 -8151608.61674682 -99386.5845933157 16665149.5409357
"result.3" 0.986965396713565 7 -8138278.76614867 -99441.6843259169 16638600.0392046
"result.4" 0.985733913860533 7 -8136908.25640422 -99064.4761838544 16635104.6034316
"result.5" 0.987325881695252 7 -8132357.83851953 -99508.1222967029 16626891.0598879
"result.6" 0.991957335563834 7 -8129415.95321325 -99045.7807523397 16620082.6061866
"result.7" 0.988244750480994 7 -8102447.38774806 -99323.8204858726 16566701.5547233
"result.8" 0.993618690798918 7 -8160376.2440622 -99435.5513187159 16682782.7290173
"result.9" 0.991151944120882 7 -8091178.43509492 -99006.7092659068 16543529.4269771
"result.10" 0.989002349504072 7 -8132854.05887142 -99290.2970284777 16627447.8500553
"result.11" 0.992657319473383 7 -8163708.55102377 -99057.9102804623 16688692.0608639
"result.12" 0.985770741440817 7 -8116011.08830375 -99492.2380671915 16594165.7909973
"result.13" 0.993970352745072 7 -8119602.10539385 -99240.9410288031 16600845.2311008
"result.14" 0.9924450108949 7 -8143728.43029977 -99302.9832928644 16649221.9654407
"result.15" 0.98999456471685 7 -8122888.38242293 -99317.5587680116 16607571.0206373
"result.16" 0.986896239348981 7 -8103476.3777278 -99388.1070380354 16568888.1077871
"result.17" 0.993417249846239 7 -8110503.78240896 -99170.1853534405 16582507.0737803
"result.18" 0.988223146459583 7 -8105490.67240447 -99168.1866979295 16572476.8564603
"result.19" 0.98452269944351 7 -8093836.69642045 -99323.0534123919 16549478.6379211
"result.20" 0.987404138069916 7 -8130392.48670284 -99250.7441801174 16622445.6000214
"result.21" 0.990069504774827 7 -8190816.19175185 -99533.8250958367 16743859.1719508
"result.22" 0.988749327116877 7 -8139976.60703548 -99259.6690372155 16641631.6904009
"result.23" 0.993486116754885 7 -8125498.62624373 -99093.4966645465 16612343.384072
"result.24" 0.997711546906935 7 -8109146.49263806 -99330.7225633877 16580113.5686584
"result.25" 0.990472388322589 7 -8101044.44107786 -99099.8042921138 16563447.6289954
"result.26" 0.992506679050603 7 -8120932.25655689 -99042.3226991329 16603108.2967675
"result.27" 0.989135336418436 7 -8093337.60728047 -99278.500532427 16548391.3538812
"result.28" 0.989938279987991 7 -8075709.08686926 -99391.22817317 16513359.7683403
"result.29" 0.991719929189588 7 -8129928.4058422 -99446.6820992705 16621909.3141384
"result.30" 0.987924587830716 7 -8091460.18348081 -99001.6440709897 16544082.7933591
"result.31" 0.988641896659296 7 -8148568.49523385 -99422.3139771041 16659140.7566774
"result.32" 0.987039003072414 7 -8123072.97047697 -99245.1836113716 16607795.4464321
"result.33" 0.991533958757843 7 -8097631.62843533 -99247.5367152853 16556917.4685567
"result.34" 0.991637692600806 7 -8133550.17554596 -99110.2263124167 16628479.9419722
"result.35" 0.98719757630669 7 -8111557.00038215 -99271.5016233065 16584816.1422664
"result.36" 0.995673147399343 7 -8105990.59120115 -99402.8721197989 16573946.0648974
"result.37" 0.993582479055135 7 -8147747.95658405 -99356.2164693982 16657367.4843623
"result.38" 0.996784141723333 7 -8113484.55400709 -98953.9959570578 16588036.2381837
"result.39" 0.992958893653171 7 -8095344.29793368 -99185.4990631646 16552218.7322492
"result.40" 0.991223609012204 7 -8148183.87007274 -99344.8170161418 16658216.5124332
"result.41" 0.99695286378072 7 -8133629.94720525 -99023.5133909816 16628466.0594479
"result.42" 0.986101819037954 7 -8174410.80945487 -99315.3619319174 16710611.481029
"result.43" 0.99382505651029 7 -8110663.19749442 -99410.1651666308 16583305.8635776
"result.44" 0.989040419659417 7 -8095163.32469906 -99166.6038058438 16551818.9952653
"result.45" 0.989935246141983 7 -8110389.9584263 -99171.2406437617 16582281.5363956
"result.46" 0.983901439930729 7 -8108682.47948047 -99411.858617282 16579347.814451
"result.47" 0.990398756582293 7 -8099069.10347703 -99413.4375007633 16560124.220211
"result.48" 0.983370057017365 7 -8102971.55182878 -99423.1332744661 16567948.508462
"result.49" 0.990279477444855 7 -8097583.10474348 -99379.049501869 16557083.4467462
"result.50" 0.99038023178946 7 -8105775.97048724 -99028.2366882713 16572767.5526065
