"ARI" "" "" "elapsed"
"result.1" 0.646288438464836 0.599972847446787 0.602360074145148 14.966
"result.2" 0.625070147846274 0.593408876142643 0.595828557994092 12.365
"result.3" 0.634175483433441 0.610378972186588 0.612701037394625 12.716
"result.4" 0.662690486552976 0.616564417878684 0.618850030225309 12.74
"result.5" 0.653828340839965 0.614022486780325 0.616327950919993 11.631
"result.6" 0.674738720607617 0.628814879454584 0.631039841634545 12.231
"result.7" 0.66338185406178 0.615213395672499 0.617500670515915 12.059
"result.8" 0.648566418459833 0.604749587700617 0.607110978582779 12.029
"result.9" 0.67707571172084 0.625909020570376 0.628148892029133 12.104
"result.10" 0.641649506662253 0.597322526581707 0.599730488090802 11.972
"result.11" 0.678125461370059 0.633398302856921 0.635579495702514 12.004
"result.12" 0.66404958622859 0.616036469115973 0.618347753905422 12.09
"result.13" 0.676603975567224 0.620927181339641 0.623210785452364 12.015
"result.14" 0.630917797245314 0.582533181958841 0.585036224921321 12.016
"result.15" 0.675911628731881 0.634487236212781 0.636673666292198 11.985
"result.16" 0.678887058860935 0.630202171854031 0.632419741294761 12.111
"result.17" 0.644268027584524 0.605510301136386 0.60787068848075 11.876
"result.18" 0.660779386151784 0.606929342622339 0.609291033251645 12.107
"result.19" 0.663396413516572 0.62160267109772 0.623879254501219 11.884
"result.20" 0.671279026053589 0.619184564459047 0.621477017433611 12.088
"result.21" 0.647256864381915 0.597772429354371 0.600183316320457 11.88
"result.22" 0.671077043516313 0.619093343216228 0.621364201866848 11.964
"result.23" 0.715802361276043 0.662758827621868 0.664780870925405 11.835
"result.24" 0.661708637800268 0.614648526364637 0.616954756606543 11.917
"result.25" 0.716675774138289 0.658614786667643 0.660657066232055 11.822
"result.26" 0.6549552090227 0.608981676305542 0.611332315664169 11.921
"result.27" 0.682212109415125 0.6285548526964 0.630788083670687 11.872
"result.28" 0.605689943008326 0.560973550083735 0.563601098315386 12.136
"result.29" 0.649975908654874 0.601537255131384 0.603924402895395 11.823
"result.30" 0.673223658719787 0.626854053125396 0.629073472993741 11.927
"result.31" 0.680673441068603 0.628396711973038 0.630619892451378 11.843
"result.32" 0.682228196593444 0.63614339101299 0.63832091570843 11.751
"result.33" 0.675993387809573 0.628617774486663 0.630856993698135 11.75
"result.34" 0.679782717522871 0.632848632828961 0.635076472369509 11.828
"result.35" 0.685412234371816 0.644175040246089 0.646302594861183 11.786
"result.36" 0.685274996748135 0.630006384324355 0.632236874145825 11.838
"result.37" 0.666287821840882 0.628385081645367 0.630609529959425 11.68
"result.38" 0.664589970365971 0.618450798432517 0.620730422722811 11.726
"result.39" 0.678383779796898 0.626219561347249 0.628458489718977 11.723
"result.40" 0.666112237560156 0.619264052048593 0.621521340830167 11.939
"result.41" 0.654243315716016 0.608809388628618 0.611178242929552 11.782
"result.42" 0.67210627299444 0.629322931285447 0.631552677482305 11.676
"result.43" 0.675050247298563 0.625610509099991 0.627852262472058 11.893
"result.44" 0.660463530061604 0.618502476804091 0.620789744314954 11.877
"result.45" 0.662060156951567 0.619791069557273 0.622064532117231 11.797
"result.46" 0.676123054824897 0.623231221895529 0.625482307690653 11.918
"result.47" 0.66539121306799 0.620895808458088 0.623159238353647 11.643
"result.48" 0.701303487931464 0.651312061348918 0.653403657315015 11.74
"result.49" 0.665075471072254 0.61134210353736 0.613662077300654 11.677
"result.50" 0.696425923288276 0.646641229438322 0.648746499002757 11.812
