"ARI" ""
"result.1" 0.478587976451037 3
"result.2" 0.422981374056468 3
"result.3" 0.501464820075626 3
"result.4" 0.620385229314817 4
"result.5" 0.799202575525157 5
"result.6" 0.622239210620313 4
"result.7" 0.692127178201743 4
"result.8" 0.526952285018158 4
"result.9" 0.634006618696311 4
"result.10" 0.519149137617697 4
"result.11" 0.422132720555244 3
"result.12" 0.411988587892085 3
"result.13" 0.612770010971029 4
"result.14" 0.800621764446237 5
"result.15" 0.788823004452935 5
"result.16" 0.423728449257401 3
"result.17" 0.621369796610712 4
"result.18" 0.624883318512699 4
"result.19" 0.634556985293634 4
"result.20" 0.634638653289089 4
"result.21" 0.716553592625976 4
"result.22" 0.553894253755452 4
"result.23" 0.638613495664085 4
"result.24" 0.804030997239776 5
"result.25" 0.626374146807479 4
"result.26" 0.621152868098363 4
"result.27" 0.550841664680149 4
"result.28" 0.817267680574987 5
"result.29" 0.553383548108452 4
"result.30" 0.635843936400964 4
"result.31" 0.821306636438516 5
"result.32" 0.819597858168963 5
"result.33" 0.632826414715114 4
"result.34" 0.636008326404888 4
"result.35" 0.504860646512419 3
"result.36" 0.63672235449184 4
"result.37" 0.633030504958669 4
"result.38" 0.637336881389694 4
"result.39" 0.622351061556174 4
"result.40" 0.634308205375238 4
"result.41" 0.5467080035053 4
"result.42" 0.667784543557879 4
"result.43" 0.513373024922641 4
"result.44" 0.827481812620089 5
"result.45" 0.622679796457368 4
"result.46" 0.6374700533212 4
"result.47" 0.498229495658467 3
"result.48" 0.623896868003494 4
"result.49" 0.634855157914798 4
"result.50" 0.621323773740226 4
