"ARI" "" "" "" "elapsed"
"result.1" 0.987216079547892 0.97858592640263 0.978715778868635 7 22.527
"result.2" 0.92938845192753 0.901193994774026 0.901692384303946 6 22.96
"result.3" 0.977307703194993 0.966340491902042 0.966544513915302 7 21.549
"result.4" 0.912758578418758 0.87815296664378 0.878767724538734 6 21.385
"result.5" 0.928398300073301 0.902334873117526 0.902827503655554 6 22.99
"result.6" 0.939388584050127 0.916530116989361 0.916951152389893 6 22.655
"result.7" 0.920122563596762 0.894505399718613 0.895037538044365 6 22.572
"result.8" 0.934323458521733 0.919422396135516 0.919829005719417 6 23.059
"result.9" 0.912170175726711 0.89401043028046 0.894545377177772 6 22.065
"result.10" 0.941854337016053 0.919573179872036 0.919978867299008 6 23.282
"result.11" 0.933155879438682 0.904703534699033 0.905184230994585 6 22.663
"result.12" 0.980667233023911 0.968127337518018 0.968320729614204 7 22.714
"result.13" 0.982132901976124 0.973180155739811 0.973342595627751 7 21.518
"result.14" 0.941390997154038 0.917116049828219 0.91753413100865 6 21.298
"result.15" 0.979222662718981 0.966974106057968 0.967174327065639 7 21.663
"result.16" 0.94160776652427 0.91933648441867 0.919743359777418 6 21.911
"result.17" 0.939572407022062 0.915366842806041 0.915793746202191 6 21.641
"result.18" 0.970356666262179 0.955707344153852 0.95597605515595 7 22.023
"result.19" 0.981736196501439 0.971404009442765 0.97157752563611 7 21.124
"result.20" 0.97707893802402 0.963941411672791 0.964159956862371 7 22.616
"result.21" 0.933002014356132 0.919160088394305 0.919568037448408 6 21.089
"result.22" 0.936962277217098 0.908842672656737 0.909302483936582 6 22.3440000000001
"result.23" 0.991913228584092 0.987092647916814 0.987170870115312 7 21.48
"result.24" 0.987128080264398 0.979093995710873 0.979220671321048 7 20.7859999999999
"result.25" 0.990266552523106 0.983489809878909 0.983589983562953 7 21.773
"result.26" 0.931953178415267 0.919304301366873 0.919711506051135 6 22.078
"result.27" 0.934243287443492 0.920838207716338 0.921237684475498 6 22.466
"result.28" 0.929258406295465 0.906258846887338 0.90673190956915 6 22.116
"result.29" 0.985762577728316 0.975572820793619 0.975720968035014 7 22.731
"result.30" 0.982119136649831 0.973838968902192 0.973997556512713 7 21.2059999999999
"result.31" 0.981460805858943 0.970088464873377 0.970269965598246 7 22.6900000000001
"result.32" 0.982286297161251 0.97054502580225 0.97072349312799 7 21.256
"result.33" 0.934756862418038 0.907998276054234 0.908462339895576 6 21.2969999999999
"result.34" 0.931525435634564 0.909265922489651 0.909723781937167 6 22.193
"result.35" 0.990781348206754 0.985229669554967 0.985319242642721 7 22.87
"result.36" 0.98547157114259 0.975933978757148 0.976079965998762 7 22.106
"result.37" 0.943959733551331 0.920929621391295 0.921328466319057 6 22.359
"result.38" 0.94317330738993 0.919771489491063 0.920176185839283 6 22.067
"result.39" 0.982098117932823 0.972606255624205 0.972772356305799 7 21.903
"result.40" 0.947859376382935 0.927193088152568 0.927560345709608 6 22.596
"result.41" 0.933605552733403 0.909763071047979 0.910218249416348 6 23.2859999999999
"result.42" 0.949950877592099 0.929882486933793 0.930236168671734 6 22.482
"result.43" 0.992385433197452 0.987400729595477 0.987477115734522 7 22.596
"result.44" 0.992733114439405 0.987253837367745 0.987331175470135 7 21.8370000000001
"result.45" 0.92609963541305 0.911142685769864 0.91159113606405 6 21.3120000000001
"result.46" 0.937682531349434 0.908612581108939 0.909073564012637 6 22.6759999999999
"result.47" 0.979751612203588 0.966824736598179 0.967025890303532 7 21.586
"result.48" 0.933094678011205 0.899909826538816 0.900414689961199 6 22.4029999999998
"result.49" 0.9350206586695 0.911258964180535 0.911706593750559 6 21.019
"result.50" 0.948820426818324 0.928655645816011 0.929015526042381 6 21.578
