"ARI" ""
"result.1" 0.279781919547082 6
"result.2" 0.266844624589878 6
"result.3" 0.270801634867723 6
"result.4" 0.30623183948969 7
"result.5" 0.204147404039819 6
"result.6" 0.268069521468149 6
"result.7" 0.254702618969567 6
"result.8" 0.283454324712709 6
"result.9" 0.257465573205114 7
"result.10" 0.282863421648849 7
"result.11" 0.305651632840376 6
"result.12" 0.274214212950634 5
"result.13" 0.285105555458847 6
"result.14" 0.289345051729572 6
"result.15" 0.317925548911851 6
"result.16" 0.261539616379377 6
"result.17" 0.26814118478518 6
"result.18" 0.281340030004605 6
"result.19" 0.231459405439171 5
"result.20" 0.265346249804423 7
"result.21" 0.30664400852788 7
"result.22" 0.286480200031227 6
"result.23" 0.314058523016078 6
"result.24" 0.322595565210504 7
"result.25" 0.281315202965693 6
"result.26" 0.277216220068769 7
"result.27" 0.296701266091896 7
"result.28" 0.224556030273464 5
"result.29" 0.279828348585878 6
"result.30" 0.298153445821321 6
"result.31" 0.273689482984467 5
"result.32" 0.260837050163976 5
"result.33" 0.336615733595104 6
"result.34" 0.333079061008597 6
"result.35" 0.279621251155461 5
"result.36" 0.267768726521852 6
"result.37" 0.309564001697 6
"result.38" 0.28284993386101 6
"result.39" 0.271157670010786 6
"result.40" 0.251655395027131 6
"result.41" 0.258080894897433 6
"result.42" 0.254274601177786 6
"result.43" 0.196419303050958 6
"result.44" 0.28952789527417 6
"result.45" 0.263574295903728 6
"result.46" 0.245548058796898 6
"result.47" 0.282734312359652 6
"result.48" 0.291110811725538 6
"result.49" 0.283609332708694 7
"result.50" 0.277252668681016 6
