"ARI" ""
"result.1" 0.966406536015518 7
"result.2" 0.9612530785697 7
"result.3" 0.973987498365245 7
"result.4" 0.968192978752771 7
"result.5" 0.955230542346853 7
"result.6" 0.982274331175115 7
"result.7" 0.936882049113852 6
"result.8" 0.973846911530462 7
"result.9" 0.975239752694303 7
"result.10" 0.970703056209571 7
"result.11" 0.982520452776539 7
"result.12" 0.978130620730988 7
"result.13" 0.868655899941761 6
"result.14" 0.933664833372579 6
"result.15" 0.974873645043971 7
"result.16" 0.96806246133487 7
"result.17" 0.983894167107254 7
"result.18" 0.95782622503785 7
"result.19" 0.969078182184138 7
"result.20" 0.911903645164105 6
"result.21" 0.969351119075431 7
"result.22" 0.975471108259923 7
"result.23" 0.980100153023123 7
"result.24" 0.955731865308019 7
"result.25" 0.963293336665304 7
"result.26" 0.978614348005533 7
"result.27" 0.97794072553035 7
"result.28" 0.877866191855981 6
"result.29" 0.958298087106554 7
"result.30" 0.970203210413105 7
"result.31" 0.978183927307191 7
"result.32" 0.963589085422829 7
"result.33" 0.977611556078608 7
"result.34" 0.969679703214938 7
"result.35" 0.981290015871072 7
"result.36" 0.953852336514154 7
"result.37" 0.971513567102138 7
"result.38" 0.965810234974271 7
"result.39" 0.970305492681222 7
"result.40" 0.974193876077581 7
"result.41" 0.948399002418762 7
"result.42" 0.953702295644312 7
"result.43" 0.975284222491698 7
"result.44" 0.979924846801622 7
"result.45" 0.971601363552569 7
"result.46" 0.960992643239935 7
"result.47" 0.978079575031195 7
"result.48" 0.938624197334859 7
"result.49" 0.957317878383226 7
"result.50" 0.971422936717483 7
