"ARI" "" "" "elapsed"
"result.1" 0.143912799329607 0.180598135168873 0.194215048918842 6.394
"result.2" 0.19368427284884 0.230394549484056 0.24527328281946 5.423
"result.3" 0.16051350774714 0.200437286888203 0.216253543643951 5.19799999999999
"result.4" 0.170767132526147 0.219632723111072 0.230798124011736 5.6
"result.5" 0.139405808980216 0.171505239960534 0.183468487738885 5.032
"result.6" 0.191684391583905 0.22279434687759 0.233993068180772 5.02
"result.7" 0.199208570429143 0.233710049620116 0.24889141562432 4.99100000000001
"result.8" 0.169374039215893 0.214676578807744 0.224102204763164 5.152
"result.9" 0.136696259692101 0.166772723846833 0.178541082338602 5.04300000000001
"result.10" 0.170897430430201 0.198580671229753 0.211016971966859 5.05699999999999
"result.11" 0.155420474024915 0.194506996035444 0.205989416547494 5.03500000000001
"result.12" 0.194558267315187 0.256835362214224 0.268866722269336 5.035
"result.13" 0.207654436356825 0.261543336963781 0.27501329064595 5.134
"result.14" 0.163055764500728 0.198251146949717 0.212359988993694 5.039
"result.15" 0.240890751728316 0.275501038368055 0.286847526506487 5.006
"result.16" 0.193557966615957 0.229470137152544 0.238988388501529 5.02499999999999
"result.17" 0.177634695597774 0.210276615345733 0.221570448517014 5.05500000000001
"result.18" 0.181061100448442 0.235780551061294 0.247396337339582 5.03
"result.19" 0.191150946116596 0.214704750141968 0.226214395952286 5.139
"result.20" 0.190425016283572 0.234642549972925 0.245753982895827 5.066
"result.21" 0.213750793455397 0.260795862450537 0.27217047405191 5.05699999999999
"result.22" 0.159703849553674 0.193684115763601 0.20528399011142 4.98699999999999
"result.23" 0.213771934683896 0.25032094816139 0.262006919013797 5.00899999999999
"result.24" 0.155291902657071 0.192451706831759 0.205735034210122 4.995
"result.25" 0.159114404407513 0.188812403774965 0.203283862581103 5.42699999999999
"result.26" 0.202941549121346 0.241953347358458 0.257179708261023 5.16800000000001
"result.27" 0.184495728959397 0.2403992393181 0.250967779574552 5.31699999999998
"result.28" 0.199106581101682 0.237351575910976 0.246527248814841 5.03399999999999
"result.29" 0.172999059894613 0.218605704808525 0.232603706666368 5.01999999999998
"result.30" 0.153387322328548 0.180127385445273 0.191794693520842 5.02700000000002
