"ARI" "" "" "" "" "" ""
"result.1" 0.274994253873507 0.282282757098999 0.291060586583261 4 -152047.155332023 2724.39781106903 330055.652813963
"result.2" 0.306987487117451 0.341623237019604 0.352965251130023 5 -152553.851966778 3028.92974926943 330516.222382135
"result.3" 0.327501216002839 0.358618040908035 0.363811495744076 3 -151116.810174169 2620.17937730815 328347.159190716
"result.4" 0.340627590525609 0.370706820693361 0.378837856317997 4 -151695.111682124 1761.95546724579 331220.210026751
"result.5" 0.265424714441214 0.20383261178652 0.210890716462777 3 -151683.077431508 1634.76830485856 331394.275675232
"result.6" 0.304433828555716 0.329113984853599 0.337864320068647 4 -151527.952149888 1835.63349062972 330794.775090573
"result.7" 0.330227718088875 0.353179097242147 0.361543549378115 4 -152015.525537803 3736.05968871062 327912.82929518
"result.8" 0.342874330095589 0.365880011828792 0.373980713577123 4 -151164.809478236 3134.07686845702 327471.602991615
"result.9" 0.267309929639843 0.314963288445923 0.323583604192142 4 -151393.832825391 1964.78108578212 330268.241251273
"result.10" 0.28990548825258 0.325777702309212 0.334348278948077 4 -152078.145055902 1975.699720395 331558.788268008
"result.11" 0.242661493674871 0.228412105069912 0.237878591284078 4 -151524.233351473 1769.04756571081 330808.028993456
"result.12" 0.323609111385415 0.350929547966021 0.356186161577735 3 -150551.057959124 1829.7675387481 328796.478437746
"result.13" 0.330158151396285 0.357987010681975 0.368946403582585 5 -151365.237496715 2173.55560115197 329849.741738245
"result.14" 0.320068603221713 0.342710316244014 0.347996843292895 3 -151913.24121044 2824.58761296784 329531.204791938
"result.15" 0.118787392814358 0.148747888382029 0.155832811424221 3 -152101.960103136 1925.9026771872 331706.012448893
"result.16" 0.292671171840249 0.307452065583005 0.315588725832329 4 -151085.253075752 1841.32630246558 329841.751143568
"result.17" 0.198967365126765 0.269566506791024 0.282502965767725 5 -150472.753486983 1987.25435222794 328381.136041567
"result.18" 0.276404506871917 0.23636512989693 0.246022551536183 4 -152336.291004716 1848.19550531897 332386.328770851
"result.19" 0.328452015316147 0.348165935904056 0.35659360286812 4 -150973.263500224 1920.80116607959 329515.062440346
"result.20" 0.0707796449315096 0.113890237936675 0.128147885731918 5 -150928.980583339 1828.14449403756 329611.80995066
"result.21" 0.367426966335882 0.419792388998281 0.429399078262299 5 -151161.043000373 3316.70326038033 327098.817252042
"result.22" 0.3685915695472 0.435105006978705 0.441895250425152 4 -151852.344468881 1884.36777414351 331346.091161531
"result.23" 0.306182804564468 0.31789003702798 0.32654763182303 4 -151925.206226127 1896.43773929784 331467.674745714
"result.24" 0.311315531534344 0.306598272938449 0.309351585172737 2 -151530.114503579 1709.95920009306 330937.968028904
"result.25" 0.22346038335563 0.267815046599845 0.277073547881836 4 -152117.846138949 1797.91808408079 331993.75370673
"result.26" 0.309344122759241 0.344470679814922 0.349832476462118 3 -152294.659193736 1889.00873875056 332165.198506966
"result.27" 0.331762812862256 0.366137898646216 0.377232215981574 5 -151932.845299027 1906.78833646737 331518.491872238
"result.28" 0.271660812449234 0.310533522659814 0.319235365335784 4 -152640.595921707 2527.16731672202 331636.994982027
"result.29" 0.268084508346201 0.307929913799424 0.316661417277317 4 -152020.97149778 1902.09921443172 331647.882338752
"result.30" 0.299068446855246 0.355318314673243 0.363279304933978 4 -152464.455525077 2522.80085447672 331293.447113256
