"ARI" ""
"result.1" 0.301014081329814 2
"result.2" 0.191443633278726 2
"result.3" 0.0696395811824236 2
"result.4" 0.150855952751154 2
"result.5" 0.0565689655309429 2
"result.6" 0.0590555273152805 2
"result.7" 0.207711606208352 2
"result.8" 0.0642143022845245 2
"result.9" 0.136116024737598 2
"result.10" 0.318871739841898 2
"result.11" 0.0904194979532939 2
"result.12" 0.0110300646531269 2
"result.13" 0.0254450491386144 2
"result.14" 0.342497010494172 2
"result.15" 0.171241827096338 2
"result.16" 0.244464649198416 2
"result.17" 0.205388905500226 2
"result.18" 0.0947149701176527 2
"result.19" 0.274437081456451 2
"result.20" 0.324115203383278 2
"result.21" 0.0865118556968012 2
"result.22" 0.146714113116618 2
"result.23" 0.0597331764951773 2
"result.24" 0.150984565172262 2
"result.25" 0.0840308922285801 2
"result.26" 0.19696210447928 2
"result.27" 0.233103064148878 2
"result.28" 0.0874278620971148 2
"result.29" 0.32066427163939 2
"result.30" 0.108859530473707 2
