"ARI" ""
"result.1" 0.21544520799577 3
"result.2" 0.259137438224743 3
"result.3" 0.229170711283636 3
"result.4" 0.220867140307155 3
"result.5" 0.175398241442672 3
"result.6" 0.208399909456961 3
"result.7" 0.208489854148081 4
"result.8" 0.19260958703157 4
"result.9" 0.179711561486642 4
"result.10" 0.179665764456915 3
"result.11" 0.211634918167212 3
"result.12" 0.246919323748136 3
"result.13" 0.242348946291711 3
"result.14" 0.225445905777914 3
"result.15" 0.22089633501172 3
"result.16" 0.190846511030759 3
"result.17" 0.271151103878657 3
"result.18" 0.147054423615845 4
"result.19" 0.244216278550884 4
"result.20" 0.198762513750829 3
"result.21" 0.203542424498482 4
"result.22" 0.192470747619457 3
"result.23" 0.221240939669429 3
"result.24" 0.186291639110861 3
"result.25" 0.185887099353755 3
"result.26" 0.265790778013186 3
"result.27" 0.173888305819686 4
"result.28" 0.226904903202732 3
"result.29" 0.239242387678501 3
"result.30" 0.170042295281051 4
