"ARI" ""
"result.1" 0.0609714409989334 2
"result.2" 0.137175890356321 2
"result.3" 0.135245477579622 2
"result.4" 0.178140680961842 2
"result.5" 0.0345068919135991 2
"result.6" 0.0498457780709794 2
"result.7" 0.119731751631307 2
"result.8" 0.0711911053756862 2
"result.9" 0.0767904017305066 2
"result.10" 0.0999109585998952 2
"result.11" 0.0264865833148516 2
"result.12" 0.125800301026245 2
"result.13" 0.156827768475246 2
"result.14" 0.146351743370671 2
"result.15" 0.0640405185575305 2
"result.16" 0.12709481548499 2
"result.17" 0.212290405495264 2
"result.18" 0.0272103723561611 2
"result.19" 0.181462373189088 2
"result.20" 0.0588049613455504 2
"result.21" 0.0160797827417722 2
"result.22" 0.098215341607442 2
"result.23" 0.0749153796454247 2
"result.24" 0.0989006584256845 2
"result.25" 0.0193970803159484 2
"result.26" 0.188995715121832 2
"result.27" 0.104918338722996 2
"result.28" 0.117028305080347 2
"result.29" 0.0502617449677188 2
"result.30" 0.0599919874624544 2
