"ARI" "" "" "" "" "" ""
"result.1" 0.980622472864378 0.962746159158239 0.962789986556192 3 -8098415.98758912 -99051.4450616773 16557798.8932007
"result.2" 0.992258891386763 0.983582951286971 0.983602265069286 3 -8151619.96786611 -99139.893863817 16664383.751359
"result.3" 0.984194359848352 0.970821005966901 0.9708553338203 3 -8138438.2141947 -99275.0538955877 16638290.5640797
"result.4" 0.98183578772218 0.962758353067319 0.962802165896683 3 -8136846.1755123 -98884.8325806143 16634326.044085
"result.5" 0.990039910801058 0.979130618288006 0.979155164199727 3 -8132391.12638378 -99262.3832317451 16626171.0471302
"result.6" 0.970137597202428 0.951084143041385 0.951141690640413 3 -8129405.30520221 -98868.7595474696 16619412.1573985
"result.7" 0.989889137044019 0.981324898209453 0.981346868498879 3 -8102405.88902633 -99160.9480863821 16565997.7021246
"result.8" 0.980847030841907 0.961576815533937 0.961622018474286 3 -8160490.86044811 -99310.8370030379 16682467.4228014
"result.9" 0.973106328626328 0.947973410599031 0.948034617313328 3 -8091190.59190362 -98806.9256691117 16542859.0630446
"result.10" 0.974887763311764 0.952344530171291 0.952400594398954 3 -8132945.10949611 -99152.4332533169 16627059.113398
"result.11" 0.98431267255263 0.969289087763523 0.969325217582684 3 -8163686.81178211 -98724.5381359596 16687686.7277353
"result.12" 0.991593171910942 0.979361580841446 0.979385860922834 3 -8116192.78157447 -99002.069162015 16593253.7293721
"result.13" 0.982195206375186 0.963617240403887 0.963660043017788 3 -8119644.8182997 -98966.3521522125 16600086.368803
"result.14" 0.968980617853089 0.943887608181847 0.943953621384054 3 -8143802.7283992 -98941.6652501418 16648352.8151978
"result.15" 0.984946449475149 0.969002033038589 0.969038500560437 3 -8123029.03906908 -99016.0314418182 16606954.1689209
"result.16" 0.983557808768348 0.966584062709893 0.966623375124586 3 -8103573.90387941 -99192.0553762516 16568395.9464105
"result.17" 0.969652897314603 0.943918403173363 0.943984381184533 3 -8110586.52358804 -98974.1982473336 16581985.4715699
"result.18" 0.989068980982165 0.978201685432212 0.978227330112806 3 -8105628.19641295 -98983.1034634605 16572086.627652
"result.19" 0.981444322232895 0.963392599788705 0.96343566666668 3 -8093833.45450377 -99102.8695234638 16548736.6759536
"result.20" 0.981789343511485 0.9629440283725 0.962987623084853 3 -8130524.69718297 -99023.6198684494 16621960.662002
"result.21" 0.978798725077291 0.959520454412982 0.959568076623652 3 -8190915.73203324 -99305.1794025726 16743305.8507708
"result.22" 0.968114960382249 0.945429912175077 0.945494111208416 3 -8140091.80139415 -99018.3009484946 16641084.2325844
"result.23" 0.984375150503144 0.970096957192475 0.970132136837721 3 -8125441.30942323 -98947.0589282369 16611640.7646021
"result.24" 0.988713669043083 0.9762262090838 0.97625417773222 3 -8109108.74757596 -99094.4807577198 16579270.4845665
"result.25" 0.987174387841016 0.970978034260974 0.971012177064588 3 -8101254.2458492 -98983.1865631469 16563338.8927238
"result.26" 0.975225960561064 0.952805951021664 0.952861473063425 3 -8120937.56187614 -98904.323080111 16602547.7978116
"result.27" 0.992430590973684 0.985416953306997 0.985434109578116 3 -8093510.83611076 -99107.3629298376 16548100.4259803
"result.28" 0.984383140198294 0.968892631587962 0.968929205872504 3 -8075707.12236275 -99216.768316366 16512711.8092574
"result.29" 0.981096526567114 0.960432097852823 0.960478647504879 3 -8130025.58105774 -99027.2049358617 16620969.5998863
"result.30" 0.987414169281635 0.973561553358538 0.973592656995841 3 -8091657.6657103 -98747.1569069781 16543673.6731337
"result.31" 0.985021476780514 0.967494065608231 0.967532289195886 3 -8148531.30060272 -99040.6414079132 16658007.9119204
"result.32" 0.974566456565558 0.948703099634472 0.948763448094858 3 -8123169.11270425 -98785.0132506846 16606772.279809
"result.33" 0.976584639306447 0.960403516460564 0.960450100043581 3 -8097813.71201551 -98927.6024539677 16556346.6568381
"result.34" 0.976502760037248 0.957874019063353 0.957923578702507 3 -8133672.88165253 -98650.0648255474 16627509.9208553
"result.35" 0.98678708991539 0.975070931643607 0.975100259488511 3 -8111510.30614393 -99018.4142005651 16583921.4685881
"result.36" 0.982735713645034 0.964650515737108 0.964692102632129 3 -8105995.1427844 -98985.9134228556 16572826.1403136
"result.37" 0.976799642752778 0.953154460525891 0.953209572162299 3 -8147813.54486731 -98925.8305032874 16656342.7786403
"result.38" 0.988304640789676 0.977305756355041 0.977332455089265 3 -8113563.9726799 -98859.4149287876 16587710.8031165
"result.39" 0.97003610111013 0.945599225965017 0.945663226911099 3 -8095409.15466688 -99096.9470603848 16551876.2313537
"result.40" 0.982167856887005 0.965404175534508 0.965444875849903 3 -8148343.88105309 -99017.5110407207 16657586.8120868
"result.41" 0.987234261698139 0.972540184407312 0.97257248941553 3 -8133747.44908389 -98632.6313716712 16627624.1888103
"result.42" 0.977492556728661 0.95830142066999 0.958350477065833 3 -8174496.49631889 -99211.7112600365 16710280.443057
"result.43" 0.970804602758146 0.947389353699123 0.947451248154477 3 -8110694.54228293 -98969.1543798787 16582191.4212247
"result.44" 0.994388011660295 0.987808824947333 0.987823162394588 3 -8095219.66608441 -98957.5042730553 16551218.3686141
