"ARI" "" "" "" ""
"result.1" 0.980622472864378 3 -8098406.48378399 -99079.4495915494 16557835.8946502
"result.2" 0.988314500692185 3 -8151601.46519894 -99134.4181472734 16664335.7945916
"result.3" 0.984194359848352 3 -8138438.4236542 -99231.1708732506 16638203.216954
"result.4" 0.98183578772218 3 -8136846.37854053 -99000.8901598591 16634558.5652999
"result.5" 0.990039910801058 3 -8132391.08120168 -99293.2326666111 16626232.6556357
"result.6" 0.970137597202428 3 -8129405.34346421 -98879.3655700903 16619433.4459677
"result.7" 0.989889137044019 3 -8102403.32056145 -99136.9917908903 16565944.6526038
"result.8" 0.980847030841907 3 -8160490.83020218 -99314.4607249213 16682474.6097533
"result.9" 0.971077071402568 3 -8091190.62827189 -98838.245625144 16542921.7756932
"result.10" 0.974887763311764 3 -8132945.19822801 -99182.6475291185 16627119.7194134
"result.11" 0.98431267255263 3 -8163686.6398389 -98785.861567993 16687809.0307129
"result.12" 0.991593171910942 3 -8116198.2399369 -99080.1122804534 16593420.7323338
"result.13" 0.982195206375186 3 -8119644.76846757 -98988.0067026194 16600129.5782395
"result.14" 0.968980617853089 3 -8143802.73521284 -98960.3031408769 16648390.1046066
"result.15" 0.984946449475149 3 -8123028.98144785 -99025.3431176771 16606972.6770302
"result.16" 0.983557808768348 3 -8103573.77141649 -99209.0699096156 16568429.7105513
"result.17" 0.969652897314603 3 -8110586.44655879 -98962.7367043118 16581962.3944253
"result.18" 0.989068980982165 3 -8105591.16816862 -98947.1573401049 16571940.6789166
"result.19" 0.983317205640616 3 -8093833.45803465 -99060.8430190091 16548652.6300065
"result.20" 0.981789343511485 3 -8130524.78984672 -99011.4831511908 16621936.573895
"result.21" 0.978798725077291 3 -8190915.76884419 -99316.8639823655 16743329.2935523
"result.22" 0.966641938051474 3 -8140091.91315925 -98986.7881088246 16641021.4304353
"result.23" 0.984375150503144 3 -8125441.32351008 -98900.919803848 16611548.514527
"result.24" 0.990604215921229 3 -8109108.55412139 -99071.0798178151 16579223.2957775
"result.25" 0.987174387841016 3 -8101254.14621407 -98971.6810097755 16563315.6823468
"result.26" 0.975225960561064 3 -8120937.51302018 -98928.7752230246 16602596.6043855
"result.27" 0.992430590973684 3 -8093510.88366611 -99170.9567349087 16548227.7087012
"result.28" 0.984383140198294 3 -8075707.12991797 -99235.1976878323 16512748.6831107
"result.29" 0.977173780398565 3 -8130025.90273506 -98938.4552850912 16620792.7439394
"result.30" 0.987414169281635 3 -8091657.9455603 -98836.295712926 16543852.5104456
"result.31" 0.985021476780514 3 -8148531.18415219 -98935.6857125329 16657797.7676286
"result.32" 0.974566456565558 3 -8123139.75670746 -98985.2256809918 16607113.992676
"result.33" 0.978449682166497 3 -8097813.89814326 -98898.1850313753 16556288.1942484
"result.34" 0.976502760037248 3 -8133672.91133556 -98666.8334228843 16627543.517416
"result.35" 0.98678708991539 3 -8111510.27328216 -99033.5673605614 16583951.7091846
"result.36" 0.982735713645034 3 -8105995.14939955 -98987.2985426517 16572828.9237835
"result.37" 0.978665521219229 3 -8147813.02324662 -98916.2100139362 16656322.4944203
"result.38" 0.988304640789676 3 -8113563.78012387 -98889.8219714276 16587771.2320897
"result.39" 0.97003610111013 3 -8095409.21247088 -99113.4160977957 16551909.2850365
"result.40" 0.982167856887005 3 -8148343.85614139 -99007.6555532934 16657567.0512885
"result.41" 0.987234261698139 3 -8133747.43659986 -98661.7676453507 16627682.4363895
"result.42" 0.979353761882362 3 -8174496.70165735 -99140.6845526718 16710138.8003192
"result.43" 0.970804602758146 3 -8110694.74654572 -98941.9892186985 16582137.499428
"result.44" 0.994388011660295 3 -8095219.72938054 -98953.5568816466 16551210.6004235
"result.45" 0.976209709252001 3 -8110398.47856498 -98803.3735161978 16581267.7320615
"result.46" 0.974365226361741 3 -8108723.23085154 -99206.2750330644 16578723.0396683
"result.47" 0.987240240261252 3 -8099164.8899307 -99083.0295242762 16559359.8668091
"result.48" 0.969369204459384 3 -8103028.92632306 -99135.9786422824 16567193.8378298
"result.49" 0.976759483352444 3 -8097660.13128382 -99267.008871351 16556718.3082095
"result.50" 0.982887899833643 3 -8105736.27700996 -98776.6019927569 16571889.7859046
