"ARI" "" "" "" "" "" ""
"result.1" 0.992090698015929 0.983214624397006 0.983234371562845 3 -8098406.33583212 -99043.7386258706 16557764.1768151
"result.2" 0.984386608516705 0.969246728526247 0.969282908254272 3 -8151601.39344076 -99154.1110514157 16664375.0368835
"result.3" 0.992095654471579 0.984265566018048 0.9842840767451 3 -8138438.33590255 -99217.3487885683 16638175.3972814
"result.4" 0.980472039229261 0.964370659685794 0.964412576046148 3 -8136846.36814694 -98922.556886933 16634401.8779669
"result.5" 0.985943227687404 0.973068024869537 0.97309970902308 3 -8132390.89906794 -99231.4543724806 16626108.73478
"result.6" 0.983618139681972 0.971941891699374 0.97197490068039 3 -8129405.15751371 -98923.7283354752 16619521.7995975
"result.7" 0.986262298038757 0.972204932137747 0.972237631614978 3 -8102403.12368059 -99144.699899901 16565959.6750601
"result.8" 0.978406610803871 0.959275534486094 0.959323444735748 3 -8160526.83042309 -99282.647829682 16682482.9844047
"result.9" 0.980447809807069 0.962396094772899 0.962440333964098 3 -8091190.60004292 -98780.0102574833 16542805.2484999
"result.10" 0.984223412331947 0.969991595860659 0.970026866271952 3 -8132945.28671127 -99161.0148696806 16627076.631061
"result.11" 0.985031930865245 0.968799317534486 0.968836023515226 3 -8163686.52258581 -98881.9257306385 16688000.924532
"result.12" 0.990442524854812 0.979228665876021 0.97925310224894 3 -8116197.93619815 -99066.9057742512 16593393.7118439
"result.13" 0.986268166206256 0.973331914440284 0.973363288173394 3 -8119644.63437975 -98976.041644618 16600105.3799479
"result.14" 0.973791930673555 0.951224102419444 0.951281484675954 3 -8143802.57485051 -98949.6626842011 16648368.5029686
"result.15" 0.990039910801058 0.979130618288006 0.979155164199727 3 -8123029.21896321 -99088.5160072461 16607099.49784
"result.16" 0.985596000262162 0.968837048934955 0.968873710708511 3 -8103573.59154887 -99184.9110300129 16568381.0330569
"result.17" 0.962298962358335 0.937253668390134 0.937327487020692 3 -8110586.23510902 -99062.4145248525 16582161.3271669
"result.18" 0.990542029974109 0.981193309605602 0.981215434730474 3 -8105591.3494024 -98987.7351447935 16572022.1969935
"result.19" 0.987017543744694 0.974119222967001 0.974149670488489 3 -8093833.76231699 -99071.068522506 16548673.6895781
"result.20" 0.981228754847547 0.965069836128182 0.965110929805073 3 -8130524.8957284 -99060.9793686916 16622035.7780933
"result.21" 0.990201202225428 0.979124783318196 0.979149341960154 3 -8190915.64794932 -99224.4826012898 16743144.2890004
"result.22" 0.966230161286376 0.941624381148123 0.941693056895194 3 -8140092.19891702 -98985.5293651552 16641019.4844635
"result.23" 0.982512753654129 0.967467098010231 0.967505371422505 3 -8125441.00970966 -98892.7152801914 16611531.4778788
"result.24" 0.984217076489153 0.968800944682622 0.968837648661929 3 -8109108.78969295 -99072.2303951061 16579226.0680752
"result.25" 0.988886412121624 0.975982088319986 0.976010341127678 3 -8101268.82922616 -99081.7260038285 16563565.1383591
"result.26" 0.984567964716326 0.970716454284566 0.970750904936937 3 -8120937.43183086 -99018.5705345321 16602776.0326299
"result.27" 0.994316881376707 0.988556648760078 0.988570111310123 3 -8093510.81153574 -99061.2113766402 16548008.0737239
"result.28" 0.986434267029121 0.973118423159307 0.973150021511344 3 -8075707.23664182 -99223.2228411591 16512724.9468651
"result.29" 0.986666912328325 0.9722463125073 0.972278963356658 3 -8130025.95979626 -99007.4707211045 16620930.8889339
"result.30" 0.984954772997924 0.969342581782416 0.969378648581253 3 -8091657.48905375 -98813.81906374 16543806.6441341
"result.31" 0.988562549898174 0.976973058901681 0.977000146008472 3 -8148530.96543306 -99002.818684889 16657931.596135
"result.32" 0.977503803153266 0.954875802337285 0.954928888562521 3 -8123140.00541719 -99008.9061494653 16607161.8510324
"result.33" 0.980153040291376 0.966397588919535 0.966437120453736 3 -8097813.82780591 -98889.3828322538 16556270.4491755
"result.34" 0.980440590391345 0.963880289984981 0.963922783395524 3 -8133672.91177274 -98718.634499702 16627647.120444
"result.35" 0.984562837042597 0.970431819492041 0.970466604888161 3 -8111509.81804282 -99056.782899036 16583997.2297828
"result.36" 0.984054560628723 0.96874127412586 0.968778048448839 3 -8105995.0932875 -99054.8208575373 16572963.8561892
"result.37" 0.979345479503454 0.960355301922899 0.96040194203841 3 -8147813.27209168 -98973.1789123031 16656436.9299071
"result.38" 0.986257823375379 0.973089749879596 0.973121408411765 3 -8113563.38731384 -98853.25247661 16587697.30748
"result.39" 0.974825804898107 0.955784780806228 0.955836798539149 3 -8095424.85432068 -99028.9660638634 16551771.6686682
"result.40" 0.97840959685956 0.958995747114753 0.959043986636451 3 -8148389.74414475 -99082.6071175666 16657808.7304238
"result.41" 0.986274021406172 0.973739374397572 0.973770268607065 3 -8133747.80149397 -98665.3380118794 16627690.3069108
"result.42" 0.986274021406172 0.973739374397572 0.973770268607065 3 -8174496.40781337 -99239.5156406554 16710335.8748072
"result.43" 0.97228317604455 0.951259924745982 0.95131726551718 3 -8110694.62174784 -99002.2423808179 16582257.7561564
"result.44" 0.994388011660295 0.987808824947333 0.987823162394588 3 -8095193.06426854 -99027.0962587247 16551304.3489537
"result.45" 0.985131113468331 0.96961677981421 0.96965252417456 3 -8110398.59276216 -98927.4858127441 16581516.1850489
"result.46" 0.976758224265648 0.960465160883351 0.96051167196788 3 -8108723.31027383 -99135.2735338307 16578581.1955144
"result.47" 0.990440313526992 0.980381850980444 0.980404926058663 3 -8099164.74359004 -99035.7575896479 16559265.0302585
"result.48" 0.982167140403888 0.966952245249539 0.966991124139239 3 -8103028.68420158 -99176.5589056353 16567274.5141136
"result.49" 0.980131183275132 0.962330737481079 0.962375053409939 3 -8097660.2077518 -99167.2814243331 16556519.0062514
"result.50" 0.984376698409992 0.969005364509156 0.969041828245334 3 -8105736.36147255 -98875.829993552 16572088.4108313
