"ARI" "" "" "" ""
"result.1" 0 1 -8098312.01822495 -99783.069373652 16558906.6479182
"result.2" 0.903461207456294 3 -8151623.7483155 -99126.982470753 16664365.4894716
"result.3" 0 1 -8138207.25040799 -99879.0151417723 16638889.0038205
"result.4" 0 1 -8136664.62734643 -99792.7960354899 16635631.3194848
"result.5" 0.881396718728617 3 -8132391.76503064 -99136.2840123162 16625920.125985
"result.6" 0.879525554963807 3 -8129408.2456991 -98581.5418067107 16618843.6029108
"result.7" 0 1 -8102219.07768326 -99768.4584161217 16566691.5449197
"result.8" 0.892543159378484 3 -8160512.14121489 -99216.1954900883 16682320.7013091
"result.9" 0 1 -8090984.32916531 -99679.3738677983 16544043.8787872
"result.10" 0.936061428067919 3 -8132956.17280491 -99076.3992239167 16626929.1719568
"result.11" 0.938360501048811 3 -8163668.48926745 -98790.3395729588 16687781.68558
"result.12" 0 1 -8115960.05477047 -99864.0993204388 16594364.7809028
"result.13" 0 1 -8119434.83345183 -99671.7148552759 16600929.5693352
"result.14" 0.888531414093331 3 -8143769.24930564 -99088.3920821802 16648579.3106748
"result.15" 0.872160144226065 3 -8123076.18715933 -99039.1147845078 16607094.6317868
"result.16" 0 1 -8103380.1270304 -99842.57303323 16569161.8728482
"result.17" 0 1 -8110373.56559164 -99726.215755995 16582916.0354162
"result.18" 0.951385198853054 3 -8105627.48044951 -99132.8677255182 16572384.7242492
"result.19" 0 1 -8093597.02938695 -100002.593763 16549915.7190209
"result.20" 0 1 -8130305.61093335 -99750.8435323973 16622829.3816525
"result.21" 0 1 -8190686.61339789 -100003.954589097 16744097.6086949
"result.22" 0 1 -8139884.135638 -99911.0094785989 16642306.7629542
"result.23" 0 1 -8125228.54492397 -99809.2249736386 16612792.0125162
"result.24" 0.890307337693195 3 -8109128.19849605 -98937.154915965 16578994.7347232
"result.25" 0.917029593453054 3 -8101312.43485632 -98783.777171486 16563056.4519547
"result.26" 0.901577511798664 3 -8120934.57757133 -98868.2856389875 16602469.7543198
"result.27" 0.923632243516369 3 -8093522.72998399 -98925.8189335988 16547761.1257343
"result.28" 0 1 -8075505.87441263 -99805.9883779817 16513340.1983022
"result.29" 0 1 -8129835.79222528 -99816.0200448932 16622020.0972613
"result.30" 0.928086467273049 3 -8091645.24975335 -98765.1837650703 16543684.894936
"result.31" 0.918116363321986 3 -8148536.49996732 -99006.7338467209 16657950.4955272
"result.32" 0.929090475138021 3 -8123178.90538735 -98760.3843335001 16606742.6073408
"result.33" 0 1 -8097703.14363392 -99688.8452743752 16557500.4505375
"result.34" 0.930071768636518 3 -8133700.90419949 -98807.5550755875 16627880.9464493
"result.35" 0 1 -8111301.58872817 -99877.9698914562 16585075.5899602
"result.36" 0 1 -8105765.86702308 -99893.7757404131 16574035.7582479
"result.37" 0 1 -8147575.33427929 -99822.2567791196 16657511.6548378
"result.38" 0.875485773415484 3 -8113568.55608161 -98821.042984933 16587643.2260322
"result.39" 0 1 -8095157.99401759 -99756.602770227 16552545.6662966
"result.40" 0.927275416141137 3 -8148397.45046523 -98983.8299080313 16657626.5886457
"result.41" 0.86784187216253 3 -8133743.85462676 -98645.0143986259 16627641.7659499
"result.42" 0.898091571794278 3 -8174499.23027636 -98937.8832430063 16709738.2549379
"result.43" 0 1 -8110496.39125624 -99690.5421205693 16583090.3394746
"result.44" 0 1 -8095100.07696975 -99903.628672248 16552723.884005
"result.45" 0.913652439099874 3 -8110411.68213297 -98799.0634632777 16581285.5190916
"result.46" 0 1 -8108530.46315313 -99787.4089369486 16579352.2169011
"result.47" 0.927092241858801 3 -8099174.26171547 -98956.8421853168 16559126.2357007
"result.48" 0 1 -8102920.16997252 -99984.3844775617 16568525.5816211
"result.49" 0 1 -8097453.28035018 -99891.9369579558 16557406.9073372
"result.50" 0 1 -8105550.97274983 -99651.1824236477 16573120.7830679
