"ARI" ""
"result.1" 0.988044084278351 5
"result.2" 0.97810958648685 5
"result.3" 0.991072468066353 5
"result.4" 0.978564965467591 5
"result.5" 0.995708439292217 5
"result.6" 0.987826171978965 5
"result.7" 0.989562826677411 5
"result.8" 0.976098525010019 5
"result.9" 0.982044684223565 5
"result.10" 0.986778183709128 5
"result.11" 0.98876411307431 5
"result.12" 0.983617572056547 5
"result.13" 0.987534566640758 5
"result.14" 0.978922654121049 5
"result.15" 0.989336168507106 5
"result.16" 0.985659723459493 5
"result.17" 0.995136279024106 5
"result.18" 0.992972491906421 5
"result.19" 0.989131315528176 5
"result.20" 0.982176894842049 5
"result.21" 0.981920437219115 5
"result.22" 0.980432763234569 5
"result.23" 0.987511329651577 5
"result.24" 0.985961851345814 5
"result.25" 0.991526095326779 5
"result.26" 0.977717997315883 5
"result.27" 0.993111181721108 5
"result.28" 0.992383015170281 5
"result.29" 0.980970961490174 5
"result.30" 0.992601370791928 5
"result.31" 0.990849332250681 5
"result.32" 0.979818718322835 5
"result.33" 0.995037312522132 5
"result.34" 0.988453651686801 5
"result.35" 0.984297734281011 5
"result.36" 0.987315385835638 5
"result.37" 0.989552558689844 5
"result.38" 0.980905089483078 5
"result.39" 0.994549176545871 5
"result.40" 0.976337339534781 5
"result.41" 0.981145226503925 5
"result.42" 0.987522271502178 5
"result.43" 0.993457078753665 5
"result.44" 0.982976316552446 5
"result.45" 0.992017345784318 5
"result.46" 0.963969690135536 5
"result.47" 0.989611279924425 5
"result.48" 0.97093432329689 5
"result.49" 0.982400522421046 5
"result.50" 0.990508251886196 5
