"ARI" "" "" "" "" "" ""
"result.1" 0.977014442148369 0.955001142650166 0.955169693866848 5 -8098372.79405815 -99231.9082480425 16558220.9876897
"result.2" 0.955539266239391 0.921954598583002 0.92224706830774 5 -8151621.59987476 -99198.6809567783 16664652.1447404
"result.3" 0.964210883942528 0.940471544847119 0.940694614928916 5 -8138346.9296392 -99427.5844735017 16638560.6113027
"result.4" 0.949645326572353 0.918024851307501 0.918332101941919 5 -8136958.53008515 -99194.6854006363 16635318.0140489
"result.5" 0.966281305510155 0.938642502835777 0.938872363838501 5 -8132430.8185069 -99226.1415981235 16626325.5032873
"result.6" 0.982290988446519 0.964874683234488 0.965006209404591 5 -8129475.88367274 -99022.0901894728 16620007.5308017
"result.7" 0.979852284775249 0.962537153880731 0.962677471471059 5 -8102425.63713272 -99391.7263436653 16566646.3100301
"result.8" 0.919335551398811 0.88818134789179 0.888601173193354 5 -8160398.05043393 -99227.3719269263 16682262.427799
"result.9" 0.97318068665763 0.95315890355895 0.953334340732365 5 -8091205.75914467 -99018.1002554716 16543459.3018776
"result.10" 0.97511296172371 0.957871587754799 0.958029419739623 5 -8132895.63206381 -99140.030774311 16627082.9087535
"result.11" 0.976384837936911 0.957257165879372 0.957417249217567 5 -8163710.84213355 -98975.2883410714 16688383.8440265
"result.12" 0.964883386017843 0.942461668662998 0.94267723236369 5 -8116178.05294577 -99117.3135956357 16593602.3161601
"result.13" 0.826008012513738 0.798923906706858 0.799487444513165 4 -8119459.62151246 -99253.8506656646 16600364.7498445
"result.14" 0.96644220850972 0.942908358920723 0.943122210103291 5 -8143768.10592274 -99183.7444514066 16648915.2838256
"result.15" 0.974067321069427 0.952148277973526 0.952327529127506 5 -8123000.08731085 -99182.7660893242 16607377.2898776
"result.16" 0.963086613038167 0.938845631031891 0.939074725011721 5 -8103582.75922808 -99125.6732270544 16568428.4479876
"result.17" 0.97421868998254 0.954928964203949 0.955097807369659 5 -8110549.78865232 -98894.555347548 16581900.271077
"result.18" 0.963541427720248 0.939037516227417 0.939265940886547 5 -8105507.5718753 -99126.2193900026 16572279.1656079
"result.19" 0.968103910827287 0.942916481096165 0.943130319044007 5 -8093888.43544514 -99218.4994882798 16549225.4529441
"result.20" 0.948383495620638 0.923312576251669 0.923600166477108 5 -8130447.63923939 -99142.0159475 16622190.8934511
"result.21" 0.977438386484144 0.955788640135117 0.955954229663785 5 -8190918.13211087 -99376.5242435307 16743600.8957861
"result.22" 0.977029625600584 0.960817899237254 0.9609646483139 5 -8140087.29661753 -99243.5628323011 16641673.301977
"result.23" 0.977250470851541 0.959549024940731 0.959700536044135 5 -8125479.49679442 -99062.7412282693 16612096.0591227
"result.24" 0.972287888786061 0.955661826575811 0.955827889264461 5 -8109132.42270093 -99262.2199812988 16579800.8684418
"result.25" 0.972900773847624 0.945908868389852 0.946111506879728 5 -8101146.33072381 -98994.6624203894 16563293.5693657
"result.26" 0.971755434799266 0.947648500761276 0.947844607608566 5 -8120962.87695107 -99129.8427079386 16603197.0223953
"result.27" 0.978159840524144 0.955826355842905 0.955991798924139 5 -8093405.74831659 -99099.8962495113 16548022.8722095
"result.28" 0.962425372920489 0.935740133879683 0.935980971871004 5 -8075736.9876053 -99358.1595663568 16513201.8774206
"result.29" 0.968750252873096 0.937380399476399 0.937615057946443 5 -8129976.85199072 -99177.7199912967 16621320.7270413
"result.30" 0.964994831711222 0.940542381065878 0.94076511306892 5 -8091543.69600755 -99117.5870225925 16544334.1491376
