"ARI" "" "" "" ""
"result.1" 0.607794215819235 5 -8098428.18305144 -99009.9846436035 16557887.9184674
"result.2" 0.669026089005245 5 -8151698.77475827 -98904.6116073728 16664218.3558086
"result.3" 0.632283130460299 5 -8138351.03734214 -99033.256859349 16637780.1714803
"result.4" 0.653644570072815 7 -8137108.9904935 -98698.4040699978 16634773.9273825
"result.5" 0.652145649214208 5 -8132332.53374034 -99103.1982703021 16625883.0470986
"result.6" 0.651553203460561 7 -8129452.02028013 -98745.5583012702 16619554.2954183
"result.7" 0.663583335008719 5 -8102509.90923049 -99012.6957878808 16566056.793114
"result.8" 0.638731969760063 5 -8160491.51056318 -99230.7776562129 16682456.1595161
"result.9" 0.659083520667567 5 -8091291.04637236 -98582.7397535546 16542759.1553291
"result.10" 0.648689743479547 5 -8133008.6254478 -98833.9186940869 16626696.6713611
"result.11" 0.671107115162428 5 -8163829.40007132 -98642.9473747341 16688030.0555585
"result.12" 0.646385121030569 6 -8116188.7919815 -99024.8740623555 16593512.6927541
"result.13" 0.645170449851485 5 -8119596.11905808 -98943.1306416154 16600090.0824767
"result.14" 0.610762717102085 6 -8143683.52235319 -98953.3960735181 16648359.1975198
"result.15" 0.646782217745087 5 -8122878.16542203 -99017.7107309125 16606803.3353832
"result.16" 0.65064444489772 5 -8103666.32539703 -98931.4753538479 16568207.1845791
"result.17" 0.632649874813201 5 -8110669.58730044 -98874.8054268 16582100.3685318
"result.18" 0.626279643767924 7 -8105543.36630785 -98794.5474439321 16571687.4105809
"result.19" 0.605917210432755 6 -8093855.53399574 -98984.0788882092 16548764.5864343
"result.20" 0.618546785238946 5 -8130529.97391164 -98898.6655360474 16621868.8619727
"result.21" 0.657991539137157 6 -8190872.29438483 -99031.5084242286 16742892.9662845
"result.22" 0.672114189912252 5 -8140036.13179771 -98723.413302039 16640604.4508659
"result.23" 0.674565118803959 5 -8125435.04061741 -98801.8248962108 16611485.3141045
"result.24" 0.657368168473546 5 -8109204.59398032 -98843.9873915952 16579108.7458211
"result.25" 0.688013263906801 6 -8101027.15031705 -98910.7557955715 16562887.3953025
"result.26" 0.640853880779603 5 -8121060.79254617 -98773.2337627565 16602679.6356952
"result.27" 0.672070876340091 5 -8093400.1393496 -98784.8697549524 16547381.6012864
"result.28" 0.621095581081973 5 -8075802.12253746 -99115.7140593742 16512847.256271
"result.29" 0.609140338068143 6 -8129936.28334153 -99011.349498152 16620980.6263457
"result.30" 0.649399746584809 5 -8091587.98429335 -98589.4497870659 16543366.4512381
"result.31" 0.657289064463732 6 -8148593.08540826 -98676.6847716554 16657772.4562044
"result.32" 0.626958827488749 5 -8123214.45423746 -98805.0458136495 16607050.5831795
"result.33" 0.670007784293 5 -8097686.2933246 -98723.3739516445 16555830.9176298
"result.34" 0.648005348564371 5 -8133566.72946469 -98487.9518768701 16627120.9457604
"result.35" 0.675247582893334 7 -8111520.95768854 -98706.0521485776 16583613.1579297
"result.36" 0.674987517714771 5 -8105987.31955017 -98938.1292053497 16572862.4805883
"result.37" 0.671259492610488 5 -8147753.99621292 -98875.0504039596 16656269.676311
"result.38" 0.643873995650816 5 -8113395.47592019 -98430.9764769158 16586664.4878715
"result.39" 0.636121906498583 5 -8095198.08041999 -98996.5699885872 16551400.8838945
"result.40" 0.67704598613459 6 -8148194.84567764 -98847.2528707045 16657095.780174
"result.41" 0.628953458403255 5 -8133683.70414308 -98645.4625379498 16627669.9164394
"result.42" 0.630593185800094 5 -8174424.86117565 -98906.7686524768 16709674.8427336
"result.43" 0.646464024659381 5 -8110791.38767838 -98920.2542779476 16582434.86699
"result.44" 0.61464172843877 5 -8095268.96494453 -98951.5543943658 16551452.6217551
"result.45" 0.643563206916953 6 -8110441.18745802 -98637.5048475114 16581168.9676884
"result.46" 0.660210131219173 5 -8108669.99642716 -98971.4452122229 16578294.4663561
"result.47" 0.612639191755554 5 -8099021.67325423 -98952.5587935477 16558960.0471729
"result.48" 0.642476634719186 6 -8102952.07882649 -99009.2892700531 16567008.0968595
"result.49" 0.628135151768375 5 -8097704.17042539 -98971.0007353579 16556361.9253988
"result.50" 0.66094152749225 6 -8105866.20876054 -98655.8722146109 16572129.5226167
