"ARI" "" "" "" ""
"result.1" 0.977014442148369 5 -8098372.7940587 -99231.9082423984 16558220.9876795
"result.2" 0.955539266239391 5 -8151621.59988178 -99198.6818688142 16664652.1465785
"result.3" 0.964210883942528 5 -8138346.92963912 -99427.5839237534 16638560.6102031
"result.4" 0.949645326572353 5 -8136958.53008617 -99194.6852619633 16635318.0137736
"result.5" 0.969479490468363 5 -8132422.55433486 -99207.5165311791 16626271.7248094
"result.6" 0.982290988446519 5 -8129475.69266291 -99006.9155371793 16619976.7994775
"result.7" 0.978215585859282 5 -8102425.49874675 -99374.5065727348 16566611.5937163
"result.8" 0.919335551398811 5 -8160398.05043436 -99227.3719393733 16682262.4278248
"result.9" 0.97318068665763 5 -8091205.80249481 -99007.9895237624 16543439.1671144
"result.10" 0.97511296172371 5 -8132895.60088623 -99089.2481519967 16626981.2811537
"result.11" 0.976384837936911 5 -8163746.36711412 -99059.8323684211 16688623.9820424
"result.12" 0.964883386017843 5 -8116178.0338736 -99088.6217913235 16593544.8944071
"result.13" 0.826008012513738 4 -8119459.62151687 -99253.8534757595 16600364.7554735
"result.14" 0.96644220850972 5 -8143774.50736308 -99144.2097721869 16648849.0173478
"result.15" 0.973049750879654 5 -8123000.0781928 -99181.9890083255 16607375.7174795
"result.16" 0.963086613038167 5 -8103582.75922808 -99125.6732270544 16568428.4479876
"result.17" 0.97421868998254 5 -8110549.83562786 -98912.2735025617 16581935.8013381
"result.18" 0.963541427720248 5 -8105507.96799927 -99177.8438326458 16572383.2067411
"result.19" 0.968103910827287 5 -8093888.46574263 -99215.7645080378 16549220.0435786
"result.20" 0.943753456519981 5 -8130447.45489042 -99211.0182028267 16622328.5292638
"result.21" 0.974730694702546 5 -8190923.11044901 -99558.1444704561 16743974.0929162
"result.22" 0.977029625600584 5 -8140087.29661222 -99243.5621555038 16641673.3006127
"result.23" 0.977250470851541 5 -8125479.47012326 -99033.8744654703 16612038.2722548
"result.24" 0.973926641205152 5 -8109132.43458192 -99266.4493301334 16579809.3509014
"result.25" 0.972900773847624 5 -8101146.27204644 -98972.4726068136 16563249.0723838
"result.26" 0.971687375889747 5 -8120957.64429291 -99049.9763790917 16603026.8244213
"result.27" 0.978159840524144 5 -8093405.74831247 -99099.8962023871 16548022.872107
"result.28" 0.960895731686511 5 -8075758.44444345 -99421.4238211227 16513371.3196064
"result.29" 0.968750252873096 5 -8129976.83806021 -99091.2821749449 16621147.8235476
"result.30" 0.964994831711222 5 -8091543.69600755 -99117.5870225925 16544334.1491376
"result.31" 0.970866669036557 5 -8148564.8694618 -99198.7191601979 16658538.7603213
"result.32" 0.963316686261547 5 -8123165.8766847 -98958.4504997127 16607260.2374461
"result.33" 0.982123394254852 5 -8097759.67930275 -98991.9096253542 16556514.7609335
"result.34" 0.941936967953809 5 -8133651.45497628 -99077.2028470064 16628468.8987239
"result.35" 0.969626147376162 5 -8111535.68773352 -99063.803279905 16584210.5651041
"result.36" 0.978153955132601 5 -8106045.68627513 -99210.6752746712 16573524.3061769
"result.37" 0.976569360939026 5 -8147816.40157541 -99070.54260775 16656785.4714436
"result.38" 0.928815275940602 5 -8113487.24515847 -98887.1072485433 16587760.2878913
"result.39" 0.974185537251346 5 -8095342.93427175 -99126.6539508118 16551950.7595224
"result.40" 0.970815079536825 5 -8148289.43973009 -99350.2404326894 16658290.9434029
"result.41" 0.956379115138774 5 -8133660.25588379 -98730.0379158084 16627792.1706765
"result.42" 0.947015725538541 5 -8174425.35779665 -99327.175660357 16710516.6499913
"result.43" 0.98481512661585 5 -8110690.68607891 -99064.0943259679 16582521.1438871
"result.44" 0.980748631156215 5 -8095238.75114228 -99170.8362542929 16551830.7578704
"result.45" 0.909122010230325 4 -8110283.50805025 -99329.7679235386 16582164.3574358
"result.46" 0.947136963485635 5 -8108763.14119764 -99332.7087801685 16579203.2830329
"result.47" 0.98492163188917 5 -8099112.69584929 -99107.4726360059 16559451.9200479
"result.48" 0.927908832218568 5 -8102985.46600583 -99515.1356205282 16568012.78633
"result.49" 0.95940496659954 5 -8097644.87089362 -99287.020351575 16556875.3655677
"result.50" 0.976259532993234 5 -8105885.64581049 -98886.9979166413 16572556.8705316
