"ARI" "" "" "" "" "" ""
"result.1" 0.66040598954387 0.605566106968975 0.607962110854597 7 -8098471.21961615 -98947.7018373966 16557996.9811626
"result.2" 0.657101169031751 0.606173363602626 0.608564479609118 7 -8151737.00215322 -98983.4974226144 16664600.1374071
"result.3" 0.64380235062052 0.612076360755286 0.614428799642509 7 -8138367.76553562 -99009.1849906207 16637913.039308
"result.4" 0.666491756947553 0.620762192523474 0.623432082755102 8 -8136918.95705722 -98738.0497375581 16634546.9294341
"result.5" 0.67187662613681 0.622028644122732 0.624323525591809 7 -8132429.72125357 -99104.415423064 16626227.4116087
"result.6" 0.672907168027755 0.62357915526765 0.626099984525244 8 -8129474.82234818 -98829.035708133 16619840.6319572
"result.7" 0.684781028015176 0.627825632721417 0.630082391242197 7 -8102548.60199076 -99026.739921694 16566309.8220804
"result.8" 0.659967611373224 0.610960152723085 0.61332307247468 7 -8160495.16816085 -99012.8713717788 16682175.2173207
"result.9" 0.675986108948009 0.628427897454319 0.630683975486193 7 -8091299.03152652 -98688.0239913585 16543133.2492912
"result.10" 0.670277868257289 0.619857659414159 0.622164476802694 7 -8132991.88409739 -98918.504936319 16626979.9163229
"result.11" 0.684746476721208 0.641619090173269 0.643793364337716 7 -8163781.02577227 -98750.9199003627 16688223.0296007
"result.12" 0.668518609200375 0.614167544685634 0.616513905842793 7 -8116162.29693736 -99071.5528508074 16593626.8378318
"result.13" 0.67442336896868 0.616614565895698 0.61894345748881 7 -8119771.63629732 -98889.1987709762 16600480.808392
"result.14" 0.635237190952018 0.581670052792831 0.584211408016758 7 -8143897.75789243 -98903.4291882578 16648761.5124168
"result.15" 0.691217338191746 0.638891259368518 0.641084148980443 7 -8123053.93345111 -98980.5016297358 16607228.0084172
"result.16" 0.676707723714766 0.625847352674617 0.628119404235926 7 -8103618.53295431 -98950.6036611773 16568297.4114864
"result.17" 0.665444337486971 0.617318339945738 0.619641154328586 7 -8110523.1718645 -98843.6221691685 16581892.7263228
"result.18" 0.655840378975691 0.604553715994406 0.606953903800729 7 -8105644.16324522 -98681.754011213 16571810.9727683
"result.19" 0.645242868187508 0.600795057219585 0.603218951891167 7 -8093919.17385544 -99010.5817352271 16549018.6494368
"result.20" 0.655082734158798 0.605192658277802 0.607589566575176 7 -8130521.52600899 -98987.3140916089 16622176.8184567
"result.21" 0.68274362309922 0.629966049121302 0.632442991646686 8 -8190865.02981609 -99167.3202484495 16743297.6159736
"result.22" 0.677065386599687 0.623375425146759 0.625887858818158 8 -8140060.32225276 -98900.7787206319 16641081.3402022
"result.23" 0.704180751179241 0.652657215464196 0.654764567053368 7 -8125619.92793078 -98721.0225776365 16611841.0392723
"result.24" 0.684180191411327 0.631632449052974 0.633869239339142 7 -8109348.51203923 -98936.7335656622 16579729.6294653
"result.25" 0.723365153479879 0.66151178721006 0.663565893701069 7 -8101203.7924691 -98700.0513472313 16562966.8258881
"result.26" 0.664207282501684 0.614085102777507 0.616428667617021 7 -8121071.9057862 -98743.0898648608 16602789.1295576
"result.27" 0.709499906629283 0.65753317680323 0.659611553286024 7 -8093531.64574801 -98892.8500279778 16548008.1298074
"result.28" 0.627032536409759 0.576038793618285 0.578613033073484 7 -8075801.36073523 -98948.3107408041 16512658.4812075
"result.29" 0.654099920383489 0.601094945656745 0.603518623220052 7 -8130042.26713772 -99081.0854078559 16621405.8433466
"result.30" 0.685968499802599 0.64098003707073 0.64315852406415 7 -8091609.02054539 -98724.4660654909 16543826.1114772
"result.31" 0.691190253486206 0.639257624579145 0.641672715200142 8 -8148728.86146376 -98919.8991629543 16658456.6595089
