"ARI" "" "" "" "" "" ""
"result.1" 0.660347819489367 0.605473714300086 0.607870185038293 7 -8098345.51518654 -98920.6111643957 16557691.3909573
"result.2" 0.654041938933907 0.60518390703492 0.607922109811359 8 -8151663.93556333 -98864.6722510206 16664216.3538842
"result.3" 0.64971873926606 0.618250458852524 0.620563914877069 7 -8138341.21642147 -99034.229758472 16637910.0306154
"result.4" 0.66282217839654 0.613578281319459 0.616671949770293 9 -8136917.66769975 -98797.1524570776 16634736.3337473
"result.5" 0.670595115896896 0.621683423777806 0.623980312189531 7 -8132382.70945906 -99074.1112751223 16626072.7797238
"result.6" 0.675979589506866 0.628968489516778 0.631590048210644 8 -8129503.83552889 -98822.5704881113 16619885.7278785
"result.7" 0.683547151401058 0.626977055180102 0.629237074286921 7 -8102522.53975067 -99051.957189085 16566381.9097241
"result.8" 0.656747977159625 0.607148711789936 0.60978059726683 8 -8160360.89176907 -98883.1058060634 16681720.9109948
"result.9" 0.676773287100715 0.62928193412031 0.631532509171687 7 -8091305.74719466 -98693.7112765684 16543158.0551979
"result.10" 0.668783889442537 0.618295080208849 0.620611372978653 7 -8132983.56606536 -98805.7560231437 16626737.7824325
"result.11" 0.687681821917088 0.644828387096083 0.646983219976396 7 -8163740.24810204 -98813.849870046 16688267.3341996
"result.12" 0.668589883661962 0.614718352705724 0.617061018467292 7 -8116237.19077019 -99085.4644966522 16593804.4487891
"result.13" 0.67560612180736 0.616841109254743 0.619168653306248 7 -8119807.34495256 -99035.5160436484 16600844.8602479
"result.14" 0.634876525853819 0.580871436934066 0.58367987766557 8 -8143714.16843664 -98953.5693035631 16648568.3913249
"result.15" 0.690832367176163 0.638865226731945 0.641058229198215 7 -8122963.91910136 -99007.2108167757 16607101.3980917
"result.16" 0.678700620887045 0.628904336243256 0.631157758699672 7 -8103611.93312677 -99009.6019406279 16568402.2083902
"result.17" 0.663018947420776 0.614802274483287 0.617140398718522 7 -8110639.11234929 -98811.0596540629 16582059.4822622
"result.18" 0.646976759538988 0.592674920737619 0.595626095410007 8 -8105453.58221299 -98770.1111162292 16571680.302503
"result.19" 0.647801825383366 0.604846889201188 0.607246123525949 7 -8093939.99291954 -99049.457327822 16549138.0387502
"result.20" 0.655471813565944 0.60591237708073 0.608304875651666 7 -8130543.49082138 -98835.9109785598 16621917.9418553
"result.21" 0.682520895705061 0.629609058274787 0.632088410297314 8 -8190861.75394717 -99219.845523465 16743469.8923749
"result.22" 0.67880755465819 0.624044532090994 0.626709616121204 8 -8139941.23647846 -98971.7291339119 16641058.8470693
"result.23" 0.701506390451833 0.65047497667577 0.652595517725546 7 -8125702.77083282 -98741.642695785 16612047.9653127
"result.24" 0.685956713223703 0.633919864729423 0.636506835644969 8 -8109198.19588855 -99012.8595213808 16579655.0266644
"result.25" 0.727049308437511 0.664979047673893 0.667221667409965 8 -8101036.46292369 -98805.9166239151 16562843.8973507
"result.26" 0.665520632482552 0.614953769847145 0.617291975515391 7 -8121077.10205858 -99008.4329647877 16603330.2083022
"result.27" 0.707311721845466 0.653373322785268 0.655693826283267 8 -8093317.07689231 -98749.4616214617 16547292.215283
"result.28" 0.630316664026414 0.579964729063837 0.582514900250851 7 -8075895.34334165 -98993.6141706488 16512937.0532801
"result.29" 0.652457925985215 0.600670842199715 0.603096816711925 7 -8129912.32915361 -98884.5743663288 16620752.9452953
"result.30" 0.68502728173829 0.632765174418839 0.635382117670386 8 -8091433.7599386 -98796.9212252945 16543620.5005832
"result.31" 0.684084279760327 0.634639029035678 0.637219932117914 8 -8148628.60055376 -99006.6437367279 16658577.1820146
"result.32" 0.672334380162903 0.625762474338328 0.628033956657672 7 -8123227.53986997 -98663.1915456208 16606940.6010866
"result.33" 0.69350519630736 0.642188592513896 0.644361066610129 7 -8097845.21385358 -98788.1609964592 16556425.8879555
