"ARI" "" "" "" "elapsed"
"result.1" 0.41738231200816 0.49619841019741 0.497212410758365 3 35.373
"result.2" 0.613311745294479 0.657937130668469 0.658970736055822 4 34.079
"result.3" 0.304785783304568 0.346564585580934 0.347220908859913 2 33.864
"result.4" 0.629193635890134 0.667003209367929 0.668009382345217 4 32.124
"result.5" 0.62468977541389 0.673366009480701 0.674353064822199 4 32.011
"result.6" 0.626854819817395 0.673510081334325 0.674496598021482 4 32.833
"result.7" 0.818642959918493 0.79938566529969 0.80019426764773 5 34.249
"result.8" 0.514621027987152 0.543349424430641 0.54426791047734 3 31.458
"result.9" 0.616928885329291 0.664135332610714 0.665150295937074 4 33.076
"result.10" 0.427635367301971 0.510838492469332 0.511823007997842 3 35.286
"result.11" 0.418356500516413 0.490854543070022 0.491879695908002 3 33.101
"result.12" 0.473681885972195 0.523344107170485 0.524303565598089 3 34.084
"result.13" 0.628344546003163 0.668330557521519 0.669332700401783 4 31.557
"result.14" 0.622359346043805 0.66594237269413 0.666951862772766 4 32.776
"result.15" 0.618998813862366 0.662280418399102 0.663300977697961 4 34.393
"result.16" 0.511785546934348 0.551746666892722 0.552648303263453 3 36.104
"result.17" 0.308942550315115 0.341963142221886 0.342624059277948 2 37.374
"result.18" 0.509742611369686 0.540462734573152 0.54138706161615 3 37.903
"result.19" 0.716362598331413 0.716792184429545 0.717647294505727 4 35.129
"result.20" 0.520873171728047 0.549078172864548 0.549984989162974 3 33.746
"result.21" 0.768619541607729 0.788956802038985 0.789808383498707 5 33.0200000000001
"result.22" 0.632811179647798 0.672598864886528 0.673588101207981 4 33.096
"result.23" 0.830271250273448 0.827630826761428 0.828325708412737 5 34.2670000000001
"result.24" 0.627271228927265 0.681559400215808 0.682521696512991 4 36.546
"result.25" 0.637438908509691 0.68463889678352 0.685591774484964 4 34.506
"result.26" 0.715406673974185 0.712154292374187 0.713023398733485 4 35.283
"result.27" 0.742545994684214 0.786262561542477 0.787124885963842 5 36.987
"result.28" 0.821934054833061 0.799096720339525 0.799906576775612 5 34.9530000000001
"result.29" 0.520320551082949 0.549343761607585 0.550250068464304 3 39.573
"result.30" 0.81157805431455 0.801241788372683 0.802043041381949 5 33.2
"result.31" 0.632987350638143 0.675801102741256 0.676780689277371 4 35.1770000000001
"result.32" 0.496164617872621 0.521058552609227 0.522021928759523 3 33.173
"result.33" 0.806284235395599 0.81106059784147 0.811822466111638 5 35.307
"result.34" 0.825285003875462 0.817900447134974 0.818634574250667 5 37.422
"result.35" 0.806772640979463 0.811164583715246 0.811926043004659 5 34.9240000000002
"result.36" 0.457625607322717 0.507077740086381 0.508070313159089 3 35.3440000000001
"result.37" 0.825426541731739 0.822136912176697 0.822853961981717 5 32.9169999999999
"result.38" 0.517815933454994 0.551352362953341 0.552254755108132 3 32.8630000000001
"result.39" 0.828873380966137 0.826304354140058 0.827004589472856 5 36.047
"result.40" 0.633369007901467 0.677969900733665 0.678942953654024 4 35.4570000000001
"result.41" 0.627434893966134 0.667442750882989 0.668447606686599 4 32.989
"result.42" 0.640373105055133 0.687433679835421 0.688378116087735 4 33.8439999999998
"result.43" 0.81518341869352 0.775702153412471 0.776606266216529 5 33.4460000000001
"result.44" 0.604137987671778 0.663272665871281 0.664290621087379 4 34.55
"result.45" 0.777545875579006 0.795051954137823 0.795878958348046 5 36.568
"result.46" 0.51032229477687 0.539818099642929 0.540743659289374 3 37.597
"result.47" 0.636198216751282 0.683543066795453 0.68449925663829 4 34.192
"result.48" 0.803376027013306 0.799958800641546 0.800765403320204 5 37.4870000000001
"result.49" 0.455998134591279 0.507200472266005 0.508192751443881 3 37.4849999999999
"result.50" 0.805969663392801 0.814288985000349 0.81503790086003 5 34.27
