"ARI" "" "" "" ""
"result.1" 0 1 -8098138.74873596 -100807.047210748 16560608.0646144
"result.2" 0 1 -8151458.35143563 -100912.917924472 16667459.0114412
"result.3" 0 1 -8138180.68856392 -100959.241288295 16640996.3324254
"result.4" 0 1 -8136848.09260279 -100798.882420852 16638010.4227683
"result.5" 0 1 -8132182.35100388 -100873.37456551 16628827.9238598
"result.6" 0 1 -8129452.24213515 -100874.881671835 16623370.7203349
"result.7" 0 1 -8102255.47765941 -100924.432467069 16569076.2929739
"result.8" 0 1 -8160212.21069558 -100874.67281576 16684890.2397436
"result.9" 0 1 -8091025.83334364 -100621.430847891 16546011.001104
"result.10" 0 1 -8132720.81766851 -100881.409975505 16629920.928009
"result.11" 0 1 -8163616.00004336 -100825.394853677 16691599.262515
"result.12" 0 1 -8115976.67473293 -101047.518080681 16596764.8583482
"result.13" 0 1 -8119500.13353946 -100746.230318856 16603209.2004376
"result.14" 0 1 -8143593.34250274 -100642.933734254 16651189.025195
"result.15" 0 1 -8122900.24352105 -100942.646067295 16610402.2518977
"result.16" 0 1 -8103307.3057131 -100839.315297917 16571009.714743
"result.17" 0 1 -8110365.67857329 -100651.303911627 16584750.4376908
"result.18" 0 1 -8105377.68507326 -100761.92709829 16574995.6970641
"result.19" 0 1 -8093722.29621601 -100775.920748729 16551712.9066504
"result.20" 0 1 -8130268.9141374 -100734.002021931 16624722.3050396
"result.21" 0 1 -8190702.59942605 -101116.854123315 16746355.3798197
"result.22" 0 1 -8139954.38199499 -100970.999549977 16644567.2358109
"result.23" 0 1 -8125425.64378555 -100717.661690536 16615003.0836731
"result.24" 0 1 -8109105.30041942 -100808.352047077 16582543.777654
"result.25" 0 1 -8100942.91287017 -100611.08609962 16565824.4706605
"result.26" 0 1 -8120804.90962418 -100551.919292508 16605430.1305543
"result.27" 0 1 -8093236.91618327 -100950.397108998 16551091.0993055
"result.28" 0 1 -8075565.29079226 -100917.718127945 16515682.4905614
"result.29" 0 1 -8129779.90387093 -100819.984089721 16623916.2486423
"result.30" 0 1 -8091459.28909124 -100672.034785022 16546979.1204735
"result.31" 0 1 -8148404.74692463 -100807.520144529 16661141.0068593
"result.32" 0 1 -8122984.27480998 -100716.707374824 16610118.4370906
"result.33" 0 1 -8097599.92816607 -100763.315591151 16559442.9602354
"result.34" 0 1 -8133490.21903509 -100647.030575077 16630990.9719413
"result.35" 0 1 -8111414.3650884 -100879.161386905 16587303.5256716
"result.36" 0 1 -8105799.17195824 -100939.27027589 16576193.3571892
"result.37" 0 1 -8147654.06228003 -100882.044361748 16659788.6860045
"result.38" 0 1 -8113391.40642408 -100552.750423856 16590604.7864168
"result.39" 0 1 -8095184.3305679 -100669.687422464 16554424.5087017
"result.40" 0 1 -8148148.90153525 -100998.646051038 16661011.5678935
"result.41" 0 1 -8133506.01808743 -100475.143975483 16630678.7968468
"result.42" 0 1 -8174267.645833 -101000.879545231 16713253.5234774
"result.43" 0 1 -8110553.29619846 -100824.021321051 16585471.10776
"result.44" 0 1 -8095100.24032783 -100788.989154808 16554494.9316862
"result.45" 0 1 -8110263.56571034 -100663.94053755 16584571.4852167
"result.46" 0 1 -8108607.34361862 -100773.543920151 16581478.2477985
"result.47" 0 1 -8098986.78052713 -100822.46745761 16562334.9686904
"result.48" 0 1 -8102857.68614078 -100916.825912013 16570265.4968265
"result.49" 0 1 -8097404.30026834 -100940.168107402 16559405.4094725
"result.50" 0 1 -8105661.30188883 -100831.425208986 16575701.9269166
