"ARI" "" "" "" ""
"result.1" 0.966294330229153 7 -8098282.84215651 -99267.8368251086 16558260.4962187
"result.2" 0.958283825222887 7 -8151615.23718597 -99252.7974926466 16664895.2076127
"result.3" 0.967424941979207 7 -8138290.03054882 -99351.6796224777 16638442.5585981
"result.4" 0.976482832261004 7 -8136914.57143029 -98845.5003661646 16634679.2818484
"result.5" 0.974042528347719 7 -8132350.23677588 -99204.9619251926 16626269.5356576
"result.6" 0.98064573595637 7 -8129411.98007558 -98968.9056765923 16619920.9097598
"result.7" 0.929975374834887 6 -8102534.10357109 -99397.8594328567 16566949.2866743
"result.8" 0.95850340901481 7 -8160374.26395786 -99350.2555575872 16682608.1772864
"result.9" 0.976139891676335 7 -8091172.8113071 -98889.1933032918 16543283.1474763
"result.10" 0.966342416457573 7 -8132862.21502264 -99156.0764235229 16627195.7211478
"result.11" 0.98405113224188 7 -8163746.93886185 -98881.2843266001 16688415.5846324
"result.12" 0.972392717122566 7 -8116010.14304666 -99285.4151794655 16593750.2547077
"result.13" 0.854476139331358 6 -8119727.46025469 -99281.6084000378 16601103.4979758
"result.14" 0.933914238676201 6 -8143885.53556227 -99375.0210255555 16649606.473842
"result.15" 0.924271577310071 7 -8122890.36993312 -99204.6955045134 16607349.2691307
"result.16" 0.970864642577481 7 -8103475.1774299 -99258.6388527434 16568626.7708208
"result.17" 0.978175554457939 7 -8110454.5823983 -98935.0441794744 16581938.391411
"result.18" 0.96234147056952 7 -8105473.09586562 -99016.5287005078 16572138.3873877
"result.19" 0.965135963157733 7 -8093831.03644458 -99149.3684117276 16549119.9479681
"result.20" 0.907012312019943 6 -8130585.32048896 -99357.982854578 16622971.9673535
"result.21" 0.974468744477511 7 -8190843.02719373 -99423.7629238994 16743692.7184907
"result.22" 0.982889983461263 7 -8140044.98809336 -99099.337842359 16641447.7901269
"result.23" 0.977612229978241 7 -8125481.44486764 -98892.3887898745 16611906.8055705
"result.24" 0.970096644561876 7 -8109142.47382609 -99230.9294781156 16579905.9448639
"result.25" 0.97742115555594 7 -8101071.06533782 -99108.1844374928 16563517.6378061
"result.26" 0.972544964748907 7 -8120918.26048317 -98971.8701474055 16602939.3995166
"result.27" 0.974954574147717 7 -8093334.86237211 -99024.9121459712 16547878.6872916
"result.28" 0.920725645017064 6 -8075808.67257611 -99427.8508187313 16513558.4074561
"result.29" 0.953156604738541 7 -8129938.8988951 -99242.6764946482 16621522.289035
"result.30" 0.96471436730015 7 -8091511.81399646 -98945.2260203582 16544073.2182891
"result.31" 0.970531814675485 7 -8148544.40098654 -99189.4538081617 16658626.8478449
"result.32" 0.962924763719367 7 -8123079.25395898 -99022.5286954868 16607362.7035644
"result.33" 0.979554577781622 7 -8097645.72270838 -99161.1964103842 16556772.976493
"result.34" 0.936388951485846 7 -8133546.05435066 -98999.9240670992 16628251.095091
"result.35" 0.977775199973644 7 -8111545.28021272 -99027.3718525463 16584304.442386
"result.36" 0.959822597342025 7 -8105974.08633055 -99286.0199267687 16573679.3507701
"result.37" 0.970722228133221 7 -8147775.98336486 -99057.010133453 16656825.1252521
"result.38" 0.957058559538431 7 -8113502.53369371 -98760.3249909297 16587684.8556247
"result.39" 0.973809527655407 7 -8095288.54418203 -99288.3214462674 16552312.8695121
"result.40" 0.972884801942225 7 -8148215.82833542 -99355.9578282492 16658302.7105828
"result.41" 0.975047138559905 7 -8133627.92725252 -98805.9520960187 16628026.8969525
"result.42" 0.949085649563568 7 -8174378.32993257 -99323.0635371663 16710561.9251949
"result.43" 0.983790761946416 7 -8110690.70033505 -99185.1122544333 16582910.7634344
"result.44" 0.973276484917914 7 -8095185.79273363 -99166.376306169 16551863.476335
"result.45" 0.972233036496337 7 -8110384.15710181 -98984.7195661322 16581896.8915913
"result.46" 0.955221300856876 7 -8108667.50059452 -99199.4025253656 16578892.9444952
"result.47" 0.980603131922657 7 -8099071.32212735 -99171.3211392739 16559644.4247887
"result.48" 0.939879477369172 7 -8102929.30498083 -99495.9053085894 16568009.5588343
"result.49" 0.96357260390663 7 -8097582.08825466 -99117.4631133777 16556558.2409915
"result.50" 0.973521572257371 7 -8105759.21897292 -99030.2599686461 16572738.0961386
