"ARI" "" "" "elapsed"
"result.1" 0.307985149361867 0.287072901194434 0.291297127129274 15.448
"result.2" 0.324800362961104 0.308553792856301 0.312635094617112 12.596
"result.3" 0.272104726369081 0.272815822536807 0.277945619314688 13.12
"result.4" 0.348553088071145 0.334649390044959 0.338561296630749 12.841
"result.5" 0.258955469192877 0.253061739907983 0.258875667290741 12.519
"result.6" 0.352154878335161 0.327682517975564 0.331678918907018 12.579
"result.7" 0.285004631238845 0.273970153420577 0.27869655324877 12.645
"result.8" 0.32221965694129 0.299298648954102 0.303956126721881 12.39
"result.9" 0.345339695515757 0.32877235048756 0.332721691252917 12.458
"result.10" 0.301338960510925 0.289012641957278 0.293649239602155 12.546
"result.11" 0.364824974299818 0.351256289711762 0.355080341813557 12.711
"result.12" 0.307312926008745 0.297432035183925 0.301618338040594 12.618
"result.13" 0.289960775396257 0.277125862832331 0.281396967040065 12.401
"result.14" 0.302074715927453 0.295419960599216 0.299599297925032 12.196
"result.15" 0.380935795009722 0.35990615729977 0.363690531159142 12.271
"result.16" 0.297389500923334 0.296633324385512 0.301232672699662 12.66
"result.17" 0.282864925756565 0.275620876220717 0.280311254943727 12.422
"result.18" 0.301205148738222 0.303516617202281 0.307996918224027 12.502
"result.19" 0.304070950081619 0.28059061080998 0.285377444047265 12.242
"result.20" 0.298380784149571 0.28985770734758 0.294500162296118 12.611
"result.21" 0.333374046091999 0.324949278332304 0.328929535493516 12.262
"result.22" 0.311484750578614 0.307829742559784 0.311904154640761 12.42
"result.23" 0.347580516325054 0.338923750672306 0.342815812488486 12.472
"result.24" 0.313132983530477 0.308101959088868 0.312640149337046 12.576
"result.25" 0.354159999718921 0.350711568660865 0.354540261984848 12.207
"result.26" 0.31005038406755 0.292519533140877 0.29731015773495 12.18
"result.27" 0.347372390406223 0.338752087972804 0.342656179455836 12.164
"result.28" 0.284103121733677 0.271153859930388 0.275916040301247 12.167
"result.29" 0.307416787033798 0.298572065471066 0.302699070392019 12.365
"result.30" 0.338922362800648 0.318270847209309 0.322297468142097 12.28
"result.31" 0.323460578456551 0.310930228339443 0.31500408558449 12.53
"result.32" 0.311616510834734 0.296284695943232 0.300914827566295 12.201
"result.33" 0.375410261593009 0.350506988047786 0.354365126601226 12.108
"result.34" 0.349474060492559 0.321783939868815 0.32589007079993 12.623
"result.35" 0.320294410939873 0.278902137650504 0.284131301048661 12.198
"result.36" 0.26927473264249 0.256350068614248 0.261673820740757 12.606
"result.37" 0.359047036396176 0.325897116028392 0.330316075394449 12.193
"result.38" 0.355703773107388 0.335914892890013 0.339263583095952 12.176
"result.39" 0.287948985631335 0.268724953281821 0.274026385126428 12.257
"result.40" 0.301562663099255 0.293660786680453 0.297837095019898 12.498
"result.41" 0.306538862603145 0.294353795236663 0.298534126739633 12.544
"result.42" 0.311515193395352 0.310034138212109 0.314074465169703 12.227
"result.43" 0.269923895402346 0.266457444833882 0.271245084881996 12.923
"result.44" 0.361592943884488 0.33721376017996 0.34200008523636 12.207
"result.45" 0.283495103365517 0.281757159549542 0.286417422472433 12.2520000000001
"result.46" 0.296727765944143 0.295011161213933 0.299184652331358 12.218
"result.47" 0.315893935622039 0.299654168767862 0.30428769739976 12.4280000000001
"result.48" 0.284042409702893 0.281240900891684 0.28628257613481 12.235
"result.49" 0.343574396765812 0.314922083277351 0.320062036219533 12.366
"result.50" 0.369315444927776 0.355266533451023 0.359091809318052 12.001
