"ARI" "" "" "" "" "" ""
"result.1" 0.966294330229153 0.953248035979117 0.953531740203035 7 -8098282.84215651 -99267.8368251086 16558260.4962187
"result.2" 0.958283825222887 0.945298820705747 0.94563079253943 7 -8151615.23718597 -99252.7974926466 16664895.2076127
"result.3" 0.967424941979207 0.954890420456738 0.955164202976664 7 -8138290.03054882 -99351.6796224777 16638442.5585981
"result.4" 0.976482832261004 0.962941087692726 0.963166006682889 7 -8136914.57143029 -98845.5003661646 16634679.2818484
"result.5" 0.974042528347719 0.961264098744039 0.961499162379411 7 -8132350.23677588 -99204.9619251926 16626269.5356576
"result.6" 0.98064573595637 0.974580366690401 0.974734545752982 7 -8129411.98007558 -98968.9056765923 16619920.9097598
"result.7" 0.929975374834887 0.904568629713627 0.905050021262939 6 -8102534.10357109 -99397.8594328567 16566949.2866743
"result.8" 0.95850340901481 0.950270793839824 0.950572723261976 7 -8160374.26395786 -99350.2555575872 16682608.1772864
"result.9" 0.976139891676335 0.9656333754434 0.965841906723583 7 -8091172.8113071 -98889.1933032918 16543283.1474763
"result.10" 0.966342416457573 0.948436444111159 0.948749418906635 7 -8132862.21502264 -99156.0764235229 16627195.7211478
"result.11" 0.98405113224188 0.975534299065152 0.975682618575826 7 -8163746.93886185 -98881.2843266001 16688415.5846324
"result.12" 0.972392717122566 0.959801653592662 0.960045553955266 7 -8116010.14304666 -99285.4151794655 16593750.2547077
"result.13" 0.854476139331358 0.855755974050693 0.856484334792085 6 -8119727.46025469 -99281.6084000378 16601103.4979758
"result.14" 0.933914238676201 0.906321541672782 0.906794086402906 6 -8143885.53556227 -99375.0210255555 16649606.473842
"result.15" 0.924271577310071 0.91374946610259 0.91427384055499 7 -8122890.36993312 -99204.6955045134 16607349.2691307
"result.16" 0.970864642577481 0.959479791799543 0.959725673249279 7 -8103475.1774299 -99258.6388527434 16568626.7708208
"result.17" 0.978175554457939 0.967907062758428 0.968101810928509 7 -8110454.5823983 -98935.0441794744 16581938.391411
"result.18" 0.96234147056952 0.944873773829 0.945208396856552 7 -8105473.09586562 -99016.5287005078 16572138.3873877
"result.19" 0.965135963157733 0.954800896824598 0.955075236994816 7 -8093831.03644458 -99149.3684117276 16549119.9479681
"result.20" 0.907012312019943 0.884312853196902 0.88489675068452 6 -8130585.32048896 -99357.982854578 16622971.9673535
"result.21" 0.974468744477511 0.960463202779795 0.960703117018855 7 -8190843.02719373 -99423.7629238994 16743692.7184907
"result.22" 0.982889983461263 0.974948728316191 0.975100733842516 7 -8140044.98809336 -99099.337842359 16641447.7901269
"result.23" 0.977612229978241 0.966096669090436 0.966302399648068 7 -8125481.44486764 -98892.3887898745 16611906.8055705
"result.24" 0.970096644561876 0.960057050791716 0.960299425952354 7 -8109142.47382609 -99230.9294781156 16579905.9448639
"result.25" 0.97742115555594 0.965683538675597 0.965891779059329 7 -8101071.06533782 -99108.1844374928 16563517.6378061
"result.26" 0.972544964748907 0.961164561166343 0.961400234685643 7 -8120918.26048317 -98971.8701474055 16602939.3995166
"result.27" 0.974954574147717 0.96548039479888 0.965689861873359 7 -8093334.86237211 -99024.9121459712 16547878.6872916
"result.28" 0.920725645017064 0.895916378535338 0.896441663902685 6 -8075808.67257611 -99427.8508187313 16513558.4074561
"result.29" 0.953156604738541 0.937885195323276 0.938262382112163 7 -8129938.8988951 -99242.6764946482 16621522.289035
"result.30" 0.96471436730015 0.954566142195469 0.95484188720713 7 -8091511.81399646 -98945.2260203582 16544073.2182891
"result.31" 0.970531814675485 0.960672031685941 0.960910713382627 7 -8148544.40098654 -99189.4538081617 16658626.8478449
"result.32" 0.962924763719367 0.946235732372769 0.946562041823605 7 -8123079.25395898 -99022.5286954868 16607362.7035644
"result.33" 0.979554577781622 0.967354916474722 0.967553008438063 7 -8097645.72270838 -99161.1964103842 16556772.976493
"result.34" 0.936388951485846 0.923991381859938 0.924453222081075 7 -8133546.05435066 -98999.9240670992 16628251.095091
"result.35" 0.977775199973644 0.965998832791185 0.966205156425007 7 -8111545.28021272 -99027.3718525463 16584304.442386
"result.36" 0.959822597342025 0.94416568338339 0.944504731797511 7 -8105974.08633055 -99286.0199267687 16573679.3507701
"result.37" 0.970722228133221 0.960984974672886 0.961221728976327 7 -8147775.98336486 -99057.010133453 16656825.1252521
"result.38" 0.957058559538431 0.939557037814062 0.939924179963535 7 -8113502.53369371 -98760.3249909297 16587684.8556247
"result.39" 0.973809527655407 0.963311710800499 0.963534370439624 7 -8095288.54418203 -99288.3214462674 16552312.8695121
"result.40" 0.972884801942225 0.964211339254714 0.964428523158929 7 -8148215.82833542 -99355.9578282492 16658302.7105828
"result.41" 0.975047138559905 0.964703054170119 0.964917234561214 7 -8133627.92725252 -98805.9520960187 16628026.8969525
"result.42" 0.949085649563568 0.935804187469623 0.936193984021432 7 -8174378.32993257 -99323.0635371663 16710561.9251949
"result.43" 0.983790761946416 0.974354187719135 0.974509814108209 7 -8110690.70033505 -99185.1122544333 16582910.7634344
"result.44" 0.973276484917914 0.957960133665506 0.958215287134934 7 -8095185.79273363 -99166.376306169 16551863.476335
"result.45" 0.972233036496337 0.962425011154432 0.962653025648275 7 -8110384.15710181 -98984.7195661322 16581896.8915913
