"ARI" "" "" "" "elapsed"
"result.1" 0.798585888142566 0.74903140463743 0.750043102040499 5 28.064
"result.2" 0.657835142925477 0.664371301825943 0.665385194692441 4 26.696
"result.3" 0.8542277920897 0.804701533030132 0.805686876889184 6 26.994
"result.4" 0.866646272631278 0.826174240132317 0.827051351689646 6 27.546
"result.5" 0.79404798296603 0.779405466072177 0.7802947863381 5 25.786
"result.6" 0.751774707214589 0.719331231838587 0.720463356489267 5 24.992
"result.7" 0.777011151313857 0.721363809583284 0.722486921143152 5 27.018
"result.8" 0.758791026866608 0.697175004671575 0.698395494060394 5 24.961
"result.9" 0.767298277914945 0.719211938888871 0.720343783438109 5 27.775
"result.10" 0.66611915418462 0.647923933318374 0.648987033614649 4 28.485
"result.11" 0.765507508735238 0.73670981695899 0.737771334527296 5 25.762
"result.12" 0.891938794386216 0.864219862731837 0.864904764676657 6 26.387
"result.13" 0.72893419437825 0.691130642026709 0.692375778763149 5 25.729
"result.14" 0.792312221167543 0.760145927674003 0.761112792517992 5 26.825
"result.15" 0.887466180750436 0.844239243688193 0.84502489265176 6 26.266
"result.16" 0.80997403563762 0.778484813894835 0.779377707471937 5 26.751
"result.17" 0.643406006703953 0.605677334189701 0.606867891815623 4 24.467
"result.18" 0.723961446758427 0.720106349152168 0.721235861069083 5 28.49
"result.19" 0.8815721652369 0.84420325973749 0.844989442740847 6 26.514
"result.20" 0.734988705428388 0.710736210992931 0.711903028307291 5 25.1559999999999
"result.21" 0.798626075846737 0.77650186572684 0.777402875506774 5 29.069
"result.22" 0.923350076645384 0.892960872290342 0.893500792318419 6 26.6360000000001
"result.23" 0.62147175235011 0.659696523535207 0.660724715452339 4 27.606
"result.24" 0.550154643840081 0.600039084030202 0.601247873875483 4 25.1410000000001
"result.25" 0.801314953205675 0.740552675835056 0.741598340990156 5 25.5700000000001
"result.26" 0.737446880249031 0.70232617058026 0.703526431656723 5 25.862
"result.27" 0.742931506199647 0.728453241045102 0.7295480141905 5 25.956
"result.28" 0.721708828564756 0.689487911586356 0.690740775803089 5 27.9590000000001
"result.29" 0.745107561427719 0.676072588325108 0.677378341353556 5 25.942
"result.30" 0.884311352060222 0.845010584957333 0.845792383286306 6 25.1519999999999
"result.31" 0.817984264633923 0.789550511892076 0.790398828424977 5 25.842
"result.32" 0.798599084250697 0.753154155017256 0.754149125446903 5 25.29
"result.33" 0.889023966974082 0.850929254460598 0.851681164680305 6 25.841
"result.34" 0.89944493033733 0.860862614800096 0.861564727711197 6 25.968
"result.35" 0.830655046701305 0.817510595328581 0.818432678228968 6 28.2719999999999
"result.36" 0.596919304317557 0.550956975472721 0.552313192496442 4 26.426
"result.37" 0.855275704943867 0.80794146868422 0.808910281080897 6 24.9760000000001
"result.38" 0.757804992452291 0.729284042452277 0.730375735291027 5 25.2750000000001
"result.39" 0.786456064837645 0.769891349962583 0.770819071350467 5 25.4159999999999
"result.40" 0.887578829333888 0.851662409924111 0.852410669280287 6 27.0079999999998
"result.41" 0.731817123375371 0.710440467828704 0.711608075241697 5 25.3320000000001
"result.42" 0.761960471618188 0.745475475153394 0.746501633888173 5 25.712
"result.43" 0.85950660180572 0.83095435221974 0.831808489581757 6 26.4649999999999
"result.44" 0.789679388981592 0.742443469234764 0.743481692517882 5 25.9180000000001
"result.45" 0.759005518389618 0.731176250303104 0.73226000943966 5 26.0569999999998
"result.46" 0.749297348537865 0.700119766421824 0.701328876186961 5 27.9859999999999
"result.47" 0.797981825420842 0.744284482192094 0.745315103758104 5 26.4349999999999
"result.48" 0.735597171294012 0.673906508532609 0.675221192757984 5 26.192
"result.49" 0.773831864146739 0.728712715668907 0.729806070039459 5 25.5439999999999
"result.50" 0.777483808065783 0.754261121652529 0.755251803351455 5 26.105
