"ARI" "" "" "" "" "" ""
"result.1" 0.898448147153088 0.865010147064237 0.865519169159186 5 -8134356.44486936 -99390.795945405 16630432.2871177
"result.2" 0.96109586727626 0.939553810096091 0.939780244840167 5 -8087519.43808378 -98957.3189149885 16535965.0970748
"result.3" 0.94243942632627 0.910545429262533 0.910880760691783 5 -8147772.529875 -99380.2771530321 16657317.1971334
"result.4" 0.638616977619937 0.611329868000913 0.612054563022451 3 -8120239.95227312 -99503.6041201976 16602351.1406858
"result.5" 0.926605157170153 0.892276976096762 0.892681304166127 5 -8142232.05222675 -99145.5764502751 16645766.8404314
"result.6" 0.950880633971772 0.916300602032867 0.916614289938814 5 -8100387.72703756 -99161.7969605518 16562110.6310735
"result.7" 0.630707897364728 0.60463976388845 0.605376890371127 3 -8094548.90314322 -99926.5604128045 16551814.9550112
"result.8" 0.96541801489849 0.934950779612053 0.935194538562711 5 -8136958.87221099 -99067.4275449712 16635064.1825892
"result.9" 0.960963473144563 0.936160186492663 0.936399421178672 5 -8099867.20424363 -99096.8031657776 16560939.5978961
"result.10" 0.798243034874845 0.764677970762998 0.765337935537764 4 -8106757.61177041 -99408.639440246 16575270.3079095
"result.11" 0.94746652247196 0.921206165957068 0.921501610325947 5 -8109945.91232845 -98999.7646819676 16580902.9370981
"result.12" 0.810522700595818 0.778398950300858 0.779020233935884 4 -8106959.94366539 -99966.204472456 16576716.3241748
"result.13" 0.806442666424229 0.772270527656344 0.772909034325615 4 -8129548.53935795 -99319.8925987059 16620674.6694015
"result.14" 0.635809175297477 0.61212496322824 0.612848139980106 3 -8127396.6557896 -99586.5334005385 16616830.4062794
"result.15" 0.96661599566192 0.939779542738659 0.94000516446306 5 -8089992.36956316 -99103.3036907216 16541202.9295851
"result.16" 0.976916274854252 0.955475194456999 0.955641932305976 5 -8111755.96032721 -99054.7468860071 16584632.9975037
"result.17" 0.917871621743802 0.888327603713557 0.888746385599275 5 -8095407.11562703 -99352.6560952787 16552531.1265219
"result.18" 0.820576947081921 0.789133635297584 0.789724748974746 4 -8136743.76307554 -99359.534389899 16635144.4004191
"result.19" 0.649257154377606 0.628793904697548 0.629485946380478 3 -8117169.19810289 -99458.4664804292 16596119.3570658
"result.20" 0.942837228006392 0.911468594577389 0.911800645233589 5 -8136739.123889 -99162.8678815477 16634815.5666184
"result.21" 0.930847860581374 0.892533729518383 0.892936868181426 5 -8175053.85018193 -99192.1302977521 16711503.5440367
"result.22" 0.802607229057494 0.769062724530702 0.769710324501381 4 -8100435.62846014 -99446.3493835991 16562701.7611757
"result.23" 0.782716384530725 0.743247373319792 0.743967542867165 4 -8146765.1428137 -99560.2887334001 16655588.6685824
"result.24" 0.784330291383706 0.745805705013269 0.746518769846413 4 -8110037.78795577 -99457.3261326336 16581928.033665
"result.25" 0.927156502900504 0.897319793549501 0.897705191046839 5 -8106968.89774343 -98915.2325453942 16574779.8436549
"result.26" 0.938422328388883 0.911095892439208 0.911429144851147 5 -8144274.02543692 -99155.5837970903 16649870.8015453
"result.27" 0.950386118104878 0.919616922023002 0.919918147519223 5 -8154141.74713468 -99034.7693348583 16669364.6160164
"result.28" 0.553386307905158 0.524822371953273 0.525709178933836 3 -8124264.967343 -100011.8448752 16611417.6523355
"result.29" 0.935075968980752 0.908526710673565 0.908870124439544 5 -8101816.42972824 -99047.2088797678 16564738.8602933
"result.30" 0.972133621430677 0.947030709710342 0.947229103243946 5 -8136324.12639352 -99097.0227998116 16633853.881464
