"ARI" "" "" "" "elapsed"
"result.1" 0.934419552974076 0.858672398868715 0.85906763120792 4 27.34
"result.2" 0.946469849120478 0.879115592000786 0.879453651391472 4 27.578
"result.3" 0.939199881559916 0.863325646005556 0.863707898024262 4 26.832
"result.4" 0.931879625990056 0.853569330437021 0.853978867124991 4 26.871
"result.5" 0.938909622201588 0.869611715314376 0.869976353643183 4 25.565
"result.6" 0.938199253551038 0.85873280367701 0.859127910233967 4 27.5
"result.7" 0.93382315883263 0.851703794756643 0.852118544033823 4 27.057
"result.8" 0.925546380516556 0.847627438091768 0.848053566243768 4 26.98
"result.9" 0.918543491595618 0.825381703787489 0.825870060023404 4 27.831
"result.10" 0.931725078633089 0.865803719345825 0.866178994709253 4 27.305
"result.11" 0.844657203768202 0.70004831788227 0.700606420472083 3 26.969
"result.12" 0.886025884066888 0.782730960297422 0.78333873991327 4 27.876
"result.13" 0.910103525171299 0.823223906275643 0.82371826328596 4 27.109
"result.14" 0.938947684176226 0.855240514108345 0.855645387376487 4 26.97
"result.15" 0.929372726140788 0.842122096851945 0.842563690383059 4 26.298
"result.16" 0.950415606123504 0.880684646553935 0.881018356223948 4 26.188
"result.17" 0.940396181768546 0.858573076900012 0.858968613534714 4 26.938
"result.18" 0.835591895695544 0.674046497099804 0.674652965244418 3 27.837
"result.19" 0.832620354365291 0.697414598729453 0.697977631291353 3 27.338
"result.20" 0.921722450121788 0.83275321264795 0.833220933132906 4 25.9509999999999
"result.21" 0.898209333920895 0.782525091621596 0.783133384786018 4 27.2959999999999
"result.22" 0.927388191265452 0.831451481361894 0.831922900723462 4 27.088
"result.23" 0.932773952307967 0.843590394809708 0.844027849987128 4 26.004
"result.24" 0.946794740893764 0.867127365953855 0.867498997379879 4 26.486
"result.25" 0.927499793261019 0.847819372783597 0.848244979719897 4 27.649
"result.26" 0.753215364820901 0.583684267983635 0.584459460605572 3 26.34
"result.27" 0.846713677924488 0.715705660451168 0.716234659150177 3 28.068
"result.28" 0.919274452439381 0.823314407350246 0.823808552092252 4 27.487
"result.29" 0.924881841764125 0.833058598542669 0.833525453595508 4 26.926
"result.30" 0.930681199818972 0.844253580048073 0.84468916923813 4 26.2670000000001
