"ARI" "" "" "" "" "" ""
"result.1" 0.96702039588008 0.942645580292036 0.942860507506957 5 -8151790.48958659 -99164.2847962213 16664921.1318429
"result.2" 0.965091966143709 0.942432016038564 0.942647642654048 5 -8135392.15726061 -99094.6299941204 16631985.1575868
"result.3" 0.94429973423258 0.913629538953427 0.913953135804117 5 -8102339.98682715 -99339.918403768 16566371.3935391
"result.4" 0.962175592897186 0.935685129472762 0.935926086056453 5 -8123728.23558153 -98902.7607454041 16608273.5757312
"result.5" 0.823194031825335 0.793290460708781 0.793869839390292 4 -8169836.76737109 -99735.3851828889 16702082.1105962
"result.6" 0.902223208374747 0.864968020383317 0.865475597531075 5 -8147012.51086044 -99011.3073471596 16655059.2194925
"result.7" 0.953001272849739 0.926441645172046 0.92671732893758 5 -8115866.55282847 -99031.9194467687 16592808.5276278
"result.8" 0.897664814446276 0.856551754082913 0.857090615846895 5 -8103060.26434786 -99023.7442163451 16567179.6002057
"result.9" 0.96921749708179 0.937493514767223 0.937727632950194 5 -8154787.21032458 -98867.8616698197 16670321.7270661
"result.10" 0.95169188167101 0.923344962395948 0.923632241931654 5 -8120719.51099903 -99189.142028535 16602828.8891324
"result.11" 0.965106871425205 0.940746192767763 0.940968146761677 5 -8106920.18580839 -99001.326908178 16574854.6085104
"result.12" 0.948416794713082 0.919010417597532 0.919313956635387 5 -8105283.05364716 -99114.4886622007 16571806.667696
"result.13" 0.969650942625314 0.944432193685229 0.944640354694054 5 -8119906.25708826 -98999.5604639923 16600823.2181818
"result.14" 0.792658170132851 0.756172436347562 0.756856090574512 4 -8123944.24220318 -99275.4572678004 16609377.2044302
"result.15" 0.973079933160385 0.950333693917892 0.950519729456049 5 -8136481.62312975 -99176.1527430855 16634327.134823
"result.16" 0.930982412778031 0.894329660719277 0.894725868422046 5 -8102122.02783875 -99278.9364026682 16565813.5115601
"result.17" 0.930506195360617 0.890821279333926 0.891230610831173 5 -8169139.07401792 -98970.228049193 16699230.1872115
"result.18" 0.816133921298886 0.776526861310829 0.777153346334521 4 -8156133.52197208 -99258.2820206484 16673721.4134737
"result.19" 0.964018079578511 0.932974505826573 0.933225612097503 5 -8116166.95335679 -99147.1302573437 16593639.7503056
"result.20" 0.965507358819845 0.937265262550142 0.9375002372434 5 -8109533.00160863 -99072.9445410138 16580223.4753766
"result.21" 0.623175761485998 0.595800615134332 0.596554360856541 3 -8129968.67377265 -99893.3902163973 16622588.1558772
"result.22" 0.948568443799577 0.918506900348013 0.918812385229989 5 -8123924.13608718 -99336.7959414075 16609533.4471345
"result.23" 0.931681212289893 0.897672344076392 0.898055982383403 5 -8130601.23838291 -99431.7150137425 16623077.4898706
"result.24" 0.96221006612437 0.939033704836389 0.939262123043471 5 -8144599.04501232 -99238.4921959467 16650686.6574938
"result.25" 0.793842205277149 0.7639909691408 0.764653118070849 4 -8067259.19639081 -99361.6438089368 16496179.4858877
"result.26" 0.655142401871674 0.633048008311649 0.633732108572729 3 -8136331.95349373 -99675.7403024697 16634879.4154915
"result.27" 0.963809675044163 0.938400944723406 0.938631745021502 5 -8119190.53741227 -98966.6260260001 16599325.9099538
"result.28" 0.982107209216485 0.965669485711889 0.965798042648288 5 -8095596.90337927 -99161.6186678601 16552528.6271716
"result.29" 0.787688166280277 0.752090296080851 0.752785734031199 4 -8163929.5033933 -99241.6523251187 16689280.1169251
"result.30" 0.797222018660768 0.761141931839042 0.761811581925019 4 -8121064.69070595 -99097.7383167993 16603262.6635337
