"ARI" "" "" "" "" "" ""
"result.1" 0 0 0 1 -8098176.80493708 -100451.461799145 16559973.0061934
"result.2" 0 0 0 1 -8151425.75068808 -100590.567175144 16666749.1084474
"result.3" 0 0 0 1 -8138128.13793165 -100911.032312783 16640794.8132098
"result.4" 0 0 0 1 -8136752.50931707 -100510.392731558 16637242.2768182
"result.5" 0.600204332874987 0.566188645389262 0.56699764464161 3 -8132447.66617944 -99834.9545693493 16627429.2693967
"result.6" 0 0 0 1 -8129313.52691271 -100499.917609321 16622343.361765
"result.7" 0 0 0 1 -8102283.69695767 -100843.132399401 16568970.1314351
"result.8" 0 0 0 1 -8160203.93929335 -100691.303311354 16684506.9579304
"result.9" 0.298089192838204 0.286278812358506 0.286943598651788 2 -8091304.03221192 -99939.6117805206 16545277.5382949
"result.10" 0.894953254728491 0.834918900261478 0.835538065721646 5 -8132893.82205263 -99144.9213899358 16627089.0699624
"result.11" 0.576143343413112 0.542775844206419 0.543628603440471 3 -8163783.92128941 -99488.5193779922 16689408.9092339
"result.12" 0 0 0 1 -8115996.31018563 -100747.322715591 16596203.7385234
"result.13" 0.596710288957376 0.565225156739426 0.566035917494845 3 -8119635.99540031 -99544.9616735797 16601225.9420469
"result.14" 0 0 0 1 -8143557.480798 -100721.742667467 16651274.9196519
"result.15" 0 0 0 1 -8122756.55100467 -100532.697334997 16609294.9694003
"result.16" 0 0 0 1 -8103469.74925361 -100780.312598593 16571216.5964254
"result.17" 0 0 0 1 -8110376.85655394 -100590.591535385 16584651.3688996
"result.18" 0 0 0 1 -8105289.27973422 -100524.057043172 16574343.1462758
"result.19" 0 0 0 1 -8093696.42125546 -100515.273689158 16551139.8626102
"result.20" 0.340109312033818 0.329967526041039 0.330591361572891 2 -8130512.14885039 -99976.4375601917 16623767.4231312
"result.21" 0 0 0 1 -8190718.37011846 -100714.113783257 16745581.4405244
"result.22" 0 0 0 1 -8139997.66283913 -100645.091444252 16644001.9812877
"result.23" 0.931112038772487 0.872127703221665 0.872606977825633 5 -8125448.87483654 -98857.815834555 16611624.9644195
"result.24" 0.589564669830867 0.551735251704717 0.552571323901713 3 -8109158.46210666 -99699.401667336 16580579.7554471
"result.25" 0.346794472571239 0.33862547577028 0.339241231219476 2 -8101345.63722801 -99948.0816439442 16565377.688054
"result.26" 0 0 0 1 -8120813.9789903 -100426.290891822 16605197.0124852
"result.27" 0 0 0 1 -8093271.90195431 -100611.597242654 16550483.4711149
"result.28" 0 0 0 1 -8075570.48655612 -100662.188907409 16515181.823648
"result.29" 0 0 0 1 -8129781.96947716 -100750.080071377 16623780.571818
"result.30" 0 0 0 1 -8091316.69152004 -100516.763366315 16546383.3824937
