"ARI" "" "" "" "elapsed"
"result.1" 0 0 0 1 128.591
"result.2" 0 0 0 1 134.672
"result.3" 0 0 0 1 128.66
"result.4" 0 0 0 1 119.897
"result.5" 0 0 0 1 122.002
"result.6" 0.56475718184727 0.404040089084978 0.404593642264402 2 122.287
"result.7" 0 0 0 1 127.523
"result.8" 0 0 0 1 134.662
"result.9" 0 0 0 1 106.026
"result.10" 0 0 0 1 133.491
"result.11" 0 0 0 1 126.782
"result.12" 0 0 0 1 130.102
"result.13" 0 0 0 1 125.803
"result.14" 0 0 0 1 125.69
"result.15" 0 0 0 1 121.103
"result.16" 0 0 0 1 115.304
"result.17" 0 0 0 1 117.979
"result.18" 0 0 0 1 120.488
"result.19" 0 0 0 1 121.748
"result.20" 0 0 0 1 134.975
"result.21" 0 0 0 1 122.165
"result.22" 0 0 0 1 110.659
"result.23" 0 0 0 1 117.317
"result.24" 0 0 0 1 127.3
"result.25" 0 0 0 1 131.135
"result.26" 0 0 0 1 125.243
"result.27" 0 0 0 1 104.339
"result.28" 0 0 0 1 98.8440000000001
"result.29" 0 0 0 1 107.441
"result.30" 0 0 0 1 98.0219999999999
