"ARI" "" "" "" "" "" ""
"result.1" 0.795387204077543 0.757457734180672 0.758137660939937 4 -8103987.20137547 -99300.7920310949 16569513.7923013
"result.2" 0.967192086578161 0.941420047477591 0.941639511518864 5 -8095217.11910812 -98850.6316141549 16551147.0845218
"result.3" 0.617390606745287 0.587988644056443 0.588757078016355 3 -8111974.4025791 -99432.2058032138 16585677.2446638
"result.4" 0.637237957706572 0.60790725301619 0.608638338986498 3 -8142737.34556683 -99257.7903092828 16646854.2996513
"result.5" 0.950583519297681 0.913622105065789 0.913945799584891 5 -8096712.09475075 -99083.4345873629 16554602.6417535
"result.6" 0.57404086507926 0.54421174657171 0.545062055208779 3 -8174136.92652022 -99748.0796034578 16710634.0401465
"result.7" 0.649530813343284 0.625466352742425 0.626164592508815 3 -8099075.71607165 -99550.6316705755 16560116.7233836
"result.8" 0.963265306478808 0.935034534495544 0.935277934719995 5 -8095264.50764273 -99140.7846986721 16551822.1677601
"result.9" 0.613118423333742 0.584505721483876 0.585280536074492 3 -8110359.4380457 -99604.6235960102 16582792.1511826
"result.10" 0.34310621774203 0.33477263122143 0.335391992947217 2 -8144303.26164717 -100091.899082171 16651580.5717687
"result.11" 0.635914293536455 0.60862306419374 0.609352774669243 3 -8140140.530909 -99689.2020616516 16642523.4938404
"result.12" 0.330361123571876 0.32192483972928 0.322556235957644 2 -8111843.08639595 -100121.293659505 16586719.010421
"result.13" 0.820594138997281 0.782882003873558 0.783490634916816 4 -8120790.1910619 -99395.0975119132 16603308.3826358
"result.14" 0.635273440610707 0.607522458170135 0.608254215095307 3 -8097367.66892559 -99631.4598906046 16556862.2855315
"result.15" 0.930151958131469 0.89124066118438 0.891648264939099 5 -8095616.0359237 -99282.6467815573 16552808.9484878
"result.16" 0.608471833388494 0.579490965734286 0.580275060262509 3 -8124856.03290141 -99776.2133402756 16612128.5203825
"result.17" 0.820915719553888 0.774517332431442 0.775149401017845 4 -8123810.84048817 -99308.8117537531 16609177.1099721
"result.18" 0.636375978290507 0.609094232498637 0.60982308283675 3 -8081636.44396247 -99745.8890530168 16525628.6939301
"result.19" 0.907863902814751 0.866350015273546 0.86685162233096 5 -8129915.1497396 -98931.2430378457 16620704.3686322
"result.20" 0.643555434252934 0.621113122209198 0.621819469189355 3 -8108201.81938175 -99852.6071247196 16578972.8809121
"result.21" 0.799709908076678 0.760908798685865 0.761579608732364 4 -8126303.13372302 -99630.9022898769 16614805.877514
"result.22" 0.64449735113864 0.617564203337064 0.618277214108081 3 -8094880.19240302 -99721.7231130353 16552067.8589312
"result.23" 0.947403427146595 0.905090995226799 0.905446664516185 5 -8110468.40240494 -99183.6197131251 16582315.6273134
"result.24" 0.950016631018887 0.916749685039968 0.917061953408001 5 -8115593.05344338 -99177.5851453502 16592552.8602548
"result.25" 0.601235299637524 0.568960704594117 0.569764479095958 3 -8093087.8750151 -99591.1927463933 16548222.1634221
"result.26" 0.960774734046727 0.928808541622281 0.929075230374545 5 -8150174.72072249 -98833.7984214785 16661028.6213652
"result.27" 0.949573513886252 0.92437833577675 0.924661666014232 5 -8135032.33863563 -99387.3423096809 16631850.9449679
"result.28" 0.820460257788862 0.786083964984602 0.7866836121135 4 -8068075.98962409 -99343.0105512883 16497775.805839
"result.29" 0.642983331538573 0.619136700777782 0.619846776235521 3 -8126613.72069845 -99720.4734527965 16615532.4162016
"result.30" 0.614811394011673 0.580261150687535 0.58104398447137 3 -8104088.0153972 -99863.8413235806 16570767.7413407
