"ARI" "" "" "" "" "" ""
"result.1" 0 0 0 1 -8109084.7596667 -100480.378668462 16581846.7493913
"result.2" 0 0 0 1 -8101752.9920793 -100760.237371376 16567742.9316223
"result.3" 0 0 0 1 -8070989.80671901 -100497.088236156 16505690.2626313
"result.4" 0 0 0 1 -8107965.59323913 -100524.49763359 16579696.6544664
"result.5" 0 0 0 1 -8065152.45929277 -100818.686378914 16494658.7640643
"result.6" 0 0 0 1 -8158828.4995682 -100941.200233765 16682255.8723249
"result.7" 0 0 0 1 -8157977.75432915 -100737.198989148 16680146.3793576
"result.8" 0 0 0 1 -8076743.96567529 -100409.818047446 16517024.0401664
"result.9" 0.374699028771747 0.316379251592048 0.318103790683945 4 -8077727.21717938 -99705.7434233262 16517656.1715155
"result.10" 0 0 0 1 -8121749.21454886 -100610.298157499 16607435.4981337
"result.11" 0 0 0 1 -8136433.79045065 -100515.941125183 16636615.9358726
"result.12" 0 0 0 1 -8043586.17884269 -100699.998593889 16451288.8275941
"result.13" 0 0 0 1 -8127531.0044141 -100685.582538938 16619149.6466271
"result.14" 0 0 0 1 -8117594.30879837 -100498.352877454 16598901.7960726
"result.15" 0.793093747323252 0.666733649202484 0.667988367216828 5 -8094008.37632991 -98774.2834629371 16548576.902663
"result.16" 0 0 0 1 -8108882.02912119 -100359.023765379 16581198.5784941
"result.17" 0.737321749628445 0.605080352261556 0.606569666432901 5 -8133961.47659824 -98855.3067416141 16628645.149757
"result.18" 0 0 0 1 -8083946.40228315 -100763.440902754 16532136.1590928
"result.19" 0 0 0 1 -8085228.71896195 -100519.122548551 16534212.155742
"result.20" 0 0 0 1 -8125816.88985879 -100708.18724001 16615766.6269186
"result.21" 0 0 0 1 -8094740.78716793 -100520.879704396 16553239.8064656
"result.22" 0 0 0 1 -8119040.16660055 -100683.260378699 16602163.3266795
"result.23" 0 0 0 1 -8103515.64940706 -100885.754078959 16571519.279693
"result.24" 0 0 0 1 -8159373.42707349 -100545.403663101 16682554.1341942
"result.25" 0 0 0 1 -8158653.97459527 -100518.725244578 16681061.8724007
"result.26" 0 0 0 1 -8105058.6658196 -100621.978534723 16574077.7614296
"result.27" 0 0 0 1 -8101047.85833651 -100925.901613364 16566663.9926207
"result.28" 0 0 0 1 -8106113.91462667 -100532.117814884 16576008.5376041
"result.29" 0 0 0 1 -8122320.12959643 -100618.477274094 16608593.686462
"result.30" 0 0 0 1 -8114698.72130735 -100755.362382022 16593624.6400997
