"ARI" "" "" "" "" "" ""
"result.1" 0 0 0 1 -8123565.94565792 -100817.994007711 16611484.3520522
"result.2" 0.457267909031422 0.350083857107363 0.352451994672271 5 -8114115.32366453 -100812.664365355 16592572.4487807
"result.3" 0.444115009835714 0.298664468070815 0.300542268365749 4 -8109285.54141413 -99666.8652046304 16580768.8411366
"result.4" 0.592494800410073 0.447394240275854 0.449481725684562 5 -8073453.98921283 -98780.9512678102 16507481.4640386
"result.5" 0.465029619045512 0.350671963204267 0.353155569178337 5 -8113869.83568897 -100733.497507382 16591996.9167028
"result.6" 0.570915693870383 0.439986112109527 0.442095360873743 5 -8113828.14978951 -98705.6912915096 16588079.2652393
"result.7" 0.0103271212605195 0.0125463433860703 0.0135955157711402 2 -8106060.02324123 -100597.747801744 16576032.0148069
"result.8" 0.570587582137814 0.429886317733319 0.432037895199578 5 -8082624.2722508 -99083.3122438443 16526426.7520666
"result.9" 0.498361945862906 0.351109807940374 0.353567885675535 5 -8150539.62448091 -100099.709562076 16664068.918396
"result.10" 0.473802077077823 0.354071960518184 0.356574972396258 5 -8147626.33049414 -99199.3861562043 16656589.2387889
"result.11" 0.528434547406315 0.379098981395304 0.38144669722519 5 -8116356.38120977 -98990.2490965123 16593631.0661008
"result.12" 0.39760919192623 0.265474190015549 0.267584893953546 4 -8094052.33775259 -99359.0040398088 16549686.7114839
"result.13" 0.543978338286937 0.393072836081895 0.395395009179744 5 -8113373.51783427 -99285.9327069331 16588330.4841597
"result.14" 0.599308534339846 0.456138750212839 0.458195968901224 5 -8145524.26597314 -100516.853809935 16654798.7122871
"result.15" 0.573717212777912 0.438930712630966 0.441060001635744 5 -8060877.73436532 -99071.3824239909 16482909.8166559
"result.16" 0.482649335624298 0.319480161692258 0.321393543909981 4 -8141403.10824949 -98987.9019586519 16643719.8259045
"result.17" 0.53596393792219 0.380359956487985 0.382732751370635 5 -8112207.49074861 -98843.4108907971 16585039.608767
"result.18" 0.552754515923579 0.405941451730254 0.4081864836687 5 -8132049.29423517 -98895.4908028752 16624901.1531534
"result.19" 0.522399620685072 0.370863535522361 0.373303276591498 5 -8090933.97089097 -99427.4508597109 16543660.6489896
"result.20" 0.526096313488603 0.393737424509668 0.396033886553653 5 -8152705.34964052 -98874.572953011 16666171.4282644
"result.21" 0.56785800893331 0.414773612080065 0.416991944045463 5 -8080167.61345868 -98711.3158795419 16520769.4417537
"result.22" 0.536918054868819 0.393285481753982 0.395604337455717 5 -8127432.13162443 -98910.7137564907 16615697.2738391
"result.23" 0.340918622463725 0.34381492660281 0.346255677764671 5 -8095211.61577519 -100633.053583644 16554479.5890277
"result.24" 0.539162770557963 0.37458257267151 0.376339055469663 4 -8156112.22377753 -98788.6484715479 16672739.5499864
"result.25" 0.574953246252367 0.421895784673384 0.42409159821049 5 -8125759.04187763 -98947.8659648195 16612425.3987622
"result.26" 0.453801801185807 0.321815401964301 0.324423260341863 5 -8116757.3764819 -100375.477910738 16597055.9590953
"result.27" 0.548334903124883 0.415530799276816 0.417768630268854 5 -8124734.2998873 -98778.1162511958 16610036.4153543
"result.28" 0.56976507161107 0.4048096558528 0.407052676786398 5 -8139967.23297643 -99641.0639843348 16642006.8442316
"result.29" 0.440468790109548 0.35780858494028 0.360297118079606 5 -8134369.30819812 -99163.0638665768 16630076.3272067
"result.30" 0.582617511523571 0.441778487418527 0.443885600816293 5 -8142481.53744863 -98794.508488949 16645563.6749524
